"NAME:","East Allen at Wide Eals"
"NUMBER:","23012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/08/1971 00:00,1.849,75.47,"2a","Spreadsheet","Taken from northumbria high flows study",""
12/01/1972 00:00,1.555,51.01,"2a","Spreadsheet","Taken from northumbria high flows study",""
18/01/1972 00:00,1.212,29.16,"2a","Spreadsheet","Taken from northumbria high flows study",""
03/02/1972 00:00,1.126,24.75,"2a","Spreadsheet","Taken from northumbria high flows study",""
17/02/1972 00:00,1.250,31.24,"2a","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 00:00,1.801,71.10,"2a","Spreadsheet","Taken from northumbria high flows study",""
09/11/1972 00:00,1.176,27.27,"2a","Spreadsheet","Taken from northumbria high flows study",""
21/11/1972 00:00,1.530,49.18,"2a","Spreadsheet","Taken from northumbria high flows study",""
01/12/1972 00:00,1.414,41.18,"2a","Spreadsheet","Taken from northumbria high flows study",""
11/12/1972 00:00,1.683,60.99,"2a","Spreadsheet","Taken from northumbria high flows study",""
23/01/1973 00:00,1.127,24.80,"2a","Spreadsheet","Taken from northumbria high flows study",""
04/04/1973 00:00,1.280,32.94,"2a","Spreadsheet","Taken from northumbria high flows study",""
24/04/1973 00:00,1.207,28.89,"2a","Spreadsheet","Taken from northumbria high flows study",""
04/05/1973 00:00,1.142,25.54,"2a","Spreadsheet","Taken from northumbria high flows study",""
10/12/1973 00:00,1.200,28.52,"2a","Spreadsheet","Taken from northumbria high flows study",""
04/01/1974 00:00,1.104,23.69,"2a","Spreadsheet","Taken from northumbria high flows study",""
11/01/1974 00:00,1.123,24.61,"2a","Spreadsheet","Taken from northumbria high flows study",""
17/01/1974 00:00,1.423,41.78,"2a","Spreadsheet","Taken from northumbria high flows study",""
28/01/1974 00:00,1.267,32.20,"2a","Spreadsheet","Taken from northumbria high flows study",""
02/02/1974 00:00,1.380,38.99,"2a","Spreadsheet","Taken from northumbria high flows study",""
08/02/1974 00:00,1.151,25.99,"2a","Spreadsheet","Taken from northumbria high flows study",""
10/11/1974 00:00,2.027,92.99,"2a","Spreadsheet","Taken from northumbria high flows study",""
13/11/1974 00:00,1.394,39.89,"2a","Spreadsheet","Taken from northumbria high flows study",""
24/11/1974 00:00,1.478,45.50,"2a","Spreadsheet","Taken from northumbria high flows study",""
13/12/1974 00:00,1.188,27.89,"2a","Spreadsheet","Taken from northumbria high flows study",""
21/12/1974 00:00,1.561,51.45,"2a","Spreadsheet","Taken from northumbria high flows study",""
25/12/1974 00:00,1.319,35.23,"2a","Spreadsheet","Taken from northumbria high flows study",""
28/12/1974 00:00,1.571,52.20,"2a","Spreadsheet","Taken from northumbria high flows study",""
13/01/1975 00:00,1.228,30.03,"2a","Spreadsheet","Taken from northumbria high flows study",""
22/01/1975 00:00,1.636,57.20,"2a","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 00:00,1.237,30.52,"2a","Spreadsheet","Taken from northumbria high flows study",""
27/01/1975 00:00,1.184,27.68,"2a","Spreadsheet","Taken from northumbria high flows study",""
31/01/1975 00:00,1.081,22.61,"2a","Spreadsheet","Taken from northumbria high flows study",""
29/08/1975 00:00,2.023,92.57,"2a","Spreadsheet","Taken from northumbria high flows study",""
27/09/1975 00:00,2.199,115.45,"3a","Spreadsheet","Taken from northumbria high flows study",""
02/01/1976 00:00,1.914,84.56,"3a","Spreadsheet","Taken from northumbria high flows study",""
19/01/1976 00:00,1.279,34.64,"3a","Spreadsheet","Taken from northumbria high flows study",""
28/03/1976 00:00,1.206,30.47,"3a","Spreadsheet","Taken from northumbria high flows study",""
02/10/1976 00:00,1.338,36.38,"4a","Spreadsheet","Taken from northumbria high flows study",""
15/10/1976 00:00,1.964,86.55,"4a","Spreadsheet","Taken from northumbria high flows study",""
25/01/1977 00:00,1.975,87.65,"4a","Spreadsheet","Taken from northumbria high flows study",""
03/02/1977 00:00,1.194,28.21,"4a","Spreadsheet","Taken from northumbria high flows study",""
21/04/1977 00:00,1.149,25.89,"4a","Spreadsheet","Taken from northumbria high flows study",""
03/05/1977 00:00,1.328,35.78,"4a","Spreadsheet","Taken from northumbria high flows study",""
13/06/1977 00:00,1.556,51.08,"4a","Spreadsheet","Taken from northumbria high flows study",""
07/10/1977 00:00,1.076,22.38,"4a","Spreadsheet","Taken from northumbria high flows study",""
11/11/1977 00:00,1.373,38.55,"4a","Spreadsheet","Taken from northumbria high flows study",""
23/11/1977 00:00,1.431,42.31,"4a","Spreadsheet","Taken from northumbria high flows study",""
10/12/1977 00:00,1.245,30.97,"4a","Spreadsheet","Taken from northumbria high flows study",""
23/12/1977 00:00,1.272,32.49,"4a","Spreadsheet","Taken from northumbria high flows study",""
02/01/1978 00:00,1.200,28.52,"4a","Spreadsheet","Taken from northumbria high flows study",""
28/01/1978 00:00,1.311,34.76,"4a","Spreadsheet","Taken from northumbria high flows study",""
24/02/1978 00:00,1.288,33.41,"4a","Spreadsheet","Taken from northumbria high flows study",""
19/03/1978 00:00,1.176,27.27,"4a","Spreadsheet","Taken from northumbria high flows study",""
05/05/1978 00:00,1.084,22.75,"4a","Spreadsheet","Taken from northumbria high flows study",""
10/09/1978 00:00,1.164,26.65,"4a","Spreadsheet","Taken from northumbria high flows study",""
13/09/1978 00:00,1.434,42.51,"4a","Spreadsheet","Taken from northumbria high flows study",""
14/11/1978 00:00,1.576,52.58,"4a","Spreadsheet","Taken from northumbria high flows study",""
07/12/1978 00:00,1.391,39.70,"4a","Spreadsheet","Taken from northumbria high flows study",""
24/12/1978 00:00,1.225,29.87,"4a","Spreadsheet","Taken from northumbria high flows study",""
27/12/1978 00:00,1.555,51.01,"4a","Spreadsheet","Taken from northumbria high flows study",""
07/01/1979 00:00,1.799,70.92,"4a","Spreadsheet","Taken from northumbria high flows study",""
