"NAME:","Calder at Newlands"
"NUMBER:","27004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
04/11/1957 00:00,4.190,171.60,"1f","CEH Files","",""
08/12/1957 00:00,2.910,91.95,"1d","CEH Files","",""
01/01/1958 00:00,4.780,212.43,"1g","CEH Files","",""
14/02/1958 00:00,4.390,184.55,"1f","CEH Files","",""
05/03/1958 00:00,2.690,79.44,"1d","CEH Files","",""
26/04/1958 00:00,1.130,13.86,"1c","CEH Files","",""
16/05/1958 00:00,1.640,31.65,"1d","CEH Files","",""
27/06/1958 00:00,2.510,69.84,"1d","CEH Files","",""
03/07/1958 00:00,4.250,175.45,"1f","CEH Files","",""
20/08/1958 00:00,1.980,44.93,"1d","CEH Files","",""
30/09/1958 00:00,2.790,85.02,"1d","CEH Files","",""
04/10/1958 00:00,3.070,101.18,"1e","CEH Files","",""
13/11/1958 00:00,1.500,26.66,"1c","CEH Files","",""
31/12/1958 00:00,3.240,110.89,"1e","CEH Files","",""
01/01/1959 00:00,4.700,206.52,"1g","CEH Files","",""
01/02/1959 00:00,1.090,12.75,"1c","CEH Files","",""
06/03/1959 00:00,1.320,19.85,"1c","CEH Files","",""
22/04/1959 00:00,3.160,106.27,"1e","CEH Files","",""
10/05/1959 00:00,2.450,66.77,"1d","CEH Files","",""
28/06/1959 00:00,1.240,17.18,"1c","CEH Files","",""
27/07/1959 00:00,1.500,26.66,"1c","CEH Files","",""
13/08/1959 00:00,0.840,6.95,"1b","CEH Files","",""
22/09/1959 00:00,0.580,2.56,"1a","CEH Files","",""
27/10/1959 00:00,3.580,131.39,"1e","CEH Files","",""
26/11/1959 00:00,1.960,44.09,"1d","CEH Files","",""
27/12/1959 00:00,4.690,205.79,"1g","CEH Files","",""
31/01/1960 00:00,4.970,228.16,"1h","CEH Files","",""
01/02/1960 00:00,3.560,130.14,"1e","CEH Files","",""
13/03/1960 00:00,1.520,18.51,"1c","CEH Files","",""
12/04/1960 00:00,1.930,42.84,"1d","CEH Files","",""
13/05/1960 00:00,1.880,40.80,"1d","CEH Files","",""
08/06/1960 00:00,0.950,9.28,"1c","CEH Files","",""
22/07/1960 00:00,1.600,30.23,"1d","CEH Files","",""
28/08/1960 00:00,2.260,57.46,"1d","CEH Files","",""
23/09/1960 00:00,2.510,69.84,"1d","CEH Files","",""
09/10/1960 00:00,4.140,168.42,"1f","CEH Files","",""
26/11/1960 00:00,6.320,379.73,"1h","CEH Files","",""
04/12/1960 00:00,5.560,289.41,"1h","CEH Files","",""
21/01/1961 00:00,2.900,91.36,"1d","CEH Files","",""
05/02/1961 00:00,2.630,76.18,"1d","CEH Files","",""
30/03/1961 00:00,1.270,18.15,"1c","CEH Files","",""
06/04/1961 00:00,1.600,30.23,"1d","CEH Files","",""
05/05/1961 00:00,2.340,61.30,"1d","CEH Files","",""
11/06/1961 00:00,1.420,23.49,"1c","CEH Files","",""
15/07/1961 00:00,2.010,46.20,"1d","CEH Files","",""
21/08/1961 00:00,2.180,53.73,"1d","CEH Files","",""
03/09/1961 00:00,2.550,71.93,"1d","CEH Files","",""
15/10/1961 00:00,3.280,113.26,"2f","CEH Files","",""
30/11/1961 00:00,3.610,132.92,"2f","CEH Files","",""
11/12/1961 00:00,3.890,150.59,"2f","CEH Files","",""
11/01/1962 00:00,2.950,94.37,"2e","CEH Files","",""
12/02/1962 00:00,3.480,125.03,"2f","CEH Files","",""
11/03/1962 00:00,1.190,20.77,"2d","CEH Files","",""
03/04/1962 00:00,3.530,128.04,"2f","CEH Files","",""
19/05/1962 00:00,1.460,29.22,"2d","CEH Files","",""
26/06/1962 00:00,0.570,4.96,"2b","CEH Files","",""
10/07/1962 00:00,1.350,25.64,"2d","CEH Files","",""
25/08/1962 00:00,2.340,63.95,"2e","CEH Files","",""
