"NAME:","Derwent at Stamford Bridge"
"NUMBER:","27015"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/11/1962 00:00,3.430,78.62,"2e","Chart","",""
15/12/1962 00:00,3.250,73.17,"2d","Chart","",""
08/03/1963 00:00,3.960,112.61,"2f","Chart","",""
14/03/1963 00:00,2.830,61.97,"2d","Chart","",""
18/03/1963 00:00,3.170,71.03,"2d","Chart","",""
11/11/1963 00:00,2.500,53.68,"2c","Chart","",""
18/11/1963 00:00,2.500,53.68,"2c","Chart","",""
22/11/1963 00:00,2.530,54.41,"2c","Chart","",""
15/03/1964 00:00,3.380,76.45,"2e","Chart","",""
25/03/1964 00:00,3.140,70.23,"2d","Chart","",""
29/09/1965 00:00,2.930,64.63,"2d","Chart","",""
30/09/1965 00:00,3.290,74.25,"2d","Chart","",""
19/11/1965 00:00,2.560,55.14,"2c","Chart","",""
21/11/1965 00:00,2.500,53.68,"2c","Chart","",""
25/11/1965 00:00,3.290,74.25,"2d","Chart","",""
29/11/1965 00:00,3.140,70.23,"2d","Chart","",""
03/12/1965 00:00,3.080,68.62,"2d","Chart","",""
05/12/1965 00:00,3.600,86.16,"2e","Chart","",""
11/12/1965 00:00,3.810,100.77,"2f","Chart","",""
16/12/1965 00:00,3.200,71.83,"2d","Chart","",""
23/12/1965 00:00,3.380,76.45,"2e","Chart","",""
01/01/1966 00:00,2.960,65.42,"2d","Chart","",""
29/01/1966 00:00,2.960,65.42,"2d","Chart","",""
09/02/1966 00:00,3.860,104.62,"2f","Chart","",""
22/02/1966 00:00,4.110,125.27,"2f","Chart","",""
26/02/1966 00:00,3.990,115.07,"2f","Chart","",""
10/04/1966 00:00,3.280,73.98,"2d","Chart","",""
14/08/1966 00:00,2.590,55.86,"2c","Chart","",""
22/08/1966 00:00,2.960,65.42,"2d","Chart","",""
24/01/1967 00:00,2.650,57.31,"2c","Chart","",""
23/02/1967 00:00,3.020,67.02,"2d","Chart","",""
28/02/1967 00:00,3.490,81.24,"2e","Chart","",""
10/03/1967 00:00,3.020,67.02,"2d","Chart","",""
09/04/1967 00:00,2.450,52.47,"2c","Chart","",""
15/05/1967 00:00,3.320,75.05,"2d","Chart","",""
29/05/1967 00:00,3.320,75.05,"2d","Chart","",""
13/09/1967 00:00,3.590,85.71,"2e","Chart","",""
18/10/1967 00:00,3.290,74.25,"2d","Chart","",""
02/11/1967 00:00,2.560,55.14,"2c","Chart","",""
07/11/1967 00:00,4.270,139.72,"2f","Chart","",""
29/12/1967 00:00,2.470,52.96,"2c","Chart","",""
15/01/1968 00:00,3.540,83.46,"2e","Chart","",""
16/01/1968 00:00,3.170,71.03,"2d","Chart","",""
25/03/1968 00:00,2.500,53.68,"2c","Chart","",""
17/07/1968 00:00,2.440,52.23,"2c","Chart","",""
21/09/1968 00:00,2.710,58.77,"2c","Chart","",""
01/11/1968 00:00,2.960,65.42,"2d","Chart","",""
03/11/1968 00:00,3.960,112.61,"2f","Chart","",""
19/12/1968 00:00,2.500,53.68,"2c","Chart","",""
03/01/1969 00:00,2.740,59.49,"2c","Chart","",""
05/01/1969 00:00,3.020,67.02,"2d","Chart","",""
08/01/1969 00:00,3.540,83.46,"2e","Chart","",""
14/01/1969 00:00,3.690,91.88,"2f","Chart","",""
18/01/1969 00:00,2.620,56.59,"2c","Chart","",""
21/01/1969 00:00,3.990,115.07,"2f","Chart","",""
24/02/1969 00:00,3.390,76.88,"2e","Chart","",""
14/03/1969 00:00,2.530,54.41,"2c","Chart","",""
16/03/1969 00:00,2.680,58.04,"2c","Chart","",""
19/03/1969 00:00,2.590,55.86,"2c","Chart","",""
01/04/1969 00:00,3.230,72.64,"2d","Chart","",""
03/06/1969 00:00,2.900,63.83,"2d","Chart","",""
21/02/1970 00:00,7.744,159.00,"3a","FSR","NB: level back-calculated by hand using rating 3a.","AMAX ONLY"
03/01/1971 00:00,4.540,96.00,"3a","FSR","NB: level back-calculated by hand using rating 3a.","AMAX ONLY"
27/11/1971 00:00,4.739,100.00,"3a","FSR","NB: level back-calculated by hand using rating 3a.",""
17/07/1973 00:00,3.000,63.69,"3a","Chart","",""
09/01/1974 00:00,3.150,66.91,"3a","Chart","",""
11/01/1974 00:00,2.680,56.74,"3a","Chart","",""
17/01/1974 00:00,3.200,67.98,"3a","Chart","",""
12/02/1974 00:00,3.290,69.90,"3a","Chart","",""
05/10/1974 00:00,3.140,66.69,"3a","Chart","",""
30/10/1974 00:00,2.760,58.49,"3a","Chart","",""
03/12/1975 00:00,2.990,63.47,"3a","Chart","",""
03/01/1976 00:00,3.080,65.41,"3a","Chart","",""
13/09/1976 00:00,3.590,76.24,"3a","FSR","",""
03/10/1976 00:00,3.700,78.55,"3a","Chart","",""
06/10/1976 00:00,2.800,59.36,"3a","Chart","",""
16/10/1976 00:00,3.500,74.35,"3a","Chart","",""
22/12/1976 00:00,2.900,61.53,"3a","Chart","",""
02/01/1977 00:00,3.600,76.45,"3a","Chart","",""
15/01/1977 00:00,3.760,79.81,"3a","Chart","",""
26/01/1977 00:00,3.750,79.60,"3a","Chart","",""
04/02/1977 00:00,3.340,70.96,"3a","Chart","",""
11/02/1977 00:00,3.200,67.98,"3a","Chart","",""
19/02/1977 00:00,2.790,59.14,"3a","Chart","",""
24/02/1977 00:00,3.400,72.23,"3a","Chart","",""
04/05/1977 00:00,2.820,59.79,"3a","Chart","",""
