"NAME:","Tame at Lea Marston"
"NUMBER:","28004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
28/12/1956 00:00,2.500,57.63,"3","CEH POTs","",""
08/02/1957 00:00,2.410,54.71,"3","CEH POTs","",""
05/08/1957 00:00,2.410,54.71,"3","CEH POTs","",""
25/09/1957 00:00,2.410,54.71,"3","CEH POTs","",""
04/11/1957 00:00,2.570,59.93,"3","CEH POTs","",""
24/12/1957 00:00,2.360,53.11,"3","CEH POTs","",""
01/01/1958 00:00,2.230,49.00,"3","CEH POTs","",""
10/02/1958 00:00,2.470,56.65,"3","CEH POTs","",""
24/02/1958 00:00,2.470,56.65,"3","CEH POTs","",""
02/07/1958 00:00,2.390,54.07,"3","CEH POTs","",""
22/08/1958 00:00,2.480,56.98,"3","CEH POTs","",""
03/10/1958 00:00,2.360,53.11,"3","CEH POTs","",""
20/12/1958 00:00,2.330,52.15,"3","CEH POTs","",""
18/01/1959 00:00,2.420,55.03,"3","CEH POTs","",""
22/01/1959 00:00,2.610,61.25,"3","CEH POTs","",""
16/04/1959 00:00,2.620,61.59,"3","CEH POTs","",""
11/08/1959 00:00,2.330,52.15,"3","CEH POTs","",""
26/11/1959 00:00,2.360,53.11,"3","CEH POTs","",""
24/01/1960 00:00,2.710,64.60,"3","CEH POTs","",""
28/01/1960 00:00,2.660,62.92,"3","CEH POTs","",""
23/06/1960 00:00,2.240,49.31,"3","CEH POTs","",""
16/09/1960 00:00,2.370,53.43,"3","CEH POTs","",""
23/09/1960 00:00,2.570,59.93,"3","CEH POTs","",""
01/11/1960 00:00,2.480,56.98,"3","CEH POTs","",""
17/11/1960 00:00,2.280,50.57,"3","CEH POTs","",""
04/12/1960 00:00,2.750,65.96,"3","CEH POTs","",""
06/04/1961 00:00,2.240,49.31,"3","CEH POTs","",""
26/04/1961 00:00,2.290,50.88,"3","CEH POTs","",""
06/08/1962 00:00,2.410,54.71,"3","CEH POTs","",""
17/08/1962 00:00,2.440,55.68,"3","CEH POTs","",""
06/09/1962 00:00,2.280,50.57,"3","CEH POTs","",""
29/03/1963 00:00,2.080,44.37,"3","CEH POTs","",""
19/11/1963 00:00,2.250,49.62,"3","CEH POTs","",""
25/03/1964 00:00,2.230,49.00,"3","CEH POTs","",""
25/09/1965 00:00,2.230,49.00,"3","CEH POTs","",""
29/11/1965 00:00,2.570,59.93,"3","CEH POTs","",""
10/12/1965 00:00,2.740,65.62,"3","CEH POTs","",""
18/12/1965 00:00,2.670,63.26,"3","CEH POTs","",""
23/12/1965 00:00,2.520,58.28,"3","CEH POTs","",""
01/01/1966 00:00,2.230,49.00,"3","CEH POTs","",""
14/01/1966 00:00,2.380,53.75,"3","CEH POTs","",""
20/02/1966 00:00,2.530,58.61,"3","CEH POTs","",""
25/02/1966 00:00,2.280,50.57,"3","CEH POTs","",""
28/02/1966 00:00,2.410,54.71,"3","CEH POTs","",""
09/05/1966 00:00,2.240,49.31,"3","CEH POTs","",""
11/06/1966 00:00,2.230,49.00,"3","CEH POTs","",""
21/08/1966 00:00,2.360,53.11,"3","CEH POTs","",""
30/08/1966 00:00,2.760,66.29,"3","CEH POTs","",""
02/12/1966 00:00,2.620,61.59,"3","CEH POTs","",""
