"NAME:","Tame at Elford"
"NUMBER:","28005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/01/1956 00:00,2.500,80.15,"Ab","CEH POTs","",""
29/12/1956 00:00,2.820,100.85,"Ab","CEH POTs","",""
08/02/1957 00:00,2.390,73.48,"Ab","CEH POTs","",""
26/09/1957 00:00,2.520,81.39,"Ab","CEH POTs","",""
06/11/1957 00:00,2.990,112.60,"Ab","CEH POTs","",""
25/12/1957 00:00,2.250,65.32,"Ab","CEH POTs","",""
11/02/1958 00:00,2.710,93.52,"Ab","CEH POTs","",""
14/02/1958 00:00,2.230,64.19,"Ab","CEH POTs","",""
25/02/1958 00:00,2.900,106.32,"Ab","CEH POTs","",""
03/07/1958 00:00,3.100,120.48,"Ab","CEH POTs","",""
23/08/1958 00:00,2.240,64.75,"Ab","CEH POTs","",""
05/10/1958 00:00,2.450,77.09,"Ab","CEH POTs","",""
03/11/1958 00:00,2.170,60.83,"Aa","CEH POTs","",""
20/12/1958 00:00,2.500,80.15,"Ab","CEH POTs","",""
07/01/1959 00:00,2.390,73.48,"Ab","CEH POTs","",""
19/01/1959 00:00,2.740,95.50,"Ab","CEH POTs","",""
23/01/1959 00:00,3.130,122.67,"Ab","CEH POTs","",""
18/04/1959 00:00,2.860,103.57,"Ab","CEH POTs","",""
25/01/1960 00:00,3.750,171.23,"Ab","CEH POTs","",""
29/01/1960 00:00,3.430,145.36,"Ab","CEH POTs","",""
24/09/1960 00:00,2.650,89.62,"Ab","CEH POTs","",""
28/10/1960 00:00,2.750,96.16,"Ab","CEH POTs","",""
02/11/1960 00:00,2.710,93.52,"Ab","CEH POTs","",""
18/11/1960 00:00,2.430,75.88,"Ab","CEH POTs","",""
27/11/1960 00:00,2.260,65.89,"Ab","CEH POTs","",""
04/12/1960 00:00,3.640,162.15,"Ab","CEH POTs","",""
06/04/1961 00:00,2.160,60.58,"Aa","CEH POTs","",""
26/04/1961 00:00,2.140,60.12,"Aa","CEH POTs","",""
09/01/1962 00:00,2.260,65.89,"Ab","CEH POTs","",""
01/03/1963 00:00,2.100,59.18,"Aa","CEH POTs","",""
30/03/1963 00:00,2.470,78.31,"Ab","CEH POTs","",""
20/11/1963 00:00,2.230,64.19,"Ab","CEH POTs","",""
15/03/1964 00:00,2.260,65.89,"Ab","CEH POTs","",""
25/03/1964 00:00,2.360,71.70,"Ab","CEH POTs","",""
22/03/1965 00:00,2.360,71.70,"Ab","CEH POTs","",""
26/03/1965 00:00,2.160,60.58,"Aa","CEH POTs","",""
30/11/1965 00:00,2.830,101.53,"Ab","CEH POTs","",""
10/12/1965 00:00,3.150,124.13,"Ab","CEH POTs","",""
13/12/1965 00:00,2.240,64.75,"Ab","CEH POTs","",""
20/12/1965 00:00,3.150,124.13,"Ab","CEH POTs","",""
24/12/1965 00:00,2.800,99.50,"Ab","CEH POTs","",""
01/01/1966 00:00,2.430,75.88,"Ab","CEH POTs","",""
09/02/1966 00:00,1.990,56.56,"Aa","CEH POTs","",""
21/02/1966 00:00,3.010,114.02,"Ab","CEH POTs","",""
26/02/1966 00:00,2.380,72.88,"Ab","CEH POTs","",""
28/02/1966 00:00,2.560,83.89,"Ab","CEH POTs","",""
03/03/1966 00:00,2.140,60.12,"Aa","CEH POTs","",""
20/04/1966 00:00,2.430,75.88,"Ab","CEH POTs","",""
31/08/1966 00:00,2.620,87.69,"Ab","CEH POTs","",""
15/10/1966 00:00,2.590,85.78,"Ab","CEH POTs","",""
03/12/1966 00:00,2.650,89.62,"Ab","CEH POTs","",""
11/12/1966 00:00,2.750,96.16,"Ab","CEH POTs","",""
10/03/1967 00:00,2.770,97.49,"Ab","CEH POTs","",""
16/05/1967 00:00,2.810,100.18,"Ab","CEH POTs","",""
29/05/1967 00:00,2.960,110.49,"Ab","CEH POTs","",""
17/10/1967 00:00,2.590,85.78,"Ab","CEH POTs","",""
06/11/1967 00:00,2.870,104.25,"Ab","CEH POTs","",""
02/01/1968 00:00,2.560,83.89,"Ab","CEH POTs","",""
03/01/1968 00:00,2.640,88.98,"Ab","CEH POTs","",""
06/01/1968 00:00,2.580,85.15,"Ab","CEH POTs","",""
15/01/1968 00:00,2.960,110.49,"Ab","CEH POTs","",""
12/07/1968 00:00,3.430,145.36,"Ab","CEH POTs","",""
27/11/1968 00:00,2.210,63.06,"Ab","CEH POTs","",""
18/01/1969 00:00,2.160,60.58,"Aa","CEH POTs","",""
12/02/1969 00:00,2.660,90.27,"Ab","CEH POTs","",""
25/02/1969 00:00,2.470,78.31,"Ab","CEH POTs","",""
