"NAME:","Devon at Cotham"
"NUMBER:","28017"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/12/1966 00:00,2.730,21.87,"1b","CEH POTs","",""
28/02/1967 00:00,2.480,18.50,"1b","CEH POTs","",""
15/05/1967 00:00,3.410,35.57,"1c","CEH POTs","",""
06/11/1967 00:00,2.250,15.62,"1b","CEH POTs","",""
02/11/1968 00:00,3.520,38.59,"1c","CEH POTs","",""
27/11/1968 00:00,2.710,21.59,"1b","CEH POTs","",""
14/01/1969 00:00,2.120,14.09,"1b","CEH POTs","",""
10/02/1969 00:00,2.490,18.63,"1b","CEH POTs","",""
23/02/1969 00:00,2.450,18.12,"1b","CEH POTs","",""
13/03/1969 00:00,2.380,17.23,"1b","CEH POTs","",""
18/03/1969 00:00,2.570,19.69,"1b","CEH POTs","",""
06/05/1969 00:00,3.460,36.92,"1c","CEH POTs","",""
30/05/1969 00:00,2.270,15.86,"1b","CEH POTs","",""
13/03/1970 00:00,2.130,14.20,"1b","CEH POTs","",""
23/01/1971 00:00,2.550,19.42,"1b","CEH POTs","",""
31/01/1971 00:00,2.280,15.99,"1b","CEH POTs","",""
25/04/1971 00:00,2.300,16.23,"1b","CEH POTs","",""
05/03/1972 00:00,2.010,12.84,"1b","CEH POTs","",""
09/09/1972 20:00,1.011,3.71,"1a","Digital Archive","",""
06/03/1973 05:00,1.018,3.75,"1a","Digital Archive","",""
20/06/1973 18:00,1.419,6.96,"1a","Digital Archive","",""
28/06/1973 21:45,2.390,17.35,"1b","Digital Archive","",""
07/07/1973 16:00,1.638,8.99,"1b","Digital Archive","",""
16/07/1973 17:45,2.213,15.18,"1b","Digital Archive","",""
22/07/1973 16:30,2.872,23.89,"1b","Digital Archive","",""
07/08/1973 07:45,0.822,2.52,"1a","Digital Archive","",""
19/09/1973 22:00,0.890,2.92,"1a","Digital Archive","",""
11/10/1973 12:45,0.669,1.72,"1a","Digital Archive","",""
11/01/1974 19:15,1.258,5.56,"1a","Digital Archive","",""
16/01/1974 23:15,1.544,8.11,"1b","Digital Archive","",""
10/02/1974 00:15,2.029,13.05,"1b","Digital Archive","",""
16/03/1974 02:45,0.657,1.66,"1a","Digital Archive","",""
17/06/1974 11:30,0.607,1.43,"1a","Digital Archive","",""
06/07/1974 00:00,0.635,1.56,"1a","Digital Archive","",""
05/10/1974 01:30,0.875,2.83,"1a","Digital Archive","",""
08/10/1974 06:15,2.338,16.70,"1b","Digital Archive","",""
16/10/1974 22:30,0.972,3.44,"1a","Digital Archive","",""
19/10/1974 09:30,1.205,5.14,"1a","Digital Archive","",""
23/10/1974 02:00,0.662,1.69,"1a","Digital Archive","",""
14/11/1974 16:15,0.632,1.55,"1a","Digital Archive","",""
19/11/1974 03:30,1.225,5.30,"1a","Digital Archive","",""
21/11/1974 21:45,3.088,27.56,"1c","Digital Archive","",""
28/11/1974 18:00,0.842,2.64,"1a","Digital Archive","",""
03/12/1974 12:30,0.841,2.63,"1a","Digital Archive","",""
13/12/1974 01:00,1.115,4.45,"1a","Digital Archive","",""
20/01/1975 22:15,1.819,10.79,"1b","Digital Archive","",""
25/01/1975 21:45,0.828,2.56,"1a","Digital Archive","",""
29/01/1975 00:45,2.197,14.99,"1b","Digital Archive","",""
14/02/1975 06:45,1.026,3.81,"1a","Digital Archive","",""
07/03/1975 05:00,1.077,4.17,"1a","Digital Archive","",""
10/03/1975 11:00,3.292,32.49,"1c","Digital Archive","",""
22/03/1975 15:30,1.338,6.24,"1a","Digital Archive","",""
15/04/1975 00:30,0.944,3.26,"1a","Digital Archive","",""
19/04/1975 13:45,2.194,14.95,"1b","Digital Archive","",""
19/07/1975 19:45,0.663,1.69,"1a","Digital Archive","",""
02/12/1975 13:00,0.825,2.54,"1a","Digital Archive","",""
20/12/1976 17:30,1.417,6.94,"1a","Digital Archive","",""
01/01/1977 16:45,2.509,18.88,"1b","Digital Archive","",""
05/01/1977 22:00,0.829,2.56,"1a","Digital Archive","",""
10/01/1977 12:45,0.737,2.06,"1a","Digital Archive","",""
15/01/1977 21:15,1.532,8.00,"1b","Digital Archive","",""
26/01/1977 04:15,1.838,10.99,"1b","Digital Archive","",""
28/01/1977 15:30,2.275,15.93,"1b","Digital Archive","",""
04/02/1977 00:00,1.401,6.80,"1a","Digital Archive","",""
06/02/1977 11:00,1.437,7.13,"1a","Digital Archive","",""
12/02/1977 03:45,3.250,31.43,"1c","Digital Archive","",""
19/02/1977 09:00,3.016,26.01,"1b","Digital Archive","",""
26/02/1977 06:15,3.272,31.98,"1c","Digital Archive","",""
14/06/1977 03:45,1.177,4.92,"1a","Digital Archive","",""
20/08/1977 10:15,0.616,1.47,"1a","Digital Archive","",""
11/12/1977 19:15,0.757,2.16,"1a","Digital Archive","",""
01/01/1978 00:00,0.152,0.11,"1a","Digital Archive","","AMAX ONLY"
28/01/1978 00:00,2.310,16.35,"1b","CEH POTs","",""
04/02/1978 00:00,2.100,13.85,"1b","CEH POTs","",""
06/05/1978 00:00,3.060,26.93,"1c","CEH POTs","",""
29/12/1978 00:00,3.050,26.70,"1b","CEH POTs","",""
01/02/1979 00:00,3.140,28.77,"1c","CEH POTs","",""
08/04/1979 00:00,3.030,26.22,"1b","CEH POTs","",""
28/12/1979 00:00,2.710,21.59,"1b","CEH POTs","",""
21/01/1980 00:00,2.470,18.38,"1b","CEH POTs","",""
31/01/1980 00:00,2.110,13.97,"1b","CEH POTs","",""
08/02/1980 00:00,2.600,20.09,"1b","CEH POTs","",""
18/02/1980 00:00,3.050,26.70,"1b","CEH POTs","",""
19/03/1980 00:00,2.150,14.43,"1b","CEH POTs","",""
15/08/1980 00:00,2.910,24.44,"1b","CEH POTs","",""
16/10/1980 00:00,2.130,14.20,"1b","CEH POTs","",""
09/02/1981 00:00,2.430,17.86,"1b","CEH POTs","",""
11/03/1981 00:00,2.800,22.86,"1b","CEH POTs","",""
