"NAME:","Oldcotes Dyke at Blyth"
"NUMBER:","28047"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/08/1971 19:30,0.412,1.71,"3a","Digital Archive","","AMAX ONLY"
19/10/1971 16:30,0.507,2.83,"3b","Digital Archive","",""
04/02/1972 03:30,0.642,4.90,"3b","Digital Archive","",""
05/03/1972 13:15,0.451,2.14,"3b","Digital Archive","",""
09/03/1972 13:15,0.584,3.94,"3b","Digital Archive","",""
01/04/1972 15:30,0.536,3.23,"3b","Digital Archive","",""
12/06/1972 20:15,0.449,2.12,"3b","Digital Archive","",""
09/09/1972 09:45,0.453,2.17,"3b","Digital Archive","",""
16/07/1973 19:00,1.825,47.90,"3b","Digital Archive","",""
22/07/1973 04:00,0.981,12.62,"3b","Digital Archive","",""
06/08/1973 12:45,0.529,3.13,"3b","Digital Archive","",""
12/02/1974 02:30,0.467,2.33,"3b","Digital Archive","",""
21/11/1974 18:30,0.711,6.17,"3b","Digital Archive","",""
14/05/1975 08:15,0.451,2.14,"3b","Digital Archive","",""
25/09/1976 12:30,0.439,2.01,"3b","Digital Archive","","AMAX ONLY"
01/01/1977 19:45,0.731,6.57,"3b","Digital Archive","",""
15/01/1977 20:30,0.465,2.31,"3b","Digital Archive","",""
25/01/1977 19:45,0.623,4.57,"3b","Digital Archive","",""
28/01/1977 07:15,0.685,5.68,"3b","Digital Archive","",""
03/02/1977 15:45,0.455,2.19,"3b","Digital Archive","",""
11/02/1977 04:30,1.169,18.49,"3b","Digital Archive","",""
19/02/1977 02:00,0.490,2.61,"3b","Digital Archive","",""
20/02/1977 18:45,0.549,3.41,"3b","Digital Archive","",""
23/02/1977 17:00,1.473,30.38,"3b","Digital Archive","",""
25/02/1977 16:15,1.207,19.81,"3b","Digital Archive","",""
03/05/1977 13:30,0.654,5.11,"3b","Digital Archive","",""
13/06/1977 18:00,0.472,2.39,"3b","Digital Archive","",""
28/01/1978 22:45,0.486,2.56,"3b","Digital Archive","",""
04/02/1978 21:30,0.486,2.56,"3b","Digital Archive","",""
06/05/1978 10:15,0.495,2.68,"3b","Digital Archive","",""
07/07/1978 16:00,1.215,20.09,"3b","Digital Archive","",""
30/07/1978 15:30,0.527,3.10,"3b","Digital Archive","",""
15/12/1978 23:30,0.838,8.92,"3b","Digital Archive","",""
24/12/1978 23:45,0.725,6.45,"3b","Digital Archive","",""
29/12/1978 12:45,1.361,25.65,"3b","Digital Archive","Non-independent peak removed B",""
01/02/1979 21:45,0.714,6.23,"3b","Digital Archive","",""
04/02/1979 04:15,0.499,2.73,"3b","Digital Archive","",""
14/02/1979 03:30,0.453,2.17,"3b","Digital Archive","",""
23/02/1979 21:45,0.544,3.34,"3b","Digital Archive","Non-independent peak removed B",""
28/02/1979 16:45,0.755,7.07,"3b","Digital Archive","",""
21/03/1979 22:30,0.528,3.12,"3b","Digital Archive","",""
25/03/1979 10:00,0.546,3.37,"3b","Digital Archive","",""
29/03/1979 08:00,0.944,11.60,"3b","Digital Archive","",""
31/03/1979 18:15,0.451,2.14,"3b","Digital Archive","",""
07/04/1979 11:00,0.462,2.27,"3b","Digital Archive","",""
08/04/1979 19:00,1.264,21.88,"3b","Digital Archive","",""
21/05/1979 10:45,0.554,3.49,"3b","Digital Archive","",""
31/05/1979 03:00,0.963,12.12,"3b","Digital Archive","",""
