"NAME:","Maun at Mansfield STW"
"NUMBER:","28059"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/08/1964 00:00,1.220,7.19,"1a","CEH POTs","",""
18/08/1964 00:00,1.110,5.87,"1a","CEH POTs","",""
16/09/1964 00:00,1.010,4.80,"1a","CEH POTs","",""
06/06/1965 00:00,1.130,6.10,"1a","CEH POTs","",""
17/06/1965 00:00,1.130,6.10,"1a","CEH POTs","",""
22/06/1965 00:00,1.090,5.65,"1a","CEH POTs","",""
21/07/1965 00:00,1.170,6.57,"1a","CEH POTs","",""
25/09/1965 00:00,1.120,5.99,"1a","CEH POTs","",""
26/09/1965 00:00,1.070,5.43,"1a","CEH POTs","",""
09/12/1965 00:00,1.210,7.06,"1a","CEH POTs","",""
13/06/1966 00:00,1.190,6.82,"1a","CEH POTs","",""
15/06/1966 00:00,1.250,7.57,"1a","CEH POTs","",""
02/10/1966 00:00,1.150,6.34,"1a","CEH POTs","",""
01/11/1966 00:00,1.090,5.65,"1a","CEH POTs","",""
14/05/1967 00:00,1.070,5.43,"1a","CEH POTs","",""
27/05/1967 00:00,1.030,5.01,"1a","CEH POTs","",""
16/10/1967 00:00,1.310,8.37,"1a","CEH POTs","",""
27/10/1967 00:00,1.010,4.80,"1a","CEH POTs","",""
16/03/1968 00:00,1.040,5.11,"1a","CEH POTs","",""
06/05/1968 00:00,1.260,7.70,"1a","CEH POTs","",""
07/07/1968 00:00,1.490,11.02,"1a","CEH POTs","",""
14/07/1968 00:00,1.510,11.33,"1a","CEH POTs","",""
08/08/1968 00:00,1.160,6.45,"1a","CEH POTs","",""
01/09/1968 00:00,1.370,9.21,"1a","CEH POTs","",""
10/09/1968 00:00,1.350,8.92,"1a","CEH POTs","",""
23/09/1968 00:00,1.220,7.19,"1a","CEH POTs","",""
27/09/1968 00:00,1.190,6.82,"1a","CEH POTs","",""
28/10/1968 00:00,1.120,5.99,"1a","CEH POTs","",""
01/11/1968 00:00,1.070,5.43,"1a","CEH POTs","",""
13/03/1969 00:00,1.060,5.32,"1a","CEH POTs","",""
26/04/1969 00:00,1.000,4.70,"1a","CEH POTs","",""
06/05/1969 00:00,1.010,4.80,"1a","CEH POTs","",""
14/06/1969 00:00,1.400,9.64,"1a","CEH POTs","",""
23/07/1969 00:00,1.440,10.24,"1a","CEH POTs","",""
28/07/1969 00:00,1.490,11.02,"1a","CEH POTs","",""
25/04/1970 00:00,1.420,9.94,"1a","CEH POTs","",""
19/08/1970 00:00,1.220,7.19,"1a","CEH POTs","",""
20/11/1970 00:00,1.350,8.92,"1a","CEH POTs","",""
22/05/1971 00:00,1.220,7.19,"1a","CEH POTs","",""
04/07/1971 00:00,1.400,9.64,"1a","CEH POTs","",""
03/08/1971 00:00,1.090,5.65,"1a","CEH POTs","",""
05/08/1971 00:00,1.130,6.10,"1a","CEH POTs","",""
10/08/1971 00:00,1.350,8.92,"1a","CEH POTs","",""
13/08/1971 00:00,1.130,6.10,"1a","CEH POTs","",""
29/08/1971 00:00,1.100,5.76,"1a","CEH POTs","",""
17/10/1971 00:00,1.240,7.44,"1a","CEH POTs","",""
19/10/1971 00:00,1.250,7.57,"1a","CEH POTs","",""
07/11/1971 00:00,1.130,6.10,"1a","CEH POTs","",""
03/02/1972 00:00,1.120,5.99,"1a","CEH POTs","",""
12/06/1972 00:00,1.170,6.57,"1a","CEH POTs","",""
21/07/1972 00:00,1.390,9.50,"1a","CEH POTs","",""
23/07/1972 00:00,1.410,9.79,"1a","CEH POTs","",""
24/07/1972 00:00,1.300,8.23,"1a","CEH POTs","",""
31/07/1972 00:00,1.050,5.22,"1a","CEH POTs","",""
01/08/1972 00:00,1.260,7.70,"1a","CEH POTs","",""
09/09/1972 03:15,1.463,10.59,"1a","Digital Archive","Non-independent peak removed B",""
12/11/1972 17:45,1.049,5.21,"1a","Digital Archive","",""
01/12/1972 16:00,1.111,5.89,"1a","Digital Archive","",""
19/06/1973 23:15,1.106,5.83,"1a","Digital Archive","",""
15/07/1973 21:30,1.031,5.02,"1a","Digital Archive","Non-independent peak removed",""
16/07/1973 04:30,1.151,6.35,"1a","Digital Archive","",""
16/07/1973 23:00,1.549,11.97,"1a","Digital Archive","",""
30/07/1973 12:00,1.712,14.82,"1a","Digital Archive","",""
05/08/1973 21:30,1.118,5.96,"1a","Digital Archive","",""
06/08/1973 05:30,1.610,13.00,"1a","Digital Archive","",""
10/11/1973 12:00,1.164,6.50,"1a","Digital Archive","",""
11/01/1974 01:45,1.019,4.89,"1a","Digital Archive","",""
16/06/1974 19:15,1.519,11.48,"1a","Digital Archive","",""
17/06/1974 21:00,1.302,8.26,"1a","Digital Archive","",""
30/07/1974 14:15,1.108,5.85,"1a","Digital Archive","",""
02/09/1974 13:15,1.098,5.74,"1a","Digital Archive","",""
21/11/1974 08:15,1.118,5.96,"1a","Digital Archive","",""
20/01/1975 04:15,0.823,3.10,"1a","Digital Archive","","AMAX ONLY"
02/03/1975 00:00,1.040,5.11,"1a","CEH POTs","",""
13/07/1975 00:00,1.140,6.22,"1a","CEH POTs","",""
18/07/1975 00:00,1.630,13.34,"1a","CEH POTs","",""
30/08/1975 00:00,1.490,11.02,"1a","CEH POTs","",""
25/09/1975 00:00,1.700,14.60,"1a","CEH POTs","",""
02/10/1975 00:00,1.200,6.94,"1a","CEH POTs","",""
01/12/1975 00:00,1.200,6.94,"1a","CEH POTs","",""
12/07/1976 00:00,1.410,9.79,"1a","CEH POTs","",""
30/07/1976 00:00,1.720,14.97,"1a","CEH POTs","",""
24/09/1976 00:00,1.350,8.92,"1a","CEH POTs","",""
30/09/1976 00:00,1.760,15.72,"1a","CEH POTs","",""
25/01/1977 00:00,1.050,5.22,"1a","CEH POTs","",""
18/02/1977 00:00,1.030,5.01,"1a","CEH POTs","",""
22/02/1977 00:00,1.360,9.06,"1a","CEH POTs","",""
24/02/1977 00:00,1.260,7.70,"1a","CEH POTs","",""
25/02/1977 00:00,1.040,5.11,"1a","CEH POTs","",""
25/08/1977 00:00,1.070,5.43,"1a","CEH POTs","",""
19/10/1977 00:00,1.040,5.11,"1a","CEH POTs","",""
01/11/1977 00:00,1.300,8.23,"1a","CEH POTs","",""
07/11/1977 00:00,1.110,5.87,"1a","CEH POTs","",""
23/11/1977 00:00,1.120,5.99,"1a","CEH POTs","",""
23/01/1978 00:00,1.040,5.11,"1a","CEH POTs","",""
15/06/1978 00:00,1.300,8.23,"1a","CEH POTs","",""
16/06/1978 00:00,1.900,18.51,"1a","CEH POTs","",""
29/07/1978 00:00,1.580,12.48,"1a","CEH POTs","",""
31/07/1978 00:00,1.140,6.22,"1a","CEH POTs","",""
02/08/1978 00:00,1.100,5.76,"1a","CEH POTs","",""
12/11/1978 00:00,1.180,6.69,"1a","CEH POTs","",""
07/12/1978 00:00,1.330,8.64,"1a","CEH POTs","",""
10/12/1978 00:00,1.040,5.11,"1a","CEH POTs","",""
28/12/1978 00:00,1.050,5.22,"1a","CEH POTs","",""
27/02/1979 00:00,1.120,5.99,"1a","CEH POTs","",""
08/03/1979 00:00,1.060,5.32,"1a","CEH POTs","",""
07/04/1979 00:00,1.080,5.54,"1a","CEH POTs","",""
08/04/1979 00:00,1.100,5.76,"1a","CEH POTs","",""
27/05/1979 00:00,1.190,6.82,"1a","CEH POTs","",""
30/05/1979 00:00,1.530,11.66,"1a","CEH POTs","",""
07/06/1979 00:00,1.140,6.22,"1a","CEH POTs","",""
14/06/1979 00:00,1.520,11.49,"1a","CEH POTs","",""
31/07/1979 00:00,1.030,5.01,"1a","CEH POTs","",""
07/08/1979 00:00,1.120,5.99,"1a","CEH POTs","",""
13/08/1979 00:00,1.110,5.87,"1a","CEH POTs","",""
19/09/1979 00:00,1.240,7.44,"1a","CEH POTs","",""
07/10/1979 00:00,1.090,5.65,"1a","CEH POTs","",""
12/10/1979 00:00,1.190,6.82,"1a","CEH POTs","",""
13/10/1979 00:00,2.030,21.32,"1a","CEH POTs","",""
25/10/1979 00:00,1.120,5.99,"1a","CEH POTs","",""
