"NAME:","Hiz at Arlesey"
"NUMBER:","33033"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/06/1974 00:00,0.290,2.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m","AMAX ONLY"
07/10/1974 00:00,0.270,1.97,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
18/11/1974 00:00,0.580,6.44,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m, in bank peak",""
20/11/1974 00:00,0.350,2.94,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
21/11/1974 00:00,0.390,3.47,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
22/11/1974 00:00,0.420,3.89,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
27/01/1975 00:00,0.300,2.32,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
28/01/1975 00:00,0.310,2.44,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
09/03/1975 00:00,0.300,2.32,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
13/03/1975 00:00,0.270,1.97,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
21/03/1975 00:00,0.300,2.32,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
18/04/1975 00:00,0.370,3.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
17/05/1975 00:00,0.180,1.07,"11[migrated]1","CEH POTS 01/19/88","Threshold Level 0.27m",""
16/07/1976 00:00,0.280,2.09,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
01/01/1977 00:00,0.280,2.09,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
14/01/1977 00:00,0.390,3.47,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
18/02/1977 00:00,0.410,3.75,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
20/02/1977 00:00,0.370,3.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
24/02/1977 00:00,0.300,2.32,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
14/06/1977 00:00,0.310,2.44,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
23/01/1978 00:00,0.290,2.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
28/01/1978 00:00,0.330,2.68,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
29/01/1978 00:00,0.330,2.68,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
02/02/1978 00:00,0.570,6.27,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m, in bank peak",""
04/02/1978 00:00,0.370,3.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
06/05/1978 00:00,0.320,2.56,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
01/02/1979 00:00,0.320,2.56,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
07/03/1979 00:00,0.360,3.07,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
08/03/1979 00:00,0.370,3.20,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
27/03/1979 00:00,0.470,4.64,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
29/03/1979 00:00,0.320,2.56,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
08/04/1979 00:00,0.380,3.33,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
11/04/1979 00:00,0.410,3.75,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
23/04/1979 00:00,0.280,2.09,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m",""
30/05/1979 00:00,0.520,5.43,"11[migrated]2","CEH POTS 01/19/88","Threshold Level 0.27m, one POT before 14dec1979",""
28/12/1979 07:45,0.525,5.51,"11[migrated]2","Digital Archive","",""
26/07/1980 15:15,0.332,2.71,"11[migrated]2","Digital Archive","",""
30/07/1980 00:00,0.422,3.92,"11[migrated]2","Digital Archive","",""
27/04/1981 06:00,0.375,3.27,"11[migrated]2","Digital Archive","",""
02/06/1981 08:45,0.321,2.57,"11[migrated]2","Digital Archive","",""
06/08/1981 17:15,0.325,2.62,"11[migrated]2","Digital Archive","",""
12/03/1982 11:45,0.319,2.55,"11[migrated]2","Digital Archive","",""
15/03/1982 21:45,0.326,2.63,"11[migrated]2","Digital Archive","",""
22/10/1982 13:30,0.358,3.04,"11[migrated]2","Digital Archive","",""
25/11/1982 05:30,0.346,2.89,"11[migrated]2","Digital Archive","",""
10/12/1982 05:00,0.404,3.67,"11[migrated]2","Digital Archive","",""
11/04/1983 19:45,0.322,2.58,"11[migrated]2","Digital Archive","",""
18/04/1983 15:00,0.342,2.83,"11[migrated]2","Digital Archive","",""
01/06/1983 13:15,0.484,4.86,"11[migrated]2","Digital Archive","",""
06/07/1983 23:45,0.325,2.62,"11[migrated]2","Digital Archive","",""
07/06/1984 07:00,0.347,2.90,"11[migrated]2","Digital Archive","",""
24/11/1984 01:15,0.387,3.43,"11[migrated]2","Digital Archive","",""
20/05/1986 19:45,0.412,3.78,"11[migrated]2","Digital Archive","",""
29/07/1987 22:00,0.328,2.66,"11[migrated]2","Digital Archive","",""
10/10/1987 19:00,0.629,7.32,"11[migrated]2","Digital Archive","Above bank full peak, steep rise long recession.",""
16/10/1987 16:30,0.440,4.19,"11[migrated]2","Digital Archive","",""
21/10/1987 10:00,0.476,4.73,"11[migrated]2","Digital Archive","",""
12/11/1987 00:15,0.341,2.82,"11[migrated]2","Digital Archive","",""
19/11/1987 20:00,0.395,3.54,"11[migrated]2","Digital Archive","",""
24/01/1988 01:45,0.378,3.31,"11[migrated]2","Digital Archive","",""
29/01/1988 23:30,0.510,5.27,"11[migrated]2","Digital Archive","",""
01/02/1988 12:15,0.314,2.49,"11[migrated]2","Digital Archive","",""
27/04/1988 21:30,0.319,2.55,"11[migrated]2","Digital Archive","",""
09/05/1988 00:00,0.333,2.72,"11[migrated]2","Digital Archive","",""
31/08/1988 13:45,0.337,2.77,"11[migrated]2","Digital Archive","Non-independent peak removed A",""
07/07/1989 15:45,0.318,2.53,"11[migrated]2","Digital Archive","",""
20/12/1989 23:30,0.357,3.03,"11[migrated]2","Digital Archive","",""
03/02/1990 19:00,0.517,5.38,"11[migrated]2","Digital Archive","",""
07/02/1990 16:45,0.331,2.69,"11[migrated]2","Digital Archive","",""
31/07/1991 10:00,0.339,2.80,"11[migrated]2","Digital Archive","",""
23/08/1991 21:15,0.350,2.94,"11[migrated]2","Digital Archive","",""
27/09/1991 04:45,0.360,3.07,"11[migrated]2","Digital Archive","",""
09/01/1992 12:45,0.335,2.75,"11[migrated]2","Digital Archive","",""
30/05/1992 01:30,0.399,3.60,"11[migrated]2","Digital Archive","",""
23/09/1992 12:15,0.498,5.08,"11[migrated]2","Digital Archive","",""
03/10/1992 22:15,0.350,2.94,"11[migrated]2","Digital Archive","",""
11/11/1992 13:15,0.336,2.76,"11[migrated]2","Digital Archive","",""
26/11/1992 02:15,0.328,2.66,"11[migrated]2","Digital Archive","",""
28/11/1992 00:15,0.312,2.46,"11[migrated]2","Digital Archive","",""
01/12/1992 02:30,0.333,2.72,"11[migrated]2","Digital Archive","",""
03/12/1992 15:00,0.313,2.47,"11[migrated]2","Digital Archive","",""
10/01/1993 19:45,0.322,2.58,"11[migrated]2","Digital Archive","",""
13/01/1993 21:45,0.389,3.46,"11[migrated]2","Digital Archive","",""
01/04/1993 17:45,0.384,3.39,"11[migrated]2","Digital Archive","",""
12/06/1993 05:15,0.341,2.82,"11[migrated]2","Digital Archive","",""
13/10/1993 19:45,0.692,8.50,"11[migrated]2","Digital Archive","above bankfull peak, steep rise long recession.",""
14/11/1993 11:45,0.312,2.46,"11[migrated]2","Digital Archive","",""
10/01/1994 09:30,0.500,5.11,"11[migrated]2","Digital Archive","",""
12/01/1994 22:45,0.354,2.99,"11[migrated]2","Digital Archive","",""
03/02/1994 17:30,0.347,2.90,"11[migrated]2","Digital Archive","",""
28/07/1994 14:00,0.381,3.35,"11[migrated]2","Digital Archive","",""
24/11/1994 02:45,0.324,2.61,"11[migrated]2","Digital Archive","",""
22/01/1995 05:30,0.378,3.31,"11[migrated]2","Digital Archive","",""
29/01/1995 17:15,0.323,2.60,"11[migrated]2","Digital Archive","",""
01/02/1995 17:00,0.355,3.00,"11[migrated]2","Digital Archive","",""
03/03/1995 19:45,0.312,2.46,"11[migrated]2","Digital Archive","",""
07/03/1995 16:30,0.326,2.63,"11[migrated]2","Digital Archive","",""
23/12/1995 05:30,0.324,2.61,"11[migrated]2","Digital Archive","",""
09/01/1996 10:45,0.339,2.80,"11[migrated]2","Digital Archive","",""
12/02/1996 09:30,0.318,2.53,"11[migrated]2","Digital Archive","",""
26/06/1997 21:15,0.250,1.76,"11[migrated]2","Digital Archive","Non-independent peak removed A","AMAX ONLY"
09/04/1998 20:15,0.459,4.47,"11[migrated]2","Digital Archive","",""
15/04/1998 22:00,0.373,3.24,"11[migrated]2","Digital Archive","",""
27/09/1998 19:00,0.443,4.23,"11[migrated]2","Digital Archive","",""
02/11/1998 21:30,0.310,2.44,"11[migrated]2","Digital Archive","",""
05/08/1999 07:00,0.412,3.78,"11[migrated]2","Digital Archive","",""
04/04/2000 07:45,0.389,3.46,"11[migrated]2","Digital Archive","",""
28/05/2000 17:30,0.338,2.78,"11[migrated]2","Digital Archive","",""
21/08/2000 01:15,0.328,2.66,"11[migrated]2","Digital Archive","",""
30/10/2000 15:00,0.497,5.06,"11[migrated]2","Digital Archive","",""
02/11/2000 16:00,0.395,3.54,"11[migrated]2","Digital Archive","",""
07/11/2000 02:45,0.426,3.98,"11[migrated]2","Digital Archive","",""
08/12/2000 08:45,0.352,2.96,"11[migrated]2","Digital Archive","",""
13/12/2000 00:45,0.335,2.75,"11[migrated]2","Digital Archive","",""
24/12/2000 23:00,0.321,2.57,"11[migrated]2","Digital Archive","",""
04/01/2001 19:15,0.354,2.99,"11[migrated]2","Digital Archive","",""
27/01/2001 05:30,0.422,3.92,"11[migrated]2","Digital Archive","",""
05/02/2001 02:15,0.527,5.55,"11[migrated]2","Digital Archive","",""
08/02/2001 15:45,0.474,4.70,"11[migrated]2","Digital Archive","",""
12/02/2001 22:15,0.538,5.73,"11[migrated]2","Digital Archive","",""
15/02/2001 03:15,0.313,2.47,"11[migrated]2","Digital Archive","",""
23/03/2001 15:30,0.390,3.47,"11[migrated]2","Digital Archive","",""
27/03/2001 20:00,0.312,2.46,"11[migrated]2","Digital Archive","",""
18/07/2001 02:45,0.360,3.07,"11[migrated]2","Digital Archive","",""
03/08/2001 01:30,0.308,2.41,"11[migrated]2","Digital Archive","",""
09/08/2001 23:45,0.325,2.62,"11[migrated]2","Digital Archive","",""
31/08/2001 04:45,0.476,4.73,"11[migrated]2","Digital Archive","",""
21/10/2001 14:45,0.371,3.21,"11[migrated]2","Digital Archive","",""
09/08/2002 21:15,0.374,3.25,"11[migrated]2","Digital Archive","",""
23/08/2002 03:30,0.367,3.16,"11[migrated]2","Digital Archive","",""
09/09/2002 20:45,0.398,3.58,"11[migrated]2","Digital Archive","",""
