"NAME:","Bedford Ouse at Newport Pagnell Total"
"NUMBER:","33037"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/01/1970 00:00,0.980,33.23,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
03/02/1970 00:00,0.950,31.08,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
20/02/1970 00:00,1.100,42.45,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
13/03/1970 00:00,1.125,44.49,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
26/04/1970 00:00,1.080,40.85,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
20/11/1970 00:00,0.927,29.46,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
30/11/1970 00:00,1.100,42.45,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
05/12/1970 00:00,0.940,30.37,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
24/01/1971 00:00,1.164,47.75,"2c","CEHPOTS 23 May1978","Non-independent peak removed 10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
01/02/1971 00:00,1.220,52.59,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
19/03/1971 00:00,0.960,31.79,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
21/11/1971 00:00,0.905,27.95,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
29/11/1971 00:00,0.905,27.95,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
12/01/1972 00:00,0.990,33.96,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
27/01/1972 00:00,0.925,29.32,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
04/02/1972 00:00,1.115,43.67,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
06/03/1972 00:00,1.078,40.69,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
07/12/1972 00:00,0.985,33.60,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
29/06/1973 00:00,0.920,28.98,"2c","CEHPOTS 23 May1978","10.00 Datum, Threshold 10.9m, stage 10's m change to stage m",""
11/02/1974 00:00,1.198,50.66,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
16/02/1974 00:00,0.950,31.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
11/03/1974 00:00,0.960,31.79,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
08/10/1974 00:00,1.155,46.99,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
19/10/1974 00:00,0.945,30.72,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
15/11/1974 00:00,1.310,60.78,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
22/11/1974 00:00,1.405,69.94,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
21/01/1975 00:00,1.085,41.25,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
29/01/1975 00:00,1.087,41.41,"2c","CEH POTS Feb 01 1989 09:28","Non-independent peak removed Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
15/02/1975 00:00,1.090,41.65,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
09/03/1975 00:00,1.490,78.60,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
14/03/1975 00:00,1.305,60.31,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
19/04/1975 00:00,1.160,47.41,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
18/05/1975 00:00,0.920,28.98,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
05/01/1976 00:00,0.460,5.03,"2b","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
20/12/1976 00:00,1.210,51.71,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
01/01/1977 00:00,1.415,70.94,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
15/01/1977 00:00,1.060,39.27,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
28/01/1977 00:00,1.070,40.06,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
06/02/1977 00:00,1.090,41.65,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
11/02/1977 00:00,1.270,57.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
21/02/1977 00:00,1.310,60.78,"2c","CEH POTS Feb 01 1989 09:28","Non-independent peak removed Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
17/03/1977 00:00,0.950,31.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
11/12/1977 00:00,1.015,35.82,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
24/01/1978 00:00,1.085,41.25,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
29/01/1978 00:00,1.075,40.45,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
05/02/1978 00:00,1.005,35.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
07/05/1978 00:00,1.330,62.66,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
02/02/1979 00:00,1.408,70.24,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
08/02/1979 00:00,0.950,31.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
14/03/1979 00:00,0.950,31.08,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
20/03/1979 00:00,1.200,50.84,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
30/03/1979 00:00,1.380,67.48,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
08/04/1979 00:00,0.953,31.29,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
27/05/1979 00:00,0.985,32.65,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
11/12/1979 00:00,1.000,34.70,"2c","CEH POTS Feb 01 1989 09:28","Threshold Level = 0.90m, Datum 0.00, stage m at main weir 33137",""
15/12/1979 08:30,1.531,82.92,"2c","Digital Archive","Peak OK",""
29/12/1979 02:30,1.542,84.09,"2c","Digital Archive","Peak OK",""
27/07/1980 15:45,0.878,26.11,"2b","Digital Archive","",""
16/08/1980 15:30,1.327,62.38,"2c","Digital Archive","",""
17/10/1980 09:30,0.861,24.91,"2b","Digital Archive","",""
18/11/1980 11:00,0.935,30.02,"2c","Digital Archive","",""
21/12/1980 01:00,1.085,41.25,"2c","Digital Archive","",""
17/01/1981 15:15,0.861,24.91,"2b","Digital Archive","",""
22/01/1981 04:15,0.796,20.58,"2b","Digital Archive","",""
03/03/1981 15:00,1.174,48.60,"2c","Digital Archive","",""
12/03/1981 20:45,1.264,56.53,"2c","Digital Archive","",""
24/03/1981 18:00,0.935,30.02,"2c","Digital Archive","",""
02/04/1981 00:45,0.829,22.72,"2b","Digital Archive","",""
28/04/1981 09:15,1.498,79.43,"2c","Digital Archive","",""
26/05/1981 12:45,1.026,36.66,"2c","Digital Archive","",""
03/06/1981 00:45,0.850,24.14,"2b","Digital Archive","",""
21/10/1981 07:00,0.901,27.68,"2c","Digital Archive","",""
21/11/1981 00:15,0.867,25.33,"2b","Digital Archive","",""
16/12/1981 02:15,0.870,25.54,"2b","Digital Archive","",""
31/12/1981 17:45,1.353,64.86,"2c","Digital Archive","",""
06/01/1982 08:00,0.938,30.23,"2c","Digital Archive","",""
19/01/1982 05:45,1.039,37.65,"2c","Digital Archive","",""
08/03/1982 08:15,1.182,49.28,"2c","Digital Archive","",""
16/03/1982 20:45,1.506,80.27,"2c","Digital Archive","",""
15/11/1982 18:30,0.841,23.53,"2b","Digital Archive","",""
25/11/1982 18:30,0.939,30.30,"2c","Digital Archive","",""
11/12/1982 08:30,1.121,44.16,"2c","Digital Archive","",""
20/12/1982 09:45,0.984,33.52,"2c","Digital Archive","",""
01/02/1983 12:15,0.810,21.48,"2b","Digital Archive","",""
24/03/1983 14:15,0.915,28.64,"2c","Digital Archive","",""
12/04/1983 02:30,1.078,40.69,"2c","Digital Archive","",""
21/04/1983 11:45,0.971,32.58,"2c","Digital Archive","",""
26/04/1983 00:30,0.925,29.32,"2c","Digital Archive","",""
02/05/1983 23:00,1.391,68.56,"2c","Digital Archive","",""
22/05/1983 15:30,0.940,30.37,"2c","Digital Archive","",""
01/06/1983 21:30,0.945,30.72,"2c","Digital Archive","",""
21/12/1983 12:45,0.792,20.33,"2b","Digital Archive","",""
03/01/1984 18:00,0.852,24.28,"2b","Digital Archive","",""
27/01/1984 19:15,1.151,46.65,"2c","Digital Archive","Non-independent peak removed",""
07/02/1984 20:15,1.093,41.89,"2c","Digital Archive","",""
23/02/1984 09:15,0.785,19.89,"2b","Digital Archive","",""
25/03/1984 05:00,1.042,37.88,"2c","Digital Archive","",""
