"NAME:","Little Ouse at Knettishall"
"NUMBER:","33063"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/12/1980 00:00,0.385,2.22,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
20/12/1980 00:00,0.515,3.51,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
14/01/1981 00:00,0.455,2.88,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
17/01/1981 00:00,0.365,2.05,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
10/03/1981 00:00,0.755,4.68,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
14/03/1981 00:00,0.480,3.14,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
27/04/1981 00:00,0.835,5.03,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
31/12/1981 00:00,0.320,1.67,"1b","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
05/01/1982 00:00,0.380,2.18,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
20/03/1982 00:00,0.328,1.74,"1b","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
22/10/1982 00:00,0.470,3.03,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
25/11/1982 00:00,0.415,2.50,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
10/12/1982 00:00,0.760,4.70,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
07/02/1983 00:00,0.355,1.96,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
11/04/1983 00:00,0.450,2.83,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
18/04/1983 00:00,0.438,2.72,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
08/05/1983 00:00,0.410,2.45,"1c","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
21/05/1983 00:00,0.570,3.90,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
28/01/1984 00:00,0.740,4.62,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
07/02/1984 00:00,0.565,3.88,"1d","CEH POTS 16-2-89","Datum 0.00 Threshold 0.324 applied",""
24/11/1984 19:00,0.535,3.73,"1c","Digital Archive","Datum 0.00 Threshold 0.324 applied",""
20/12/1984 23:00,0.344,1.87,"1b","Digital Archive","Datum 0.00 Threshold 0.324 applied",""
26/12/1984 10:45,0.284,1.39,"1b","Digital Archive","",""
22/01/1985 20:15,0.675,4.34,"1d","Digital Archive","",""
26/01/1985 16:45,0.370,2.09,"1c","Digital Archive","",""
30/01/1985 08:30,0.381,2.19,"1c","Digital Archive","",""
11/02/1985 11:15,0.326,1.72,"1b","Digital Archive","",""
15/04/1985 03:30,0.555,3.84,"1d","Digital Archive","",""
15/05/1985 06:30,0.458,2.91,"1c","Digital Archive","",""
22/05/1985 04:30,0.421,2.55,"1c","Digital Archive","",""
07/06/1985 17:15,0.479,3.13,"1c","Digital Archive","",""
12/06/1985 15:30,0.483,3.17,"1c","Digital Archive","",""
25/06/1985 03:30,0.469,3.02,"1c","Digital Archive","",""
27/12/1985 02:45,0.444,2.77,"1c","Digital Archive","",""
02/01/1986 22:15,0.273,1.30,"1b","Digital Archive","",""
10/01/1986 21:15,0.393,2.29,"1c","Digital Archive","",""
20/01/1986 02:00,0.234,1.03,"1b","Digital Archive","",""
03/02/1986 14:15,0.224,0.96,"1b","Digital Archive","",""
25/03/1986 01:30,0.317,1.65,"1b","Digital Archive","",""
20/04/1986 23:45,0.289,1.43,"1b","Digital Archive","",""
21/11/1986 18:00,0.216,0.91,"1a","Digital Archive","",""
19/12/1986 08:45,0.237,1.05,"1b","Digital Archive","",""
25/12/1986 23:30,0.363,2.03,"1c","Digital Archive","",""
02/01/1987 02:15,0.527,3.64,"1c","Digital Archive","",""
05/01/1987 05:30,0.363,2.03,"1c","Digital Archive","",""
24/01/1987 12:45,0.256,1.18,"1b","Digital Archive","",""
28/02/1987 03:00,0.356,1.97,"1c","Digital Archive","",""
02/04/1987 16:00,0.456,2.89,"1c","Digital Archive","",""
10/04/1987 10:00,0.356,1.97,"1c","Digital Archive","",""
11/06/1987 21:15,0.217,0.92,"1a","Digital Archive","",""
30/07/1987 09:45,0.335,1.79,"1b","Digital Archive","",""
27/08/1987 16:30,1.185,6.64,"1d","Digital Archive","peak reached just at the wall height",""
07/09/1987 12:15,0.244,1.10,"1b","Digital Archive","",""
17/10/1987 04:30,0.924,5.42,"1d","Digital Archive","",""
12/11/1987 16:15,0.354,1.95,"1c","Digital Archive","",""
20/11/1987 06:45,0.635,4.17,"1d","Digital Archive","",""
18/12/1987 02:30,0.337,1.81,"1b","Digital Archive","",""
02/01/1988 07:00,0.266,1.25,"1b","Digital Archive","",""
06/01/1988 06:00,0.310,1.59,"1b","Digital Archive","",""
14/01/1988 10:45,0.351,1.93,"1c","Digital Archive","",""
24/01/1988 18:30,0.602,4.04,"1d","Digital Archive","",""
30/01/1988 21:30,0.790,4.83,"1d","Digital Archive","",""
02/03/1988 04:00,0.303,1.53,"1b","Digital Archive","",""
15/03/1988 18:30,0.526,3.63,"1c","Digital Archive","",""
22/03/1988 02:15,0.524,3.61,"1c","Digital Archive","",""
28/04/1988 17:00,0.307,1.57,"1b","Digital Archive","",""
07/07/1988 03:30,0.221,0.94,"1b","Digital Archive","",""
20/10/1988 18:30,0.296,1.48,"1b","Digital Archive","",""
30/11/1988 16:30,0.233,1.02,"1b","Digital Archive","",""
06/01/1989 08:45,0.216,0.91,"1a","Digital Archive","",""
27/02/1989 13:00,0.326,1.72,"1b","Digital Archive","",""
17/03/1989 04:00,0.465,2.98,"1c","Digital Archive","",""
24/04/1989 05:15,0.303,1.53,"1b","Digital Archive","",""
21/12/1989 12:15,0.231,1.01,"1b","Digital Archive","",""
04/02/1990 04:30,0.512,3.48,"1c","Digital Archive","",""
01/03/1990 07:00,0.286,1.40,"1b","Digital Archive","",""
17/02/1991 07:00,0.157,0.56,"1a","Digital Archive","","AMAX ONLY"
10/01/1992 00:45,0.243,1.09,"1b","Digital Archive","",""
31/03/1992 14:45,0.232,1.02,"1b","Digital Archive","",""
23/11/1992 11:00,0.212,0.89,"1a","Digital Archive","",""
28/11/1992 12:30,0.381,2.19,"1c","Digital Archive","",""
04/12/1992 05:00,0.291,1.44,"1b","Digital Archive","",""
07/12/1992 21:45,0.345,1.88,"1b","Digital Archive","",""
07/01/1993 08:00,0.351,1.93,"1c","Digital Archive","",""
11/01/1993 23:30,0.398,2.34,"1c","Digital Archive","",""
02/03/1993 15:15,0.324,1.70,"1b","Digital Archive","",""
25/04/1993 19:15,0.280,1.36,"1b","Digital Archive","",""
14/10/1993 12:45,0.727,4.56,"1d","Digital Archive","",""
16/11/1993 03:15,0.777,4.78,"1d","Digital Archive","",""
09/12/1993 08:45,0.361,2.01,"1c","Digital Archive","",""
13/12/1993 14:30,0.538,3.76,"1c","Digital Archive","",""
21/12/1993 23:15,0.574,3.92,"1d","Digital Archive","",""
25/12/1993 03:45,0.522,3.58,"1c","Digital Archive","",""
07/01/1994 06:00,0.526,3.63,"1c","Digital Archive","Non-independent peak removed B","AMAX ONLY"
04/02/1994 03:00,0.456,2.89,"1c","Digital Archive","",""
25/02/1994 02:45,0.289,1.43,"1b","Digital Archive","",""
19/03/1994 13:15,0.268,1.27,"1b","Digital Archive","",""
26/03/1994 06:15,0.236,1.04,"1b","Digital Archive","",""
01/04/1994 20:30,0.360,2.01,"1c","Digital Archive","",""
05/04/1994 01:15,0.519,3.55,"1c","Digital Archive","",""
09/04/1994 06:45,0.446,2.79,"1c","Digital Archive","",""
16/04/1994 17:00,0.284,1.39,"1b","Digital Archive","",""
11/01/1995 09:00,0.298,1.49,"1b","Digital Archive","",""
23/01/1995 08:00,0.439,2.73,"1c","Digital Archive","",""
28/01/1995 08:30,0.458,2.91,"1c","Digital Archive","",""
02/02/1995 01:15,0.493,3.27,"1c","Digital Archive","",""
11/02/1995 12:15,0.291,1.44,"1b","Digital Archive","",""
29/03/1995 01:30,0.216,0.91,"1a","Digital Archive","",""
23/12/1995 00:00,0.143,0.49,"1a","Digital Archive","","AMAX ONLY"
20/11/1996 14:30,0.199,0.80,"1a","Digital Archive","","AMAX ONLY"
20/12/1997 04:30,0.382,2.20,"1c","Digital Archive","",""
06/01/1998 07:30,0.368,2.07,"1c","Digital Archive","",""
19/01/1998 15:30,0.370,2.09,"1c","Digital Archive","",""
07/03/1998 13:30,0.371,2.10,"1c","Digital Archive","",""
11/04/1998 12:15,0.809,4.91,"1d","Digital Archive","",""
16/04/1998 08:00,0.377,2.15,"1c","Digital Archive","",""
16/06/1998 19:15,0.245,1.10,"1b","Digital Archive","",""
29/10/1998 09:45,0.270,1.28,"1b","Digital Archive","",""
03/11/1998 21:00,0.446,2.79,"1c","Digital Archive","",""
10/11/1998 08:00,0.351,1.93,"1c","Digital Archive","",""
11/12/1998 16:30,0.272,1.30,"1b","Digital Archive","",""
16/12/1998 13:45,0.275,1.32,"1b","Digital Archive","",""
27/12/1998 04:45,0.391,2.28,"1c","Digital Archive","",""
04/01/1999 18:45,0.352,3.05,"1c","Digital Archive","",""
17/01/1999 00:00,0.326,1.72,"1b","Digital Archive","",""
29/01/1999 00:45,0.238,1.06,"1b","Digital Archive","",""
22/02/1999 04:15,0.217,0.92,"1a","Digital Archive","",""
03/03/1999 11:00,0.486,3.20,"1c","Digital Archive","",""
11/03/1999 09:30,0.637,4.18,"1d","Digital Archive","",""
22/03/1999 10:15,0.263,1.23,"1b","Digital Archive","",""
18/04/1999 03:15,0.256,1.18,"1b","Digital Archive","",""
25/04/1999 19:00,0.742,4.62,"1d","Digital Archive","",""
13/06/1999 17:30,0.224,0.96,"1b","Digital Archive","",""
07/07/1999 08:00,0.214,0.90,"1a","Digital Archive","",""
12/08/1999 05:15,0.317,1.65,"1b","Digital Archive","",""
17/09/1999 12:00,0.236,1.04,"1b","Digital Archive","",""
23/09/1999 20:30,0.323,1.69,"1b","Digital Archive","",""
25/10/1999 13:30,0.215,0.90,"1a","Digital Archive","",""
14/12/1999 10:45,0.493,3.27,"1c","Digital Archive","",""
23/12/1999 18:00,0.425,2.59,"1c","Digital Archive","",""
04/01/2000 14:00,0.286,1.40,"1b","Digital Archive","",""
02/02/2000 14:30,0.215,0.90,"1a","Digital Archive","",""
09/02/2000 00:00,0.264,1.24,"1b","Digital Archive","",""
19/02/2000 15:15,0.241,1.08,"1b","Digital Archive","",""
04/03/2000 08:30,0.312,1.61,"1b","Digital Archive","",""
26/04/2000 20:45,0.279,1.35,"1b","Digital Archive","",""
30/05/2000 10:15,0.716,4.51,"1d","Digital Archive","",""
22/10/2000 17:15,0.238,1.06,"1b","Digital Archive","",""
01/11/2000 06:15,0.867,5.17,"1d","Digital Archive","",""
08/11/2000 18:00,0.949,5.54,"1d","Digital Archive","flat peak above modular limit.",""
13/11/2000 11:00,0.695,4.42,"1d","Digital Archive","",""
24/11/2000 09:30,0.403,2.39,"1c","Digital Archive","",""
28/11/2000 22:00,0.481,3.15,"1c","Digital Archive","",""
13/12/2000 10:45,0.305,1.55,"1b","Digital Archive","",""
25/12/2000 20:30,0.603,4.04,"1d","Digital Archive","",""
06/01/2001 06:00,0.600,4.03,"1d","Digital Archive","",""
24/01/2001 16:45,0.444,2.77,"1c","Digital Archive","",""
28/01/2001 00:30,0.570,3.90,"1d","Digital Archive","",""
06/02/2001 05:15,0.944,5.51,"1d","Digital Archive","",""
09/02/2001 17:00,0.721,4.53,"1d","Digital Archive","",""
13/02/2001 08:45,0.513,3.49,"1c","Digital Archive","",""
01/03/2001 11:15,0.409,2.44,"1c","Digital Archive","",""
09/03/2001 15:45,0.535,3.73,"1c","Digital Archive","",""
12/03/2001 22:30,0.619,4.11,"1d","Digital Archive","",""
18/03/2001 00:45,0.518,3.54,"1c","Digital Archive","",""
24/03/2001 05:00,0.521,3.57,"1c","Digital Archive","",""
30/03/2001 06:30,0.400,2.36,"1c","Digital Archive","",""
