"NAME:","Wensum at Costessey Mill"
"NUMBER:","34004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/02/1960 00:00,1.330,25.29,"3c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
03/11/1960 00:00,1.180,17.24,"3b","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
28/11/1960 00:00,1.150,16.33,"3b","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
06/12/1960 00:00,1.350,26.70,"3c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
22/12/1960 00:00,1.300,23.25,"3c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
07/01/1961 00:00,1.340,22.27,"4c","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
22/01/1961 00:00,,15.20,"4a","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied, estimate",""
12/01/1962 00:00,1.180,14.29,"4b","CEH","",""
12/11/1962 00:00,1.180,14.29,"4b","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
31/03/1963 00:00,1.070,11.39,"4b","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
16/03/1964 00:00,1.180,14.29,"4b","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
26/03/1965 00:00,1.280,11.70,"4c","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied, estimate",""
12/12/1965 00:00,1.340,22.27,"4c","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
20/12/1965 00:00,1.280,21.93,"5c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
02/01/1966 00:00,1.110,15.11,"5b","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
10/02/1966 00:00,1.160,16.63,"5b","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
22/02/1966 00:00,1.250,20.04,"5c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
23/11/1966 00:00,1.200,14.83,"6b","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
15/01/1968 00:00,1.250,16.77,"6c","CEH POT 31-10-72","Datum 0.609 Threshold 1.206 applied",""
19/09/1968 00:00,1.250,20.04,"7c","CEH POT 31-10-72","Datum 0.609 Threshold 1.105 applied",""
25/02/1969 00:00,0.660,8.37,"7a","CEH POT 31-10-72","Datum 0 Threshold 1.105 applied",""
03/12/1969 00:00,1.160,16.48,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
09/12/1969 00:00,1.120,15.23,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
16/12/1969 00:00,1.130,15.54,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
23/02/1970 00:00,1.160,16.48,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
14/03/1970 00:00,1.150,16.16,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
30/12/1970 00:00,1.210,18.12,"9b","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
25/01/1971 00:00,1.250,19.97,"9c","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
23/11/1971 00:00,1.270,21.20,"9c","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
29/01/1972 00:00,1.290,22.48,"9c","CEH POT 31-8-79","datum 0.00 Threshold 1.113 applied",""
