"NAME:","Ant at Honing Lock"
"NUMBER:","34008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/02/1967 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
27/02/1967 00:00,0.220,0.86,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
10/04/1967 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
15/05/1967 00:00,0.270,1.17,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
07/11/1967 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
05/01/1968 00:00,0.180,0.64,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
14/01/1968 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
08/02/1968 00:00,0.230,0.92,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
03/01/1969 00:00,0.230,0.92,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
12/02/1969 00:00,0.200,0.74,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
22/02/1969 00:00,0.230,0.92,"1a","CEH POT 11May72","Non-independent peak removed Datum 0.0 Threshold 0.183m applied",""
24/02/1969 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
03/03/1969 00:00,0.190,0.69,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
13/03/1969 00:00,0.250,1.04,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
19/03/1969 00:00,0.250,1.04,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
31/03/1969 00:00,0.180,0.64,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
15/04/1969 00:00,0.260,1.10,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
23/04/1969 00:00,0.220,0.86,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
18/05/1969 00:00,0.260,1.10,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
03/06/1969 00:00,0.210,0.80,"1a","CEH POT 11May72","Datum 0.0 Threshold 0.183m applied",""
26/11/1969 00:00,0.190,0.69,"1a","CEH POT 18Jun79","Datum 0.0 Threshold 0.183m applied",""
16/12/1969 00:00,0.230,0.92,"1a","CEH POT 18Jun79","Datum 0.0 Threshold 0.183m applied",""
10/01/1970 00:00,0.230,0.92,"1a","CEH POT 18Jun79","Datum 0.0 Threshold 0.183m applied",""
15/01/1970 00:00,0.190,0.69,"1a","CEH POT 18Jun79","Datum 0.0 Threshold 0.183m applied",""
