"NAME:","Wensum at Fakenham"
"NUMBER:","34011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/11/1966 00:00,0.490,3.16,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
22/11/1966 00:00,0.550,4.79,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
01/12/1966 00:00,0.450,2.70,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
10/12/1966 00:00,0.450,2.70,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
13/12/1966 00:00,0.460,2.82,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
31/12/1966 00:00,0.460,2.82,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
28/02/1967 00:00,0.490,3.16,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
27/05/1967 00:00,0.590,5.35,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
30/05/1967 00:00,0.570,5.07,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
06/11/1967 00:00,0.460,2.82,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
14/01/1968 00:00,0.520,4.38,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
12/09/1968 00:00,0.470,2.93,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
18/09/1968 00:00,0.590,5.35,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
22/12/1968 00:00,0.463,2.85,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
07/01/1969 00:00,0.508,4.23,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
14/01/1969 00:00,0.505,4.19,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
18/01/1969 00:00,0.500,4.12,"","CEH POT 31Oct72","Non-independent peak removed Datum 0.0 Threshold 0.431m applied",""
21/01/1969 00:00,0.456,2.77,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
28/01/1969 00:00,0.580,5.21,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
06/02/1969 00:00,0.900,10.43,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied. Peak and comment from CEH.",""
12/02/1969 00:00,0.458,2.79,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
24/02/1969 00:00,0.570,5.07,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
13/03/1969 00:00,0.540,4.65,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
31/03/1969 00:00,0.450,2.70,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
15/04/1969 00:00,0.500,4.12,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
18/05/1969 00:00,0.500,4.12,"","CEH POT 31Oct72","Datum 0.0 Threshold 0.431m applied",""
08/12/1969 00:00,0.450,2.84,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied.",""
15/12/1969 00:00,0.510,3.60,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
20/02/1970 00:00,0.500,3.47,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
22/02/1970 00:00,0.550,4.15,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
13/03/1970 00:00,0.520,3.73,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
13/04/1970 00:00,0.500,3.47,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
24/01/1971 00:00,0.580,4.59,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
21/11/1971 00:00,0.460,2.96,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
28/01/1972 00:00,0.580,4.59,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied",""
20/06/1973 00:00,,1.50,"","CEH POT 03Apr79","Datum 0.0 Threshold 0.429m applied Estimates",""
09/02/1974 00:00,,2.51,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied Sluice CLosedEstimates",""
15/02/1974 00:00,0.433,2.65,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
04/10/1974 00:00,0.435,2.67,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
29/10/1974 00:00,0.430,2.61,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
19/11/1974 00:00,0.690,6.36,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
29/11/1974 00:00,0.460,2.96,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
22/01/1975 00:00,0.520,3.73,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
27/01/1975 00:00,0.510,3.60,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
31/01/1975 00:00,0.460,2.96,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied Obstruction suspected",""
13/02/1975 00:00,0.440,2.73,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
04/04/1975 00:00,0.540,4.01,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
19/04/1975 00:00,0.510,3.60,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
07/05/1975 00:00,0.450,2.84,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
17/05/1975 00:00,0.490,3.34,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
02/01/1976 00:00,,1.40,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied Sluice closed Estimates",""
13/11/1976 00:00,,2.84,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied Sluice closed Estimates",""
03/01/1977 00:00,0.480,3.21,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
16/01/1977 00:00,0.500,3.47,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
28/01/1977 00:00,0.560,4.29,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
07/02/1977 00:00,0.460,2.96,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
12/02/1977 00:00,0.880,10.05,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied. Peak and comment from CEH.",""
21/02/1977 00:00,0.580,4.59,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
25/02/1977 00:00,0.500,3.47,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
02/02/1978 00:00,0.480,3.21,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
21/03/1978 00:00,0.490,3.34,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
06/05/1978 00:00,0.440,2.73,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
29/12/1978 00:00,0.500,3.47,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
02/02/1979 00:00,0.580,4.59,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
24/02/1979 00:00,0.450,2.84,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
29/03/1979 00:00,0.660,5.85,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
06/04/1979 00:00,,3.00,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied Sluice closed Estimates",""
14/12/1979 00:00,0.730,7.07,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied. Peak and comment from CEH.",""
28/12/1979 00:00,0.550,4.15,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
04/01/1980 00:00,0.520,3.73,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
05/02/1980 00:00,0.510,3.60,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
08/02/1980 00:00,0.540,4.01,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
14/03/1980 00:00,0.460,2.96,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
18/03/1980 00:00,0.443,2.76,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
10/07/1980 01:15,0.551,1.02,"","Digital Archive","","AMAX ONLY"
16/11/1980 09:30,0.654,2.07,"","Digital Archive","","AMAX ONLY"
18/12/1980 00:00,0.475,3.15,"","CEH POT 09Sep91","Datum 0.0 Threshold 0.429m applied",""
