"NAME:","Gipping at Bramford"
"NUMBER:","35010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/11/1970 00:00,0.500,7.21,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
04/12/1970 00:00,0.520,7.73,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
30/12/1970 00:00,0.640,11.64,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
21/01/1971 00:00,0.480,6.73,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
24/01/1971 00:00,0.720,14.67,"2c","CEH POTS 12/10/79","Non-independent peak removed Datum 0.0 Threshold 0.453m applied",""
27/01/1971 00:00,0.630,11.29,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
01/02/1971 00:00,0.530,8.03,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
21/11/1971 00:00,0.570,9.27,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
28/11/1971 00:00,0.620,10.94,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
12/01/1972 00:00,0.230,2.07,"2a","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
26/01/1972 00:00,0.800,18.04,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
06/02/1972 00:00,0.500,7.21,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
05/05/1973 00:00,,1.75,"2a","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied Estimation",""
11/02/1974 00:00,0.500,7.21,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
14/02/1974 00:00,0.470,6.50,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
15/02/1974 00:00,0.480,6.73,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
08/10/1974 00:00,0.510,7.46,"2b","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
19/11/1974 00:00,0.690,13.50,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
22/11/1974 00:00,0.840,19.85,"2c","CEH POTS 12/10/79","Datum 0.0 Threshold 0.453m applied",""
