"NAME:","Lee at Feildes Weir"
"NUMBER:","38001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/11/1851 00:00,,45.13,"","CEH files","","AMAX ONLY"
01/11/1852 00:00,,50.37,"","CEH files","","AMAX ONLY"
01/01/1856 00:00,,32.75,"","CEH files","","AMAX ONLY"
23/10/1857 00:00,,280.00,"","CEH files","","AMAX ONLY"
01/02/1873 00:00,,46.37,"","CEH files","","AMAX ONLY"
01/02/1874 00:00,,24.97,"","CEH files","","AMAX ONLY"
01/11/1875 00:00,,48.66,"","CEH files","","AMAX ONLY"
01/12/1876 00:00,,52.37,"","CEH files","","AMAX ONLY"
01/01/1877 00:00,,47.38,"","CEH files","","AMAX ONLY"
01/02/1878 00:00,,29.15,"","CEH files","","AMAX ONLY"
01/12/1881 00:00,,62.73,"","CEH files","","AMAX ONLY"
01/10/1882 09:00,,52.80,"","CEH files","","AMAX ONLY"
01/02/1883 00:00,,50.77,"","CEH files","","AMAX ONLY"
01/01/1884 00:00,,45.52,"","CEH files","","AMAX ONLY"
01/11/1885 00:00,,50.15,"","CEH files","","AMAX ONLY"
01/05/1886 00:00,,54.79,"","CEH files","","AMAX ONLY"
01/01/1887 00:00,,60.75,"","CEH files","","AMAX ONLY"
01/11/1888 00:00,,41.17,"","CEH files","","AMAX ONLY"
01/02/1889 00:00,,46.86,"","CEH files","","AMAX ONLY"
01/03/1890 00:00,,55.34,"","CEH files","","AMAX ONLY"
01/12/1891 00:00,,52.85,"","CEH files","","AMAX ONLY"
01/10/1892 00:00,,43.36,"","CEH files","","AMAX ONLY"
01/02/1893 00:00,,44.51,"","CEH files","","AMAX ONLY"
01/11/1894 00:00,,58.40,"","CEH files","","AMAX ONLY"
01/01/1895 00:00,,39.80,"","CEH files","","AMAX ONLY"
01/12/1896 00:00,,39.45,"","CEH files","","AMAX ONLY"
01/02/1897 00:00,,49.61,"","CEH files","","AMAX ONLY"
01/03/1898 00:00,,10.40,"","CEH files","","AMAX ONLY"
01/11/1899 00:00,,19.33,"","CEH files","","AMAX ONLY"
01/02/1900 00:00,,47.81,"","CEH files","","AMAX ONLY"
01/03/1901 00:00,,12.95,"","CEH files","","AMAX ONLY"
01/06/1902 00:00,,15.66,"","CEH files","","AMAX ONLY"
01/10/1903 09:00,,55.33,"","CEH files","","AMAX ONLY"
01/02/1904 00:00,,50.29,"","Chart","","AMAX ONLY"
01/03/1905 00:00,,34.14,"","CEH files","","AMAX ONLY"
01/12/1906 00:00,,28.07,"","CEH files","","AMAX ONLY"
01/01/1907 00:00,,57.12,"","CEH files","","AMAX ONLY"
01/04/1908 00:00,,32.87,"","CEH files","","AMAX ONLY"
01/10/1909 09:00,,36.05,"","CEH files","","AMAX ONLY"
01/10/1910 09:00,,55.40,"","CEH files","","AMAX ONLY"
01/12/1911 00:00,,37.60,"","CEH files","","AMAX ONLY"
01/01/1912 00:00,,60.42,"","CEH files","","AMAX ONLY"
01/01/1913 00:00,,31.19,"","CEH files","","AMAX ONLY"
01/12/1914 00:00,,75.37,"","CEH files","","AMAX ONLY"
01/01/1915 00:00,,56.74,"","CEH files","","AMAX ONLY"
01/03/1916 00:00,,72.09,"","CEH files","","AMAX ONLY"
01/10/1917 00:00,,28.59,"","CEH files","","AMAX ONLY"
01/04/1918 00:00,,76.72,"","CEH files","","AMAX ONLY"
01/04/1919 00:00,,83.49,"","CEH files","","AMAX ONLY"
01/01/1920 00:00,,28.18,"","CEH files","","AMAX ONLY"
01/01/1921 00:00,,20.34,"","CEH files","","AMAX ONLY"
01/12/1922 00:00,,14.35,"","CEH files","","AMAX ONLY"
01/03/1923 00:00,,27.00,"","CEH files","","AMAX ONLY"
01/01/1924 00:00,,52.20,"","CEH files","","AMAX ONLY"
01/01/1925 00:00,,60.13,"","CEH files","","AMAX ONLY"
01/02/1926 00:00,,70.87,"","CEH files","","AMAX ONLY"
01/11/1927 00:00,,61.34,"","CEH files","","AMAX ONLY"
01/01/1928 00:00,,78.65,"","CEH files","","AMAX ONLY"
01/12/1929 00:00,,38.71,"","CEH files","","AMAX ONLY"
01/12/1930 00:00,,38.36,"","CEH files","","AMAX ONLY"
01/04/1931 00:00,,24.04,"","CEH files","","AMAX ONLY"
01/05/1932 00:00,,20.89,"","CEH files","","AMAX ONLY"
01/02/1933 00:00,,19.33,"","CEH files","","AMAX ONLY"
01/12/1934 00:00,,8.94,"","CEH files","","AMAX ONLY"
01/12/1935 00:00,,23.38,"","CEH files","","AMAX ONLY"
01/01/1936 00:00,,33.90,"","CEH files","","AMAX ONLY"
01/03/1937 00:00,,40.32,"","CEH files","","AMAX ONLY"
01/12/1938 00:00,,29.17,"","CEH files","","AMAX ONLY"
01/01/1939 00:00,,40.01,"","CEH files","","AMAX ONLY"
01/02/1940 00:00,,44.23,"","CEH files","","AMAX ONLY"
01/03/1941 00:00,,46.12,"","CEH files","","AMAX ONLY"
01/01/1942 00:00,,33.45,"","CEH files","","AMAX ONLY"
01/02/1943 00:00,,42.51,"","CEH files","","AMAX ONLY"
01/11/1944 00:00,,12.97,"","CEH files","","AMAX ONLY"
01/02/1945 00:00,,31.88,"","CEH files","","AMAX ONLY"
01/11/1946 00:00,,24.67,"","CEH files","","AMAX ONLY"
01/03/1947 00:00,,117.92,"","CEH files","","AMAX ONLY"
01/01/1948 00:00,,14.49,"","CEH files","","AMAX ONLY"
01/01/1949 00:00,,31.11,"","CEH files","","AMAX ONLY"
01/11/1950 00:00,,29.16,"","CEH files","","AMAX ONLY"
01/01/1951 00:00,,38.96,"","CEH files","","AMAX ONLY"
01/11/1952 00:00,,26.72,"","CEH files","","AMAX ONLY"
01/02/1953 00:00,,38.99,"","CEH files","","AMAX ONLY"
01/12/1954 00:00,,30.52,"","CEH files","","AMAX ONLY"
01/01/1955 00:00,,26.11,"","CEH files","","AMAX ONLY"
01/01/1956 00:00,,26.57,"","CEH files","","AMAX ONLY"
01/12/1957 00:00,,29.00,"","CEH files","","AMAX ONLY"
01/06/1958 00:00,,44.61,"","CEH files","","AMAX ONLY"
01/01/1959 00:00,,39.62,"","CEH files","","AMAX ONLY"
01/12/1960 00:00,,39.05,"","CEH files","","AMAX ONLY"
01/02/1961 00:00,,35.38,"","CEH files","","AMAX ONLY"
01/01/1962 00:00,,33.11,"","CEH files","","AMAX ONLY"
01/11/1963 00:00,,34.81,"","CEH files","","AMAX ONLY"
01/03/1964 00:00,,37.38,"","CEH files","","AMAX ONLY"
01/10/1965 00:00,,9.06,"","Hydpeaks","",""
29/11/1965 00:00,,30.90,"","Hydpeaks","",""
10/12/1965 00:00,,32.60,"","Hydpeaks","",""
10/02/1966 00:00,,33.10,"","Hydpeaks","",""
19/04/1966 00:00,,28.30,"","Hydpeaks","",""
12/05/1966 00:00,,8.50,"","Hydpeaks","",""
23/06/1966 00:00,,12.70,"","Hydpeaks","",""
19/07/1966 00:00,,5.38,"","Hydpeaks","",""
30/08/1966 00:00,,16.50,"","Hydpeaks","",""
23/10/1966 00:00,,23.50,"","Hydpeaks","",""
06/11/1966 00:00,,13.90,"","Hydpeaks","",""
11/12/1966 00:00,,36.80,"","Hydpeaks","",""
28/02/1967 00:00,,34.00,"","Hydpeaks","",""
10/03/1967 00:00,,23.20,"","Hydpeaks","",""
10/04/1967 00:00,,15.40,"","Hydpeaks","",""
06/05/1967 00:00,,24.20,"","Hydpeaks","",""
25/06/1967 00:00,,14.40,"","Hydpeaks","",""
23/07/1967 00:00,,8.21,"","Hydpeaks","",""
02/08/1967 00:00,,4.25,"","Hydpeaks","",""
26/09/1967 00:00,,4.25,"","Hydpeaks","",""
17/10/1967 00:00,,19.10,"","Hydpeaks","",""
02/11/1967 00:00,,24.10,"","Hydpeaks","",""
26/12/1967 00:00,,22.20,"","Hydpeaks","",""
14/01/1968 00:00,,35.80,"","Hydpeaks","",""
05/02/1968 00:00,,13.50,"","Hydpeaks","",""
21/03/1968 00:00,,4.73,"","Hydpeaks","",""
05/05/1968 00:00,,8.92,"","Hydpeaks","",""
28/06/1968 00:00,,7.28,"","Hydpeaks","",""
14/07/1968 00:00,,13.30,"","Hydpeaks","",""
