"NAME:","Pymmes Brook at Edmonton Silver Street"
"NUMBER:","38022"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/05/1954 00:00,,5.27,"","Hydpeaks","",""
12/06/1954 00:00,,22.10,"","Hydpeaks","",""
25/07/1954 00:00,,6.91,"","Hydpeaks","",""
09/08/1954 00:00,,12.30,"","Hydpeaks","",""
24/09/1954 00:00,,5.78,"","Hydpeaks","",""
23/10/1954 00:00,,12.00,"","Hydpeaks","",""
28/11/1954 00:00,,9.63,"","Hydpeaks","",""
12/12/1954 00:00,,12.60,"","Hydpeaks","",""
16/01/1955 00:00,,11.00,"","Hydpeaks","",""
23/03/1955 00:00,,4.45,"","Hydpeaks","",""
07/04/1955 00:00,,1.42,"","Hydpeaks","",""
28/05/1955 00:00,,14.70,"","Hydpeaks","",""
08/06/1955 00:00,,11.00,"","Hydpeaks","",""
11/07/1955 00:00,,4.19,"","Hydpeaks","",""
13/08/1955 00:00,,11.60,"","Hydpeaks","",""
22/09/1955 00:00,,9.20,"","Hydpeaks","",""
19/10/1955 00:00,,21.00,"","Hydpeaks","",""
15/12/1955 00:00,,5.66,"","Hydpeaks","",""
30/01/1956 00:00,,7.65,"","Hydpeaks","",""
13/04/1956 00:00,,3.06,"","Hydpeaks","",""
29/05/1956 00:00,,6.80,"","Hydpeaks","",""
11/06/1956 00:00,,11.90,"","Hydpeaks","",""
09/07/1956 00:00,,26.30,"","Hydpeaks","",""
06/08/1956 00:00,,21.80,"","Hydpeaks","",""
01/10/1956 09:00,,19.30,"","Hydpeaks","",""
14/11/1956 00:00,,3.11,"","Hydpeaks","",""
28/12/1956 00:00,,9.06,"","Hydpeaks","",""
24/01/1957 00:00,,7.45,"","Hydpeaks","",""
11/02/1957 00:00,,11.80,"","Hydpeaks","",""
26/03/1957 00:00,,5.52,"","Hydpeaks","",""
22/04/1957 00:00,,1.30,"","Hydpeaks","",""
13/05/1957 00:00,,3.96,"","Hydpeaks","",""
10/06/1957 00:00,,5.32,"","Hydpeaks","",""
02/07/1957 00:00,,8.27,"","Hydpeaks","",""
12/08/1957 00:00,,12.70,"","Hydpeaks","",""
24/09/1957 00:00,,8.50,"","Hydpeaks","",""
16/10/1957 00:00,,10.50,"","Hydpeaks","",""
03/11/1957 00:00,,14.70,"","Hydpeaks","",""
12/12/1957 00:00,,7.82,"","Hydpeaks","",""
05/01/1958 00:00,,14.20,"","Hydpeaks","",""
24/02/1958 00:00,,13.90,"","Hydpeaks","",""
27/03/1958 00:00,,2.46,"","Hydpeaks","",""
05/04/1958 00:00,,7.16,"","Hydpeaks","",""
26/05/1958 00:00,,11.60,"","Hydpeaks","",""
02/06/1958 00:00,,19.50,"","Hydpeaks","",""
16/07/1958 00:00,,9.06,"","Hydpeaks","",""
28/08/1958 00:00,,9.63,"","Hydpeaks","",""
23/09/1958 00:00,,19.50,"","Hydpeaks","",""
02/11/1958 00:00,,9.74,"","Hydpeaks","",""
13/12/1958 00:00,,10.80,"","Hydpeaks","",""
20/01/1959 00:00,,9.91,"","Hydpeaks","",""
21/02/1959 00:00,,0.77,"","Hydpeaks","",""
05/03/1959 00:00,,6.51,"","Hydpeaks","",""
26/04/1959 00:00,,9.91,"","Hydpeaks","",""
21/05/1959 00:00,,5.55,"","Hydpeaks","",""
10/07/1959 00:00,,12.20,"","Hydpeaks","",""
22/08/1959 00:00,,12.70,"","Hydpeaks","",""
07/09/1959 00:00,,0.68,"","Hydpeaks","",""
26/10/1959 00:00,,16.40,"","Hydpeaks","",""
13/11/1959 00:00,,9.91,"","Hydpeaks","",""
05/12/1959 00:00,,9.29,"","Hydpeaks","",""
23/01/1960 00:00,,11.00,"","Hydpeaks","",""
25/02/1960 00:00,,6.48,"","Hydpeaks","",""
10/03/1960 00:00,,9.63,"","Hydpeaks","",""
07/04/1960 00:00,,1.93,"","Hydpeaks","",""
19/05/1960 00:00,,8.98,"","Hydpeaks","",""
09/06/1960 00:00,,5.10,"","Hydpeaks","",""
10/07/1960 00:00,,9.91,"","Hydpeaks","",""
18/08/1960 00:00,,10.90,"","Hydpeaks","",""
19/09/1960 00:00,,19.00,"","Hydpeaks","",""
30/10/1960 00:00,,16.10,"","Hydpeaks","",""
04/12/1960 00:00,,15.90,"","Hydpeaks","",""
28/01/1961 00:00,,7.31,"","Hydpeaks","",""
27/02/1961 00:00,,9.15,"","Hydpeaks","",""
20/04/1961 00:00,,6.00,"","Hydpeaks","",""
04/05/1961 00:00,,13.30,"","Hydpeaks","",""
12/06/1961 00:00,,11.20,"","Hydpeaks","",""
02/07/1961 00:00,,8.07,"","Hydpeaks","",""
10/08/1961 00:00,,9.34,"","Hydpeaks","",""
12/09/1961 00:00,,12.50,"","Hydpeaks","",""
04/10/1961 00:00,,6.74,"","Hydpeaks","",""
11/11/1961 00:00,,10.90,"","Hydpeaks","",""
01/12/1961 00:00,,11.00,"","Hydpeaks","",""
21/01/1962 00:00,,11.80,"","Hydpeaks","",""
12/02/1962 00:00,,3.11,"","Hydpeaks","",""
19/03/1962 00:00,,5.55,"","Hydpeaks","",""
08/04/1962 00:00,,8.01,"","Hydpeaks","",""
04/05/1962 00:00,,3.00,"","Hydpeaks","",""
29/06/1962 00:00,,1.87,"","Hydpeaks","",""
21/07/1962 00:00,,15.60,"","Hydpeaks","",""
06/08/1962 00:00,,10.20,"","Hydpeaks","",""
29/09/1962 00:00,,12.80,"","Hydpeaks","",""
01/10/1962 09:00,,15.10,"","Hydpeaks","",""
20/12/1962 00:00,,4.90,"","Hydpeaks","",""
28/01/1963 00:00,,1.50,"","Hydpeaks","",""
08/02/1963 00:00,,1.22,"","Hydpeaks","",""
11/03/1963 00:00,,6.23,"","Hydpeaks","",""
16/04/1963 00:00,,5.01,"","Hydpeaks","",""
01/05/1963 00:00,,9.85,"","Hydpeaks","",""
13/06/1963 00:00,,10.60,"","Hydpeaks","",""
06/07/1963 00:00,,10.60,"","Hydpeaks","",""
20/10/1963 00:00,,3.60,"","Hydpeaks","",""
18/11/1963 00:00,,17.50,"","Hydpeaks","",""
26/12/1963 00:00,,2.86,"","Hydpeaks","",""
17/01/1964 00:00,,4.39,"","Hydpeaks","",""
14/03/1964 00:00,,9.12,"","Hydpeaks","",""
20/04/1964 00:00,,17.80,"","Hydpeaks","",""
21/07/1964 00:00,,35.10,"","Hydpeaks","",""
18/08/1964 00:00,,5.04,"","Hydpeaks","",""
14/09/1964 00:00,,1.27,"","Hydpeaks","",""
07/10/1964 00:00,,4.81,"","Hydpeaks","",""
30/11/1964 00:00,,5.83,"","Hydpeaks","",""
13/12/1964 00:00,,4.93,"","Hydpeaks","",""
13/01/1965 00:00,,4.67,"","Hydpeaks","",""
16/02/1965 00:00,,1.61,"","Hydpeaks","",""
16/03/1965 00:00,,6.37,"","Hydpeaks","",""
08/04/1965 00:00,,7.25,"","Hydpeaks","",""
17/05/1965 00:00,,6.31,"","Hydpeaks","",""
17/06/1965 00:00,,14.30,"","Hydpeaks","",""
20/07/1965 00:00,,37.10,"","Hydpeaks","",""
02/08/1965 00:00,,7.65,"","Hydpeaks","",""
08/09/1965 00:00,,12.50,"","Hydpeaks","",""
14/10/1965 00:00,,3.17,"","Hydpeaks","",""
20/11/1965 00:00,,7.59,"","Hydpeaks","",""
09/12/1965 00:00,,11.70,"","Hydpeaks","",""
25/02/1966 00:00,,6.51,"","Hydpeaks","",""
11/03/1966 00:00,,1.13,"","Hydpeaks","",""
19/04/1966 00:00,,12.90,"","Hydpeaks","",""
05/05/1966 00:00,,9.91,"","Hydpeaks","",""
22/06/1966 00:00,,28.20,"","Hydpeaks","",""
05/07/1966 00:00,,28.90,"","Hydpeaks","",""
30/08/1966 00:00,,20.80,"","Hydpeaks","",""
04/09/1966 00:00,,4.25,"","Hydpeaks","",""
02/10/1966 00:00,,10.90,"","Hydpeaks","",""
05/11/1966 00:00,,5.47,"","Hydpeaks","",""
10/12/1966 00:00,,10.30,"","Hydpeaks","",""
28/01/1967 00:00,,4.53,"","Hydpeaks","",""
26/02/1967 00:00,,11.00,"","Hydpeaks","",""
09/03/1967 00:00,,9.00,"","Hydpeaks","",""
10/04/1967 00:00,,13.30,"","Hydpeaks","",""
30/05/1967 00:00,,9.06,"","Hydpeaks","",""
25/06/1967 00:00,,24.60,"","Hydpeaks","",""
22/07/1967 00:00,,10.50,"","Hydpeaks","",""
19/08/1967 00:00,,7.79,"","Hydpeaks","",""
25/09/1967 00:00,,7.79,"","Hydpeaks","",""
03/10/1967 00:00,,15.30,"","Hydpeaks","",""
02/11/1967 00:00,,10.60,"","Hydpeaks","",""
18/12/1967 00:00,,7.50,"","Hydpeaks","",""
13/01/1968 00:00,,9.77,"","Hydpeaks","",""
05/02/1968 00:00,,7.93,"","Hydpeaks","",""
24/03/1968 00:00,,4.50,"","Hydpeaks","",""
17/04/1968 00:00,,13.00,"","Hydpeaks","",""
11/05/1968 00:00,,12.50,"","Hydpeaks","",""
20/06/1968 00:00,,15.60,"","Hydpeaks","",""
14/07/1968 00:00,,14.20,"","Hydpeaks","",""
09/08/1968 00:00,,11.60,"","Hydpeaks","",""
16/09/1968 00:00,,17.00,"","Hydpeaks","",""
08/10/1968 00:00,,13.00,"","Hydpeaks","",""
01/11/1968 00:00,,17.40,"","Hydpeaks","",""
17/12/1968 00:00,,21.20,"","Hydpeaks","",""
28/01/1969 00:00,,5.80,"","Hydpeaks","",""
20/02/1969 00:00,,4.53,"","Hydpeaks","",""
10/03/1969 00:00,,9.11,"","Hydpeaks","",""
23/04/1969 00:00,,4.98,"","Hydpeaks","",""
25/05/1969 00:00,,6.99,"","Hydpeaks","",""
23/06/1969 00:00,,4.70,"","Hydpeaks","",""
29/07/1969 00:00,,13.00,"","Hydpeaks","",""
02/08/1969 00:00,,26.30,"","Hydpeaks","",""
22/09/1969 00:00,,0.42,"","Hydpeaks","",""
14/10/1969 00:00,,2.86,"","Hydpeaks","",""
12/11/1969 00:00,,9.23,"","Hydpeaks","",""
22/12/1969 00:00,,7.24,"","Hydpeaks","",""
10/01/1970 00:00,,5.63,"","Hydpeaks","",""
18/02/1970 00:00,,3.48,"","Hydpeaks","",""
23/03/1970 00:00,,9.42,"","Hydpeaks","",""
06/04/1970 00:00,,6.57,"","Hydpeaks","",""
10/05/1970 00:00,,11.00,"","Hydpeaks","",""
09/06/1970 00:00,,5.18,"","Hydpeaks","",""
07/07/1970 00:00,,4.30,"","Hydpeaks","",""
06/08/1970 00:00,,18.10,"","Hydpeaks","",""
12/09/1970 00:00,,13.00,"","Hydpeaks","",""
05/10/1970 00:00,,3.51,"","Hydpeaks","",""
14/11/1970 00:00,,17.70,"","Hydpeaks","",""
03/12/1970 00:00,,5.09,"","Hydpeaks","",""
26/01/1971 00:00,,9.79,"","Hydpeaks","",""
17/02/1971 00:00,,2.52,"","Hydpeaks","",""
14/03/1971 00:00,,8.43,"","Hydpeaks","",""
24/04/1971 00:00,,5.32,"","Hydpeaks","",""
06/05/1971 00:00,,8.97,"","Hydpeaks","",""
19/06/1971 00:00,,10.00,"","Hydpeaks","",""
27/07/1971 00:00,,6.62,"","Hydpeaks","",""
04/08/1971 00:00,,25.50,"","Hydpeaks","",""
26/09/1971 00:00,,12.60,"","Hydpeaks","",""
17/10/1971 00:00,,8.89,"","Hydpeaks","",""
27/11/1971 00:00,,10.30,"","Hydpeaks","",""
19/12/1971 00:00,,12.40,"","Hydpeaks","",""
11/01/1972 00:00,,5.26,"","Hydpeaks","",""
11/02/1972 00:00,,6.42,"","Hydpeaks","",""
05/03/1972 00:00,,7.13,"","Hydpeaks","",""
13/04/1972 00:00,,6.57,"","Hydpeaks","",""
31/05/1972 00:00,,6.50,"","Hydpeaks","",""
18/06/1972 00:00,,3.48,"","Hydpeaks","",""
01/08/1972 00:00,,11.30,"","Hydpeaks","",""
18/09/1972 00:00,,8.49,"","Hydpeaks","",""
12/11/1972 00:00,,11.60,"","Hydpeaks","",""
