"NAME:","Thame at Shabbington"
"NUMBER:","39038"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/07/1968 00:00,,28.89,"","FEH","",""
18/09/1968 00:00,,27.17,"","FEH","",""
04/11/1968 00:00,,22.95,"","FEH","",""
18/12/1968 00:00,,17.67,"","FEH","",""
14/01/1969 00:00,,19.35,"","FEH","",""
18/01/1969 00:00,,20.52,"","FEH","",""
12/02/1969 00:00,,13.78,"","FEH","",""
23/02/1969 00:00,,16.85,"","FEH","",""
14/03/1969 00:00,,23.89,"","FEH","",""
19/03/1969 00:00,,12.58,"","FEH","",""
20/02/1970 00:00,,11.44,"","FEH","",""
14/03/1970 00:00,,19.35,"","FEH","",""
01/12/1970 00:00,,15.02,"","FEH","",""
25/01/1971 00:00,,24.53,"","FEH","",""
02/02/1971 00:00,,22.33,"","FEH","",""
20/03/1971 00:00,,14.77,"","FEH","",""
21/06/1971 00:00,,24.21,"","FEH","",""
22/11/1971 00:00,,12.82,"","FEH","",""
29/11/1971 00:00,,14.27,"","FEH","",""
12/01/1972 00:00,,11.89,"","FEH","",""
28/01/1972 00:00,,12.82,"","FEH","",""
05/02/1972 00:00,,17.67,"","FEH","",""
12/02/1972 00:00,,11.22,"","FEH","",""
08/03/1972 00:00,,18.78,"","FEH","",""
07/12/1972 00:00,,13.05,"","FEH","",""
10/02/1974 00:00,,16.45,"","FEH","",""
08/10/1974 00:00,,22.39,"","FEH","",""
14/11/1974 00:00,,26.20,"","FEH","",""
21/01/1975 00:00,,17.60,"","FEH","",""
29/01/1975 00:00,,19.22,"","FEH","",""
16/02/1975 00:00,,13.22,"","FEH","",""
09/03/1975 00:00,,22.48,"","FEH","",""
14/03/1975 00:00,,18.36,"","FEH","",""
18/05/1975 00:00,,12.08,"","FEH","",""
02/12/1975 00:00,,1.77,"","Hydpeaks","","AMAX ONLY"
20/12/1976 00:00,,18.44,"","FEH","",""
01/01/1977 00:00,,20.55,"","FEH","",""
15/01/1977 00:00,,20.55,"","FEH","",""
06/02/1977 00:00,,11.25,"","FEH","",""
21/02/1977 00:00,,24.31,"","FEH","",""
12/12/1977 00:00,,13.81,"","FEH","",""
24/01/1978 00:00,,18.10,"","FEH","",""
29/01/1978 00:00,,20.37,"","FEH","",""
07/05/1978 00:00,,27.53,"","FEH","",""
02/02/1979 00:00,,20.37,"","FEH","",""
08/02/1979 00:00,,11.52,"","FEH","",""
19/03/1979 00:00,,19.92,"","FEH","",""
29/03/1979 00:00,,22.77,"","FEH","",""
09/04/1979 00:00,,14.25,"","FEH","",""
15/12/1979 00:00,,27.11,"","FEH","",""
28/12/1979 00:00,,26.09,"","FEH","",""
05/01/1980 00:00,,13.95,"","FEH","",""
06/02/1980 00:00,,11.94,"","FEH","",""
19/03/1980 00:00,,13.95,"","FEH","",""
16/08/1980 00:00,,21.92,"","FEH","",""
17/10/1980 00:00,,14.41,"","FEH","",""
18/11/1980 00:00,,11.39,"","FEH","",""
11/03/1981 00:00,,22.96,"","FEH","",""
28/04/1981 00:00,,20.55,"","FEH","",""
26/05/1981 00:00,,25.19,"","FEH","",""
21/10/1981 00:00,,11.52,"","FEH","",""
16/12/1981 00:00,,21.65,"","FEH","",""
30/12/1981 00:00,,20.10,"","FEH","",""
19/01/1982 00:00,,18.19,"","FEH","",""
07/03/1982 00:00,,13.22,"","FEH","",""
13/03/1982 00:00,,11.66,"","FEH","",""
16/03/1982 00:00,,24.80,"","FEH","",""
23/10/1982 00:00,,18.02,"","FEH","",""
16/11/1982 00:00,,12.78,"","FEH","",""
25/11/1982 00:00,,23.72,"","FEH","",""
11/12/1982 00:00,,25.99,"","FEH","",""
21/12/1982 00:00,,16.61,"","FEH","",""
21/04/1983 00:00,,12.93,"","FEH","",""
02/05/1983 00:00,,24.60,"","FEH","",""
02/06/1983 00:00,,14.25,"","FEH","",""
07/07/1983 00:00,,4.16,"","Hydpeaks","",""
22/09/1983 00:00,,1.52,"","Hydpeaks","",""
16/10/1983 00:00,,4.10,"","Hydpeaks","",""
27/11/1983 00:00,,8.87,"","Hydpeaks","",""
21/12/1983 00:00,,10.40,"","Hydpeaks","",""
27/01/1984 00:00,,15.40,"","Hydpeaks","",""
07/02/1984 00:00,,9.82,"","Hydpeaks","",""
25/03/1984 00:00,,21.40,"","Hydpeaks","",""
22/05/1984 00:00,,4.91,"","Hydpeaks","",""
07/06/1984 00:00,,3.22,"","Hydpeaks","",""
02/07/1984 00:00,,0.91,"","Hydpeaks","",""
23/10/1984 00:00,,1.55,"","Hydpeaks","",""
25/11/1984 00:00,,17.40,"","Hydpeaks","",""
17/12/1984 00:00,,7.92,"","Hydpeaks","",""
09/02/1985 00:00,,13.20,"","Hydpeaks","",""
02/03/1985 00:00,,7.38,"","Hydpeaks","",""
15/05/1985 00:00,,6.14,"","Hydpeaks","",""
26/06/1985 00:00,,13.60,"","Hydpeaks","",""
06/08/1985 00:00,,3.80,"","Hydpeaks","",""
04/09/1985 00:00,,3.50,"","Hydpeaks","",""
07/10/1985 00:00,,1.34,"","Hydpeaks","",""
05/03/1986 00:00,,8.43,"","Hydpeaks","",""
21/04/1986 00:00,,10.30,"","Hydpeaks","",""
22/05/1986 00:00,,12.50,"","Hydpeaks","",""
28/08/1986 00:00,,8.15,"","Hydpeaks","",""
15/09/1986 00:00,,8.14,"","Hydpeaks","",""
22/10/1986 00:00,,6.85,"","Hydpeaks","",""
22/11/1986 00:00,,17.10,"","Hydpeaks","",""
16/12/1986 00:00,,17.40,"","Hydpeaks","",""
02/01/1987 00:00,,18.00,"","Hydpeaks","",""
27/02/1987 00:00,,4.21,"","Hydpeaks","",""
27/03/1987 00:00,,9.94,"","Hydpeaks","",""
08/04/1987 00:00,,23.90,"","Hydpeaks","",""
14/05/1987 00:00,,2.39,"","Hydpeaks","",""
