"NAME:","Hart at Bramshill House"
"NUMBER:","39044"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/10/1972 00:00,,0.37,"","Hydpeaks","",""
12/11/1972 00:00,,1.30,"","Hydpeaks","",""
04/12/1972 00:00,,4.50,"","FEH","",""
06/12/1972 00:00,,8.46,"","FEH","",""
09/02/1974 00:00,,4.88,"","FEH","",""
11/02/1974 00:00,,7.08,"","FEH","",""
14/02/1974 00:00,,7.47,"","FEH","",""
05/09/1974 00:00,,8.50,"","FEH","",""
27/09/1974 00:00,,5.01,"","FEH","",""
14/11/1974 00:00,,11.70,"","FEH","",""
16/11/1974 00:00,,6.43,"","FEH","",""
18/11/1974 00:00,,11.00,"","FEH","",""
20/11/1974 00:00,,4.74,"","FEH","",""
21/11/1974 00:00,,11.50,"","FEH","",""
27/12/1974 00:00,,8.74,"","FEH","",""
18/01/1975 00:00,,9.20,"","FEH","",""
20/01/1975 00:00,,10.00,"","FEH","",""
22/01/1975 00:00,,6.18,"","FEH","",""
26/01/1975 00:00,,9.49,"","FEH","",""
27/01/1975 00:00,,6.63,"","FEH","",""
31/01/1975 00:00,,3.53,"","FEH","",""
08/03/1975 00:00,,5.83,"","FEH","",""
27/03/1975 00:00,,4.47,"","FEH","",""
18/04/1975 00:00,,5.80,"","FEH","",""
17/05/1975 00:00,,7.69,"","FEH","",""
27/09/1975 00:00,,6.82,"","FEH","",""
28/11/1975 00:00,,8.77,"","FEH","",""
01/12/1975 00:00,,9.83,"","FEH","",""
02/10/1976 00:00,,3.86,"","FEH","",""
12/11/1976 00:00,,6.00,"","FEH","",""
30/11/1976 00:00,,6.89,"","FEH","",""
06/12/1976 00:00,,4.99,"","FEH","",""
31/12/1976 00:00,,8.32,"","FEH","",""
14/01/1977 00:00,,4.62,"","FEH","",""
10/02/1977 00:00,,8.36,"","FEH","",""
18/02/1977 00:00,,8.18,"","FEH","",""
20/02/1977 00:00,,5.15,"","FEH","",""
15/03/1977 00:00,,3.55,"","FEH","",""
07/12/1977 00:00,,4.53,"","FEH","",""
10/12/1977 00:00,,6.37,"","FEH","",""
11/01/1978 00:00,,3.73,"","FEH","",""
23/01/1978 00:00,,5.02,"","FEH","",""
28/01/1978 00:00,,8.81,"","FEH","",""
26/02/1978 00:00,,4.12,"","FEH","",""
16/03/1978 00:00,,6.37,"","FEH","",""
01/05/1978 00:00,,9.01,"","FEH","",""
31/07/1978 00:00,,5.85,"","FEH","",""
10/12/1978 00:00,,4.59,"","FEH","",""
24/12/1978 00:00,,4.35,"","FEH","",""
28/12/1978 00:00,,5.03,"","FEH","",""
10/01/1979 00:00,,4.78,"","FEH","",""
01/02/1979 00:00,,3.61,"","FEH","",""
13/03/1979 00:00,,5.69,"","FEH","",""
25/03/1979 00:00,,4.91,"","FEH","",""
07/04/1979 00:00,,4.83,"","FEH","",""
30/05/1979 00:00,,10.30,"","FEH","",""
28/12/1979 00:00,,9.52,"","FEH","",""
21/01/1980 00:00,,4.51,"","FEH","",""
01/04/1980 00:00,,5.09,"","FEH","",""
20/09/1980 00:00,,5.64,"","FEH","",""
11/10/1980 00:00,,5.26,"","FEH","",""
16/10/1980 00:00,,6.75,"","FEH","",""
02/03/1981 00:00,,5.52,"","FEH","",""
25/05/1981 00:00,,9.69,"","FEH","",""
02/06/1981 00:00,,4.38,"","FEH","",""
13/12/1981 00:00,,7.16,"","FEH","",""
29/12/1981 00:00,,5.52,"","FEH","",""
22/10/1982 00:00,,7.84,"","FEH","",""
09/12/1982 00:00,,5.28,"","FEH","",""
09/12/1982 06:00,,5.45,"","FEH","",""
12/12/1982 00:00,,5.26,"","FEH","",""
01/06/1983 00:00,,5.74,"","FEH","",""
07/07/1983 00:00,,0.79,"","Hydpeaks","",""
02/08/1983 00:00,,0.67,"","Hydpeaks","",""
16/09/1983 00:00,,0.61,"","Hydpeaks","",""
15/10/1983 00:00,,2.13,"","Hydpeaks","",""
26/11/1983 00:00,,2.22,"","Hydpeaks","",""
20/12/1983 00:00,,3.63,"","Hydpeaks","",""
16/01/1984 00:00,,6.06,"","Hydpeaks","",""
22/02/1984 00:00,,2.35,"","Hydpeaks","",""
24/03/1984 00:00,,7.91,"","Hydpeaks","",""
27/05/1984 00:00,,4.22,"","Hydpeaks","",""
23/07/1984 00:00,,2.03,"","Hydpeaks","",""
04/08/1984 00:00,,2.19,"","Hydpeaks","",""
21/09/1984 00:00,,2.26,"","Hydpeaks","",""
24/10/1984 00:00,,5.46,"","Hydpeaks","",""
23/11/1984 00:00,,6.56,"","Hydpeaks","",""
16/12/1984 00:00,,4.14,"","Hydpeaks","",""
21/01/1985 00:00,,5.54,"","Hydpeaks","",""
08/02/1985 00:00,,5.95,"","Hydpeaks","",""
26/03/1985 00:00,,2.23,"","Hydpeaks","",""
11/04/1985 00:00,,1.78,"","Hydpeaks","",""
27/05/1985 00:00,,3.14,"","Hydpeaks","",""
24/06/1985 00:00,,2.58,"","Hydpeaks","",""
04/08/1985 00:00,,1.32,"","Hydpeaks","",""
04/09/1985 00:00,,0.82,"","Hydpeaks","",""
06/10/1985 00:00,,0.60,"","Hydpeaks","",""
16/11/1985 00:00,,0.71,"","Hydpeaks","",""
26/12/1985 00:00,,7.91,"","Hydpeaks","",""
03/01/1986 00:00,,9.15,"","Hydpeaks","",""
03/02/1986 00:00,,2.30,"","Hydpeaks","",""
24/03/1986 00:00,,2.41,"","Hydpeaks","",""
16/04/1986 00:00,,3.11,"","Hydpeaks","",""
20/05/1986 00:00,,2.23,"","Hydpeaks","",""
11/06/1986 00:00,,0.86,"","Hydpeaks","",""
05/07/1986 00:00,,1.01,"","Hydpeaks","",""
25/08/1986 00:00,,3.37,"","Hydpeaks","",""
15/09/1986 00:00,,0.59,"","Hydpeaks","",""
14/10/1986 00:00,,1.63,"","Hydpeaks","",""
18/11/1986 00:00,,6.47,"","Hydpeaks","",""
15/12/1986 00:00,,3.92,"","Hydpeaks","",""
01/01/1987 00:00,,4.19,"","Hydpeaks","",""
14/02/1987 00:00,,2.01,"","Hydpeaks","",""
27/03/1987 00:00,,3.95,"","Hydpeaks","",""
04/04/1987 23:15,0.606,4.08,"","Digital Archive","",""
07/04/1987 15:30,0.603,4.06,"","Digital Archive","",""
08/10/1987 00:00,0.435,2.42,"","Digital Archive","",""
10/10/1987 13:00,0.927,8.14,"","Digital Archive","",""
16/10/1987 09:00,1.177,12.06,"","Digital Archive","Non-independent peak removed B",""
21/10/1987 07:30,1.215,12.72,"","Digital Archive","",""
12/11/1987 08:15,0.861,7.20,"","Digital Archive","",""
19/11/1987 22:45,0.497,2.98,"","Digital Archive","",""
05/01/1988 12:45,0.531,3.30,"","Digital Archive","",""
22/01/1988 13:45,0.601,3.71,"","Digital Archive","",""
25/01/1988 13:45,0.986,4.61,"","Digital Archive","",""
30/01/1988 02:15,1.100,5.20,"","Digital Archive","",""
01/02/1988 09:45,1.006,9.29,"","Digital Archive","",""
04/02/1988 15:15,0.600,4.01,"","Digital Archive","",""
