"NAME:","Crane at Cranford Park"
"NUMBER:","39057"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/02/1974 00:00,,7.82,"1a","FEH","",""
26/06/1974 00:00,,7.82,"1a","FEH","",""
05/09/1974 00:00,,10.09,"1a","FEH","",""
27/09/1974 00:00,,12.78,"1a","FEH","",""
18/10/1974 00:00,,7.82,"1a","FEH","",""
11/11/1974 00:00,,7.62,"1a","FEH","",""
14/11/1974 00:00,,12.09,"1a","FEH","",""
18/11/1974 00:00,,15.27,"1a","FEH","",""
21/11/1974 00:00,,15.29,"1a","FEH","",""
18/01/1975 00:00,,10.09,"1a","FEH","",""
20/01/1975 00:00,,12.78,"1a","FEH","",""
28/01/1975 00:00,,8.26,"1a","FEH","",""
08/03/1975 00:00,,9.58,"1a","FEH","",""
18/04/1975 00:00,,7.39,"1a","FEH","",""
17/05/1975 00:00,,14.32,"1a","FEH","",""
13/09/1975 00:00,,9.25,"1a","FEH","",""
27/09/1975 00:00,,14.02,"1a","FEH","",""
28/11/1975 00:00,,8.89,"1a","FEH","",""
12/11/1976 00:00,,8.26,"1a","FEH","",""
30/11/1976 00:00,,13.90,"1a","FEH","",""
31/12/1976 00:00,,7.82,"1a","FEH","",""
13/01/1977 00:00,,9.25,"1a","FEH","",""
09/02/1977 00:00,,7.32,"1a","FEH","",""
20/02/1977 00:00,,8.06,"1a","FEH","",""
17/08/1977 00:00,,17.94,"1a","FEH","",""
07/12/1977 00:00,,10.09,"1a","FEH","",""
11/01/1978 00:00,,14.79,"1a","FEH","",""
02/03/1978 00:00,,8.23,"1a","FEH","",""
05/05/1978 00:00,,15.84,"2a","FEH","",""
31/07/1978 00:00,,9.95,"2a","FEH","",""
10/12/1978 00:00,,11.62,"2a","FEH","",""
28/12/1978 00:00,,7.15,"2a","FEH","",""
01/02/1979 00:00,,7.34,"2a","FEH","",""
13/03/1979 00:00,,7.55,"2a","FEH","",""
08/04/1979 00:00,,17.64,"2a","FEH","",""
13/12/1979 00:00,,7.79,"2a","FEH","",""
27/12/1979 00:00,,17.18,"2a","FEH","",""
01/04/1980 00:00,,10.13,"2a","FEH","",""
13/06/1980 00:00,,8.17,"2a","FEH","",""
14/08/1980 00:00,,7.53,"2a","FEH","",""
15/10/1980 00:00,,12.36,"2a","FEH","",""
10/03/1981 00:00,,8.01,"2a","FEH","",""
25/05/1981 00:00,,9.95,"2a","FEH","",""
02/06/1981 00:00,,11.29,"2a","FEH","",""
06/08/1981 00:00,,9.91,"2a","FEH","",""
20/10/1981 00:00,,8.18,"2a","FEH","",""
14/12/1981 00:00,,8.34,"2a","FEH","",""
27/05/1982 00:00,,8.79,"2a","FEH","",""
26/06/1982 00:00,,13.13,"2a","FEH","",""
22/10/1982 00:00,,10.89,"2a","FEH","",""
24/11/1982 00:00,,10.15,"2a","FEH","",""
25/11/1982 00:00,,10.13,"2a","FEH","",""
08/12/1982 00:00,,12.04,"2a","FEH","",""
09/12/1982 00:00,,11.86,"2a","FEH","",""
10/12/1982 00:00,,9.80,"2a","FEH","",""
31/01/1983 00:00,,4.05,"2a","Hydpeaks","",""
01/02/1983 00:00,,3.87,"2a","Hydpeaks","",""
23/03/1983 00:00,,2.69,"2a","Hydpeaks","",""
18/04/1983 00:00,,8.97,"2a","Hydpeaks","",""
31/05/1983 00:00,,10.10,"2a","Hydpeaks","",""
01/06/1983 00:00,,10.10,"2a","Hydpeaks","",""
06/07/1983 00:00,,6.92,"2a","Hydpeaks","",""
01/08/1983 00:00,,3.36,"2a","Hydpeaks","",""
13/09/1983 00:00,,1.75,"2a","Hydpeaks","",""
15/10/1983 00:00,,5.61,"2a","Hydpeaks","",""
26/11/1983 00:00,,7.57,"2a","Hydpeaks","",""
20/12/1983 00:00,,3.95,"2a","Hydpeaks","",""
23/01/1984 00:00,,6.52,"2a","Hydpeaks","",""
22/02/1984 00:00,,3.08,"2a","Hydpeaks","",""
24/03/1984 00:00,,12.20,"2a","Hydpeaks","",""
02/04/1984 00:00,,0.56,"2a","Hydpeaks","",""
17/06/1984 00:00,,5.88,"2a","Hydpeaks","",""
04/08/1984 00:00,,1.94,"2a","Hydpeaks","",""
20/09/1984 00:00,,9.15,"2a","Hydpeaks","",""
05/10/1984 00:00,,12.60,"2a","Hydpeaks","",""
22/11/1984 00:00,,7.93,"2a","Hydpeaks","",""
16/12/1984 00:00,,4.12,"2a","Hydpeaks","",""
22/01/1985 06:00,0.527,4.29,"2b","Digital Archive","",""
26/01/1985 02:00,0.697,6.79,"2b","Digital Archive","",""
08/02/1985 15:15,0.495,3.87,"2b","Digital Archive","",""
26/03/1985 18:00,0.488,3.78,"2b","Digital Archive","",""
15/05/1985 01:15,0.792,8.37,"2b","Digital Archive","",""
07/06/1985 06:45,0.578,5.00,"2b","Digital Archive","",""
04/08/1985 20:00,0.518,4.17,"2b","Digital Archive","",""
05/12/1985 12:45,0.492,3.83,"2b","Digital Archive","",""
07/12/1985 01:45,0.504,3.99,"2b","Digital Archive","",""
26/12/1985 09:00,0.929,10.87,"2b","Digital Archive","",""
03/01/1986 05:15,1.087,14.05,"2b","Digital Archive","",""
08/01/1986 12:15,0.586,5.11,"2b","Digital Archive","",""
30/01/1986 10:30,0.633,5.80,"2b","Digital Archive","",""
20/04/1986 00:00,0.572,4.91,"2b","Hydpeaks","",""
20/05/1986 00:00,0.734,7.39,"2b","Hydpeaks","",""
11/06/1986 00:00,0.298,1.67,"2b","Hydpeaks","",""
04/07/1986 00:00,0.775,8.08,"2b","Hydpeaks","",""
25/08/1986 00:00,0.674,6.43,"2b","Hydpeaks","",""
13/09/1986 00:00,0.411,2.85,"2b","Hydpeaks","",""
14/10/1986 00:00,0.683,6.57,"2b","Hydpeaks","",""
14/11/1986 00:00,0.621,5.62,"2b","Hydpeaks","",""
31/12/1986 00:00,0.600,5.31,"2b","Hydpeaks","",""
01/01/1987 00:00,0.638,5.88,"2b","Hydpeaks","",""
27/02/1987 00:00,0.695,6.76,"2b","Hydpeaks","",""
01/03/1987 00:00,0.487,3.77,"2b","Hydpeaks","",""
07/04/1987 00:00,0.816,8.79,"2b","Hydpeaks","",""
14/05/1987 10:45,0.614,5.52,"2b","Digital Archive","",""
31/05/1987 08:30,0.575,4.95,"2b","Digital Archive","",""
04/06/1987 17:30,0.699,6.82,"2b","Digital Archive","",""
08/06/1987 18:15,0.620,5.61,"2b","Digital Archive","",""
19/06/1987 06:30,0.537,4.43,"2b","Digital Archive","",""
18/07/1987 18:45,0.575,4.95,"2b","Digital Archive","",""
30/07/1987 00:00,0.652,6.09,"2b","Digital Archive","",""
22/08/1987 17:15,0.577,4.98,"2b","Digital Archive","",""
10/10/1987 14:00,1.024,12.74,"2b","Digital Archive","",""
16/10/1987 02:30,0.699,6.82,"2b","Digital Archive","",""
21/10/1987 10:15,1.148,15.36,"2b","Digital Archive","",""
12/11/1987 04:15,0.750,7.66,"2b","Digital Archive","",""
19/11/1987 19:15,0.671,6.38,"2b","Digital Archive","",""
05/01/1988 12:30,0.614,5.52,"2b","Digital Archive","",""
22/01/1988 12:00,0.814,8.76,"2b","Digital Archive","",""
25/01/1988 09:30,0.811,8.70,"2b","Digital Archive","",""
28/01/1988 02:00,0.603,5.36,"2b","Digital Archive","",""
29/01/1988 18:30,1.019,12.64,"2b","Digital Archive","",""
01/02/1988 08:00,0.739,7.48,"2b","Digital Archive","",""
15/03/1988 19:15,0.504,3.99,"2b","Digital Archive","",""
21/03/1988 04:30,0.705,6.92,"2b","Digital Archive","",""
25/03/1988 09:00,0.492,3.83,"2b","Digital Archive","",""
30/03/1988 00:45,0.497,3.90,"2b","Digital Archive","",""
09/05/1988 01:30,1.190,16.28,"2b","Digital Archive","",""
09/06/1988 08:15,0.521,4.21,"2b","Digital Archive","",""
03/07/1988 18:00,0.518,4.17,"2b","Digital Archive","",""
23/07/1988 03:15,0.497,3.90,"2b","Digital Archive","",""
01/09/1988 14:45,0.712,7.03,"2b","Digital Archive","",""
09/10/1988 07:30,0.814,8.76,"2b","Digital Archive","",""
27/02/1989 01:15,0.601,5.33,"2b","Digital Archive","",""
16/03/1989 21:00,0.828,9.00,"2b","Digital Archive","",""
21/03/1989 03:00,0.611,5.47,"2b","Digital Archive","",""
05/04/1989 16:00,0.707,6.95,"2b","Digital Archive","",""
11/04/1989 17:30,0.587,5.12,"2b","Digital Archive","",""
07/07/1989 09:00,0.517,4.16,"2b","Digital Archive","",""
09/07/1989 00:30,0.639,5.89,"2b","Digital Archive","",""
10/08/1989 10:15,0.819,8.84,"2b","Digital Archive","",""
21/10/1989 09:00,0.555,4.67,"2b","Digital Archive","",""
14/12/1989 12:15,0.806,8.62,"2b","Digital Archive","",""
16/12/1989 12:30,0.839,9.20,"2b","Digital Archive","",""
21/12/1989 03:30,0.967,11.60,"2b","Digital Archive","",""
07/01/1990 01:45,0.544,4.52,"2b","Digital Archive","",""
31/01/1990 00:15,0.532,4.36,"2b","Digital Archive","",""
02/02/1990 01:15,0.569,4.87,"2b","Digital Archive","",""
03/02/1990 20:00,1.129,14.94,"2b","Digital Archive","",""
07/02/1990 18:15,0.587,5.12,"2b","Digital Archive","",""
11/02/1990 23:00,0.556,4.69,"2b","Digital Archive","",""
25/02/1990 21:00,0.479,3.67,"2b","Digital Archive","",""
20/08/1990 03:00,0.504,3.99,"2b","Digital Archive","",""
30/09/1990 21:00,0.601,5.33,"2b","Digital Archive","",""
25/12/1990 16:30,0.611,5.47,"2b","Digital Archive","",""
29/12/1990 23:00,0.486,3.76,"2b","Digital Archive","",""
06/01/1991 23:30,0.479,3.67,"2b","Digital Archive","",""
10/01/1991 09:30,0.550,4.61,"2b","Digital Archive","",""
28/02/1991 01:15,0.685,6.60,"2b","Digital Archive","",""
30/04/1991 02:45,0.708,6.97,"2b","Digital Archive","",""
23/06/1991 22:45,0.527,4.29,"2b","Digital Archive","",""
03/07/1991 05:30,0.684,6.59,"2b","Digital Archive","",""
18/07/1991 14:45,0.513,4.11,"2b","Digital Archive","",""
31/07/1991 07:45,0.634,5.82,"2b","Digital Archive","",""
27/09/1991 04:00,0.523,4.24,"2b","Digital Archive","",""
19/11/1991 12:30,0.787,8.29,"2b","Digital Archive","",""
28/04/1992 15:15,0.483,3.72,"2b","Digital Archive","",""
09/05/1992 16:15,0.492,3.83,"2b","Digital Archive","",""
30/05/1992 03:45,1.131,14.99,"2b","Digital Archive","",""
09/06/1992 15:00,0.577,4.98,"2b","Digital Archive","",""
21/07/1992 05:30,0.796,8.44,"2b","Digital Archive","",""
14/08/1992 01:00,0.610,5.46,"2b","Digital Archive","",""
23/09/1992 04:15,1.177,15.99,"2b","Digital Archive","",""
03/10/1992 04:00,0.579,5.01,"2b","Digital Archive","",""
