"NAME:","Dudwell at Burwash"
"NUMBER:","40017"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/09/1970 00:00,1.050,10.47,"2b","CEH files","",""
19/11/1970 00:00,1.760,21.73,"2c","CEH files","",""
23/02/1971 00:00,1.520,17.68,"2b","CEH files","",""
19/06/1971 00:00,1.840,23.35,"2c","CEH files","",""
06/03/1972 00:00,0.850,7.73,"2b","CEH files","",""
09/12/1972 00:00,1.400,15.75,"2b","CEH files","",""
13/02/1974 00:00,1.230,13.11,"2b","CEH files","",""
05/09/1974 00:00,1.160,12.06,"2b","CEH files","",""
26/09/1974 00:00,1.820,22.94,"2c","CEH files","",""
05/10/1974 00:00,1.150,11.92,"2b","CEH files","",""
18/10/1974 00:00,1.830,23.15,"2c","CEH files","",""
13/11/1974 00:00,1.490,17.19,"2b","CEH files","",""
18/11/1974 00:00,1.460,16.70,"2b","CEH files","",""
21/11/1974 00:00,1.550,18.17,"2b","CEH files","",""
25/12/1974 00:00,1.390,15.59,"2b","CEH files","",""
17/01/1975 00:00,1.900,24.61,"2c","CEH files","",""
18/01/1975 00:00,1.080,10.90,"2b","CEH files","",""
20/01/1975 00:00,1.880,24.19,"2c","CEH files","",""
27/01/1975 00:00,1.040,10.33,"2b","CEH files","",""
28/01/1975 00:00,1.330,14.65,"2b","CEH files","",""
16/05/1975 00:00,1.950,25.69,"2c","CEH files","",""
28/11/1975 00:00,1.780,22.13,"2c","CEH files","",""
02/12/1975 00:00,1.500,17.35,"2b","CEH files","",""
08/11/1976 00:00,1.870,23.98,"2c","CEH files","",""
10/11/1976 00:00,1.680,20.35,"2b","CEH files","",""
30/11/1976 00:00,2.150,30.26,"2c","CEH files","",""
14/12/1976 00:00,1.250,13.41,"2b","CEH files","",""
07/01/1977 00:00,1.790,22.33,"2c","CEH files","",""
10/02/1977 00:00,1.020,10.04,"2b","CEH files","",""
20/11/1977 00:00,1.840,23.35,"2c","CEH files","",""
08/12/1977 00:00,1.200,12.66,"2b","CEH files","",""
10/12/1977 00:00,1.110,11.33,"2b","CEH files","",""
11/12/1977 00:00,0.790,6.95,"2b","CEH files","",""
01/02/1979 00:00,2.300,33.97,"2c","CEH files","",""
27/12/1979 00:00,1.020,10.04,"2b","CEH files","",""
