"NAME:","Cuckmere at Cowbeech"
"NUMBER:","41016"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/10/1967 00:00,0.890,6.37,"2d","CEH file","",""
28/10/1967 00:00,0.830,5.99,"2d","CEH file","",""
30/10/1967 00:00,0.750,5.42,"2d","CEH file","",""
01/11/1967 00:00,0.880,6.31,"2d","CEH file","",""
04/11/1967 00:00,1.460,11.84,"2f","CEH file","",""
18/12/1967 00:00,0.520,3.11,"2c","CEH file","",""
23/12/1967 00:00,0.540,3.32,"2c","CEH file","",""
14/01/1968 00:00,1.460,11.84,"2f","CEH file","",""
06/02/1968 00:00,0.660,4.68,"2d","CEH file","",""
26/09/1968 00:00,1.150,8.09,"2e","CEH files","",""
11/10/1968 00:00,0.720,5.19,"2d","CEH files","",""
12/10/1968 00:00,0.530,3.22,"2c","CEH files","",""
21/12/1968 00:00,0.530,3.22,"2c","CEH files","",""
17/01/1969 00:00,0.530,3.22,"2c","CEH files","",""
20/02/1969 00:00,0.590,3.88,"2c","CEH files","",""
12/03/1969 00:00,1.030,7.26,"2e","CEH files","",""
10/01/1970 00:00,0.530,3.22,"2c","CEH files","",""
23/01/1970 00:00,0.510,3.00,"2c","CEH files","",""
25/01/1970 00:00,0.610,4.11,"2c","CEH files","",""
29/01/1970 00:00,0.470,2.60,"2c","CEH files","",""
12/02/1970 00:00,0.490,2.80,"2c","CEH files","",""
06/04/1970 00:00,0.650,4.58,"2c","CEH files","",""
15/09/1970 00:00,0.510,3.00,"2c","CEH files","",""
18/11/1970 00:00,1.050,7.40,"2e","CEH files","",""
23/01/1971 00:00,0.830,5.99,"2d","CEH files","",""
25/01/1971 00:00,0.500,2.90,"2c","CEH files","",""
17/03/1971 00:00,0.500,2.90,"2c","CEH files","",""
14/06/1971 00:00,0.680,4.86,"2d","CEH files","",""
18/06/1971 00:00,1.200,8.52,"2f","CEH files","",""
05/03/1972 00:00,0.500,2.90,"2c","CEH files","",""
06/03/1972 00:00,0.550,3.43,"2c","CEH files","",""
08/12/1972 00:00,0.610,4.11,"2c","CEH files","",""
13/12/1972 00:00,0.500,2.90,"2c","CEH files","",""
10/02/1974 00:00,1.300,9.71,"2f","CEH files","",""
13/02/1974 00:00,0.740,5.35,"2d","CEH files","",""
14/02/1974 00:00,1.180,8.30,"2e","CEH files","",""
23/09/1974 00:00,0.520,3.11,"2c","CEH files","",""
25/09/1974 00:00,0.620,4.23,"2c","CEH files","",""
27/09/1974 00:00,0.900,6.43,"2d","CEH files","",""
02/10/1974 00:00,0.500,2.90,"2c","CEH files","",""
06/10/1974 00:00,0.590,3.88,"2c","CEH files","",""
18/10/1974 00:00,0.880,6.31,"2d","CEH files","",""
13/11/1974 00:00,0.790,5.71,"2d","CEH files","",""
17/11/1974 00:00,0.490,2.80,"2c","CEH files","",""
18/11/1974 00:00,0.770,5.57,"2d","CEH files","",""
21/11/1974 00:00,1.820,19.40,"2g","CEH files","",""
09/12/1974 00:00,0.470,2.60,"2c","CEH files","",""
25/12/1974 00:00,0.650,4.58,"2c","CEH files","",""
26/12/1974 00:00,0.480,2.70,"2c","CEH files","",""
17/01/1975 00:00,1.170,8.23,"2e","CEH files","",""
18/01/1975 00:00,0.620,4.23,"2c","CEH files","",""
20/01/1975 00:00,1.190,8.41,"2f","CEH files","",""
22/01/1975 00:00,0.470,2.60,"2c","CEH files","",""
27/01/1975 00:00,0.580,3.77,"2c","CEH files","",""
28/01/1975 00:00,0.810,5.85,"2d","CEH files","",""
08/03/1975 00:00,0.490,2.80,"2c","CEH files","",""
19/03/1975 00:00,0.480,2.70,"2c","CEH files","",""
16/05/1975 00:00,0.760,5.50,"2d","CEH files","",""
28/11/1975 00:00,0.800,5.78,"2d","CEH files","",""
