"NAME:","Loxwood Stream at Drungewick"
"NUMBER:","41025"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/01/1974 00:00,1.800,17.47,"3c","CEH files","",""
11/02/1974 00:00,2.440,35.78,"3d","CEH files","",""
15/02/1974 00:00,2.130,25.87,"3d","CEH files","",""
05/09/1974 00:00,2.280,30.36,"3d","CEH files","",""
27/09/1974 00:00,2.060,23.96,"3d","CEH files","",""
13/11/1974 00:00,2.230,28.81,"3d","CEH files","",""
14/11/1974 00:00,2.200,27.90,"3d","CEH files","",""
18/11/1974 00:00,2.230,28.81,"3d","CEH files","",""
22/11/1974 00:00,2.390,34.02,"3d","CEH files","",""
26/12/1974 00:00,2.020,22.91,"3d","CEH files","",""
27/12/1974 00:00,2.280,30.36,"3d","CEH files","",""
20/01/1975 00:00,2.080,24.49,"3d","CEH files","",""
27/01/1975 00:00,2.010,22.66,"3d","CEH files","",""
02/12/1975 00:00,2.070,24.22,"3d","CEH files","",""
19/10/1976 00:00,1.740,16.88,"3c","CEH files","",""
13/11/1976 00:00,1.800,17.47,"3c","CEH files","",""
30/11/1976 00:00,2.200,27.90,"3d","CEH files","",""
02/01/1977 00:00,2.010,22.66,"3d","CEH files","",""
14/01/1977 00:00,2.030,23.17,"3d","CEH files","",""
10/02/1977 00:00,1.720,16.68,"3c","CEH files","",""
02/11/1977 00:00,1.690,16.37,"3c","CEH files","",""
08/12/1977 00:00,2.250,29.42,"3d","CEH files","",""
10/12/1977 00:00,1.740,16.88,"3c","CEH files","",""
11/12/1977 00:00,1.800,17.47,"3c","CEH files","",""
23/01/1978 00:00,1.920,20.45,"3d","CEH files","",""
28/01/1978 00:00,1.890,18.36,"3c","CEH files","",""
02/05/1978 00:00,2.090,24.76,"3d","CEH files","",""
06/05/1978 00:00,2.010,22.66,"3d","CEH files","",""
25/03/1979 00:00,2.020,22.91,"3d","CEH files","",""
08/04/1979 00:00,2.390,34.02,"3d","CEH files","",""
14/12/1979 00:00,1.870,18.16,"3c","CEH files","",""
15/12/1979 00:00,1.820,17.67,"3c","CEH files","",""
27/12/1979 00:00,2.920,56.52,"3d","CEH files","",""
21/09/1980 00:00,2.200,27.90,"3d","CEH files","",""
11/10/1980 00:00,1.830,17.77,"3c","CEH files","",""
16/10/1980 00:00,2.150,26.44,"3d","CEH files","",""
20/12/1980 00:00,1.670,16.17,"3c","CEH files","",""
14/04/1981 00:00,1.810,17.57,"3c","CEH files","",""
25/05/1981 00:00,1.740,16.88,"3c","CEH files","",""
27/05/1981 03:30,1.838,17.85,"3c","Digital Archive","",""
02/06/1981 16:15,2.170,27.02,"3d","Digital Archive","",""
07/08/1981 00:30,1.511,14.55,"3c","Digital Archive","",""
27/09/1981 02:30,1.753,17.00,"3c","Digital Archive","",""
01/10/1981 10:15,1.437,13.78,"3c","Digital Archive","",""
14/12/1981 17:15,1.960,21.41,"3d","Digital Archive","",""
29/12/1981 22:30,1.355,12.91,"3c","Digital Archive","",""
10/03/1982 19:00,1.674,16.21,"3c","Digital Archive","",""
14/10/1982 16:30,1.815,17.62,"3c","Digital Archive","",""
22/10/1982 16:45,2.155,26.58,"3d","Digital Archive","",""
13/11/1982 02:30,1.264,11.94,"3c","Digital Archive","",""
25/11/1982 16:00,2.028,23.12,"3d","Digital Archive","Non-independent peak removed B",""
10/12/1982 10:00,2.263,29.83,"3d","Digital Archive","",""
13/12/1982 05:15,1.407,13.46,"3c","Digital Archive","",""
20/12/1982 14:30,1.437,13.78,"3c","Digital Archive","",""
04/01/1983 18:15,1.924,20.55,"3d","Digital Archive","",""
18/04/1983 20:45,1.175,10.96,"3c","Digital Archive","",""
01/06/1983 12:30,1.353,12.89,"3c","Digital Archive","",""
24/06/1983 02:45,1.450,13.91,"3c","Digital Archive","",""
27/11/1983 16:00,1.149,10.67,"3c","Digital Archive","",""
21/12/1983 02:30,1.294,12.26,"3c","Digital Archive","",""
03/01/1984 15:00,1.835,17.82,"3c","Digital Archive","",""
17/01/1984 04:15,2.086,24.66,"3d","Digital Archive","",""
24/01/1984 02:15,1.878,18.24,"3c","Digital Archive","",""
26/01/1984 19:15,1.723,16.71,"3c","Digital Archive","",""
23/02/1984 04:00,1.277,12.08,"3c","Digital Archive","",""
24/03/1984 23:30,1.927,20.62,"3d","Digital Archive","",""
23/11/1984 08:45,2.040,23.43,"3d","Digital Archive","",""
04/12/1984 09:30,1.235,11.62,"3c","Digital Archive","",""
06/12/1984 16:45,1.519,14.63,"3c","Digital Archive","",""
21/01/1985 00:15,2.196,27.78,"3d","Digital Archive","",""
25/01/1985 09:45,1.383,13.21,"3c","Digital Archive","",""
08/02/1985 00:45,1.164,10.84,"3c","Digital Archive","",""
27/03/1985 07:45,1.177,10.98,"3c","Digital Archive","",""
21/05/1985 09:45,1.838,17.85,"3c","Digital Archive","",""
07/12/1985 14:30,1.575,15.21,"3c","Digital Archive","",""
26/12/1985 21:45,2.276,30.24,"3d","Digital Archive","",""
03/01/1986 08:00,2.184,27.43,"3d","Digital Archive","",""
08/01/1986 22:00,1.330,12.65,"3c","Digital Archive","",""
29/01/1986 22:30,1.805,17.52,"3c","Digital Archive","",""
23/09/1986 13:15,1.993,22.23,"3d","Digital Archive","",""
19/11/1986 14:15,2.151,26.47,"3d","Digital Archive","",""
21/11/1986 14:45,2.075,24.36,"3d","Digital Archive","",""
13/12/1986 19:30,1.171,10.92,"3c","Digital Archive","",""
16/12/1986 04:00,1.856,18.02,"3c","Digital Archive","",""
01/01/1987 19:45,1.570,15.16,"3c","Digital Archive","",""
24/03/1987 06:45,1.225,11.51,"3c","Digital Archive","",""
27/03/1987 22:00,1.615,15.62,"3c","Digital Archive","",""
02/04/1987 09:30,1.391,13.29,"3c","Digital Archive","",""
05/04/1987 02:30,1.756,17.03,"3c","Digital Archive","",""
07/04/1987 21:15,1.409,13.48,"3c","Digital Archive","",""
08/10/1987 09:45,1.404,13.43,"3c","Digital Archive","",""
10/10/1987 17:45,2.203,27.99,"3d","Digital Archive","",""
16/10/1987 11:30,2.194,27.72,"3d","Digital Archive","",""
21/10/1987 11:15,2.391,34.05,"3d","Digital Archive","",""
12/11/1987 10:30,2.171,27.05,"3d","Digital Archive","",""
03/01/1988 03:30,1.536,14.81,"3c","Digital Archive","",""
06/01/1988 03:30,1.911,20.24,"3d","Digital Archive","",""
22/01/1988 23:00,1.503,14.47,"3c","Digital Archive","",""
26/01/1988 09:45,1.981,21.93,"3d","Digital Archive","",""
30/01/1988 00:15,2.107,25.23,"3d","Digital Archive","",""
01/02/1988 18:45,2.029,23.15,"3d","Digital Archive","",""
04/02/1988 21:00,1.226,11.52,"3c","Digital Archive","",""
21/03/1988 11:45,1.735,16.83,"3c","Digital Archive","",""
25/02/1989 08:00,1.937,20.86,"3d","Digital Archive","Non-independent peak removed A",""
15/03/1989 13:30,1.564,15.09,"3c","Digital Archive","",""
21/03/1989 09:30,1.223,11.49,"3c","Digital Archive","",""
12/04/1989 06:15,1.726,16.74,"3c","Digital Archive","",""
16/12/1989 20:00,1.473,14.15,"3c","Digital Archive","",""
