"NAME:","Rother at Princes Marsh"
"NUMBER:","41027"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/12/1972 00:00,0.760,7.13,"2c","CEH files","",""
11/02/1974 00:00,1.350,18.11,"2e","CEH files","",""
15/02/1974 00:00,1.070,12.37,"2e","CEH files","",""
05/09/1974 00:00,1.110,13.13,"2e","CEH files","",""
27/09/1974 00:00,0.810,7.89,"2c","CEH files","",""
13/11/1974 00:00,1.260,16.16,"2e","CEH files","",""
14/11/1974 00:00,0.960,10.38,"2e","CEH files","",""
17/11/1974 00:00,0.650,5.57,"2c","CEH files","",""
18/11/1974 00:00,0.810,7.89,"2c","CEH files","",""
21/11/1974 00:00,0.780,7.43,"2c","CEH files","",""
25/12/1974 00:00,0.750,6.98,"2c","CEH files","",""
20/01/1975 00:00,1.240,15.74,"2e","CEH files","",""
22/01/1975 00:00,0.710,6.40,"2c","CEH files","",""
26/01/1975 00:00,0.880,9.00,"2c","CEH files","",""
28/01/1975 00:00,0.650,5.57,"2c","CEH files","",""
08/03/1975 00:00,0.690,6.12,"2c","CEH files","",""
18/04/1975 00:00,0.740,6.83,"2c","CEH files","",""
01/12/1975 00:00,0.700,6.26,"2c","CEH files","",""
12/11/1976 00:00,0.630,5.30,"2c","CEH files","",""
29/11/1976 00:00,1.040,11.81,"2e","CEH files","",""
30/11/1976 00:00,1.030,11.63,"2e","CEH files","",""
01/01/1977 00:00,0.870,8.84,"2c","CEH files","",""
13/01/1977 00:00,0.750,6.98,"2c","CEH files","",""
18/02/1977 00:00,0.620,5.16,"2c","CEH files","",""
07/12/1977 00:00,0.900,9.33,"2c","CEH files","",""
09/12/1977 00:00,1.040,11.81,"2e","CEH files","",""
10/12/1977 00:00,0.650,5.57,"2c","CEH files","",""
22/01/1978 00:00,0.760,7.13,"2c","CEH files","",""
26/02/1978 00:00,0.650,5.57,"2c","CEH files","",""
10/12/1978 00:00,0.610,5.03,"2c","CEH files","",""
24/03/1979 00:00,1.000,11.08,"2e","CEH files","",""
09/12/1979 00:00,0.670,5.84,"2c","CEH files","",""
14/12/1979 00:00,0.660,5.70,"2c","CEH files","",""
27/12/1979 00:00,1.540,22.54,"2e","CEH files","",""
22/10/1980 21:00,1.790,29.00,"2e","Digital Archive","",""
26/05/1981 14:45,0.765,7.20,"2c","Digital Archive","Non-independent peak removed B",""
26/09/1981 08:15,0.860,8.68,"2c","Digital Archive","",""
10/03/1982 07:00,0.691,6.13,"2c","Digital Archive","","AMAX ONLY"
14/10/1982 08:30,1.069,12.35,"2e","Digital Archive","",""
22/10/1982 11:45,0.809,7.87,"2c","Digital Archive","",""
12/11/1982 12:15,0.783,7.48,"2c","Digital Archive","",""
09/12/1982 22:00,1.099,12.92,"2e","Digital Archive","Non-independent peak removed B",""
04/01/1983 06:30,0.834,8.26,"2c","Digital Archive","",""
07/11/1983 11:45,0.839,8.34,"2c","Digital Archive","",""
03/01/1984 03:30,0.733,6.73,"2c","Digital Archive","",""
16/01/1984 20:00,0.864,8.74,"2c","Digital Archive","",""
22/11/1984 18:30,0.724,6.60,"2c","Digital Archive","",""
23/11/1984 22:45,0.887,9.12,"2c","Digital Archive","",""
21/01/1985 13:30,0.785,7.51,"2c","Digital Archive","",""
26/12/1985 12:30,1.004,11.15,"2e","Digital Archive","",""
19/11/1986 05:45,1.122,13.36,"2e","Digital Archive","Non-independent peak removed B",""
21/11/1986 04:00,0.824,8.11,"2c","Digital Archive","",""
15/12/1986 17:00,0.802,7.77,"2c","Digital Archive","",""
05/01/1987 10:00,1.015,11.35,"2e","Digital Archive","",""
09/10/1987 20:00,1.340,17.88,"2e","Digital Archive","Genuine peak.",""
12/11/1987 00:30,0.872,8.87,"2c","Digital Archive","",""
