"NAME:","Withey Brook at Bastreet"
"NUMBER:","47013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/12/1972 03:30,0.912,4.90,"2[migrated]5","Digital Archive","",""
13/12/1972 06:00,1.120,7.47,"2[migrated]5","Digital Archive","",""
13/12/1972 06:02,1.120,7.47,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
28/12/1972 04:10,1.111,7.35,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
06/08/1973 07:45,1.421,12.51,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
28/11/1973 23:00,1.404,12.16,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
19/12/1973 20:30,1.284,9.90,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
04/01/1974 17:45,1.421,12.51,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
08/01/1974 13:00,1.347,11.02,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
10/01/1974 13:00,1.179,8.30,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
16/01/1974 07:15,1.116,7.42,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
26/01/1974 14:00,1.190,8.46,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
27/01/1974 21:45,1.164,8.09,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
30/01/1974 10:00,1.386,11.79,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
09/02/1974 09:45,1.439,12.89,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
10/02/1974 12:15,1.203,8.66,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
11/02/1974 05:00,1.527,14.83,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
14/02/1974 17:45,1.377,11.61,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
02/09/1974 08:30,1.225,8.98,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
05/09/1974 07:45,1.314,10.40,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
24/09/1974 00:45,1.371,11.49,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
27/09/1974 09:15,1.385,11.77,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
18/10/1974 20:00,1.530,14.90,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
13/11/1974 16:15,1.404,12.16,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
25/12/1974 10:15,1.290,9.99,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
20/01/1975 03:30,1.334,10.77,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
22/01/1975 14:00,1.259,9.51,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
28/01/1975 13:00,1.300,10.15,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
13/09/1975 23:00,1.107,7.29,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
29/01/1976 03:30,1.394,11.95,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
12/02/1976 15:00,1.310,10.32,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
24/09/1976 21:30,1.115,7.40,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
14/10/1976 15:30,1.143,7.79,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
30/11/1976 15:45,1.097,7.16,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
09/12/1977 23:00,1.442,12.95,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
23/01/1978 12:00,1.196,8.55,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
23/12/1978 16:15,1.314,10.40,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
01/02/1979 10:00,1.128,7.58,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
27/12/1979 17:15,1.806,22.04,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
21/01/1980 04:30,1.089,7.05,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
03/02/1980 14:30,1.382,11.71,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
08/02/1980 12:45,1.184,8.38,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
21/09/1980 07:00,1.482,13.81,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
15/11/1980 09:00,1.098,7.17,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
17/11/1980 13:00,1.158,8.00,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
09/03/1981 15:15,1.351,11.10,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
19/09/1981 20:30,1.357,11.22,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
01/10/1981 08:30,1.136,7.69,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
02/10/1981 04:30,1.216,8.85,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
20/12/1981 06:45,1.771,21.04,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
10/03/1982 01:45,1.169,8.16,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
01/10/1982 23:15,1.237,9.17,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
16/10/1982 18:30,1.144,7.81,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
06/11/1982 16:45,1.252,9.40,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
12/11/1982 05:15,1.250,9.37,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
09/12/1982 22:15,1.086,7.01,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
19/12/1982 12:15,1.206,8.70,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
04/01/1983 02:00,1.321,10.53,"2[migrated]6","BASTREET.SG.HiUKPOT","",""
31/01/1983 11:45,1.091,7.08,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
14/12/1983 23:15,1.123,7.51,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
27/01/1985 21:00,1.104,7.25,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
11/08/1985 10:45,1.118,7.44,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
10/01/1986 09:15,1.110,7.34,"2[migrated]5","BASTREET.SG.HiUKPOT","",""
