"NAME:","Seaton at Trebrownbridge"
"NUMBER:","48010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/08/1972 02:00,0.394,2.09,"RC32","Digital Archive","","AMAX ONLY"
19/11/1972 02:30,0.580,5.11,"RC33","Digital Archive","",""
20/11/1972 01:30,0.520,3.99,"RC33","Digital Archive","",""
06/12/1972 08:30,0.628,6.11,"RC33","Digital Archive","",""
13/12/1972 06:00,0.547,4.47,"RC33","Digital Archive","",""
10/01/1974 11:45,0.621,5.96,"RC33","Digital Archive","",""
16/01/1974 07:00,0.532,4.20,"RC33","Digital Archive","",""
26/01/1974 14:15,0.538,4.31,"RC33","Digital Archive","",""
11/02/1974 09:15,0.764,9.53,"RC33","Digital Archive","",""
12/02/1974 19:45,0.658,6.79,"RC33","Digital Archive","",""
14/02/1974 18:00,0.794,10.34,"RC34","Digital Archive","",""
15/02/1974 15:45,0.669,7.05,"RC33","Digital Archive","",""
18/02/1974 04:45,0.532,4.20,"RC33","Digital Archive","",""
28/02/1974 23:00,0.519,3.97,"RC33","Digital Archive","",""
27/09/1974 13:45,0.545,4.43,"RC33","Digital Archive","",""
25/12/1974 10:00,0.591,5.33,"RC33","Digital Archive","",""
27/12/1974 03:15,0.551,4.55,"RC33","Digital Archive","",""
18/01/1975 09:15,0.570,4.91,"RC33","Digital Archive","",""
20/01/1975 04:15,0.654,6.70,"RC33","Digital Archive","",""
28/01/1975 13:15,0.588,5.27,"RC33","Digital Archive","",""
22/03/1976 08:15,0.533,4.22,"RC33","Digital Archive","",""
06/12/1976 01:15,0.523,4.04,"RC33","Digital Archive","",""
10/02/1977 00:45,0.519,3.97,"RC33","Digital Archive","",""
20/02/1977 04:00,0.549,4.51,"RC33","Digital Archive","",""
10/12/1977 00:15,0.550,4.53,"RC33","Digital Archive","",""
10/12/1977 21:00,0.529,4.14,"RC33","Digital Archive","",""
23/01/1978 10:00,0.574,4.99,"RC33","Digital Archive","",""
31/01/1978 10:30,0.522,4.02,"RC33","Digital Archive","",""
25/02/1978 11:45,0.571,4.93,"RC33","Digital Archive","",""
28/12/1978 18:30,0.569,4.89,"RC33","Digital Archive","",""
15/12/1979 13:45,0.608,5.68,"RC33","Digital Archive","",""
27/12/1979 22:30,0.923,14.13,"RC34","Digital Archive","",""
29/12/1979 05:45,0.636,6.29,"RC33","Digital Archive","",""
30/12/1979 14:15,0.533,4.22,"RC33","Digital Archive","",""
04/02/1980 13:45,0.614,5.81,"RC33","Digital Archive","",""
08/02/1980 12:15,0.660,6.84,"RC33","Digital Archive","",""
10/02/1980 12:15,0.553,4.58,"RC33","Digital Archive","",""
21/09/1980 07:15,0.569,4.89,"RC33","Digital Archive","",""
17/11/1980 11:45,0.585,5.21,"RC33","Digital Archive","",""
19/12/1980 12:30,0.601,5.53,"RC33","Digital Archive","",""
11/03/1981 01:00,0.665,6.96,"RC33","Digital Archive","",""
12/03/1981 13:45,0.563,4.77,"RC33","Digital Archive","",""
26/03/1981 05:15,0.543,4.40,"RC33","Digital Archive","",""
13/12/1981 17:45,0.580,5.11,"RC33","Digital Archive","",""
20/12/1981 09:30,0.695,7.69,"RC33","Digital Archive","",""
27/12/1981 00:45,0.558,4.68,"RC33","Digital Archive","",""
30/12/1981 01:15,0.575,5.01,"RC33","Digital Archive","",""
10/03/1982 01:15,0.586,5.23,"RC33","Digital Archive","",""
15/03/1982 14:30,0.534,4.23,"RC33","Digital Archive","",""
03/10/1982 22:00,0.569,4.89,"RC33","Digital Archive","",""
07/11/1982 22:15,0.540,4.34,"RC33","Digital Archive","",""
12/11/1982 06:00,0.613,5.79,"RC33","Digital Archive","",""
21/11/1982 13:15,0.555,4.62,"RC33","Digital Archive","",""
07/12/1982 11:30,0.566,4.83,"RC33","Digital Archive","",""
09/12/1982 21:45,0.601,5.53,"RC33","Digital Archive","",""
12/12/1982 01:45,0.562,4.75,"RC33","Digital Archive","",""
19/12/1982 11:30,0.575,5.01,"RC33","Digital Archive","",""
06/01/1983 13:15,0.552,4.56,"RC33","Digital Archive","",""
14/12/1983 23:00,0.566,4.83,"RC33","Digital Archive","",""
20/12/1983 08:00,0.588,5.27,"RC33","Digital Archive","",""
16/01/1984 15:00,0.567,4.85,"RC33","Digital Archive","",""
27/01/1984 09:45,0.623,6.00,"RC33","Digital Archive","",""
30/01/1984 13:45,0.605,5.62,"RC33","Digital Archive","",""
06/02/1984 04:00,0.540,4.34,"RC33","Digital Archive","",""
23/11/1984 17:15,0.530,4.16,"RC33","Digital Archive","",""
21/01/1985 04:15,0.524,4.06,"RC33","Digital Archive","",""
07/04/1985 15:30,0.552,4.56,"RC33","Digital Archive","",""
11/08/1985 08:30,0.569,4.89,"RC33","Digital Archive","",""
01/01/1986 15:45,0.520,3.99,"RC33","Digital Archive","",""
10/01/1986 07:45,0.550,4.53,"RC33","Digital Archive","",""
25/08/1986 15:15,0.679,7.30,"RC33","Digital Archive","",""
21/11/1986 00:45,0.632,6.20,"RC33","Digital Archive","",""
22/11/1986 16:15,0.525,4.07,"RC33","Digital Archive","",""
11/12/1986 07:45,0.583,5.17,"RC33","Digital Archive","",""
13/12/1986 02:15,0.613,5.79,"RC33","Digital Archive","",""
15/12/1986 10:00,0.576,5.03,"RC33","Digital Archive","",""
31/01/1988 22:15,0.709,8.05,"RC33","Digital Archive","",""
06/02/1988 02:30,0.545,4.43,"RC33","Digital Archive","",""
13/02/1988 08:15,0.553,4.58,"RC33","Digital Archive","",""
24/02/1989 10:00,0.521,4.00,"RC33","Digital Archive","",""
25/02/1989 10:15,0.608,5.68,"RC33","Digital Archive","",""
02/03/1989 08:15,0.585,5.21,"RC33","Digital Archive","",""
14/03/1989 17:30,0.644,6.47,"RC33","Digital Archive","",""
20/12/1989 17:30,0.601,5.53,"RC33","Digital Archive","",""
24/12/1989 17:00,0.547,4.47,"RC33","Digital Archive","",""
03/02/1990 12:30,0.574,4.99,"RC33","Digital Archive","",""
15/02/1990 04:00,0.704,7.92,"RC33","Digital Archive","",""
17/02/1990 01:00,0.566,4.83,"RC33","Digital Archive","",""
01/01/1991 22:00,0.540,4.34,"RC33","Digital Archive","",""
08/01/1991 15:30,0.531,4.18,"RC33","Digital Archive","",""
18/03/1991 17:00,0.528,4.13,"RC33","Digital Archive","",""
22/08/1992 13:00,0.459,3.00,"RC33","Digital Archive","","AMAX ONLY"
27/11/1992 16:30,0.536,4.27,"RC33","Digital Archive","",""
30/11/1992 11:30,0.846,11.79,"RC34","Digital Archive","",""
02/12/1992 09:30,0.818,11.00,"RC34","Digital Archive","",""
03/12/1992 07:30,0.685,7.44,"RC33","Digital Archive","",""
06/12/1992 16:00,0.562,4.75,"RC33","Digital Archive","",""
18/12/1992 14:30,0.694,7.67,"RC33","Digital Archive","",""
10/01/1993 16:30,0.574,4.99,"RC33","Digital Archive","",""
13/01/1993 15:00,0.600,5.51,"RC33","Digital Archive","",""
26/05/1993 02:00,0.642,6.43,"RC33","Digital Archive","",""
26/05/1993 23:00,0.524,4.06,"RC33","Digital Archive","",""
21/12/1993 02:30,0.678,7.27,"RC33","Digital Archive","",""
22/12/1993 12:00,0.577,5.05,"RC33","Digital Archive","",""
28/12/1993 06:00,0.566,4.83,"RC33","Digital Archive","",""
30/12/1993 15:00,0.727,8.52,"RC33","Digital Archive","",""
02/01/1994 00:30,0.636,6.29,"RC33","Digital Archive","",""
05/01/1994 09:30,0.617,5.87,"RC33","Digital Archive","",""
09/01/1994 19:00,0.577,5.05,"RC33","Digital Archive","",""
12/01/1994 08:30,0.541,4.36,"RC33","Digital Archive","",""
03/02/1994 06:00,0.591,5.33,"RC33","Digital Archive","",""
20/02/1994 02:30,0.532,4.20,"RC33","Digital Archive","",""
26/02/1994 02:00,0.558,4.68,"RC33","Digital Archive","",""
12/11/1994 05:00,0.695,7.69,"RC33","Digital Archive","",""
08/12/1994 10:00,0.538,4.31,"RC33","Digital Archive","",""
28/12/1994 21:00,0.564,4.79,"RC33","Digital Archive","",""
19/01/1995 12:30,0.521,4.00,"RC33","Digital Archive","",""
21/01/1995 13:00,0.525,4.07,"RC33","Digital Archive","",""
27/01/1995 13:00,0.774,9.81,"RC34","Digital Archive","",""
28/01/1995 07:30,0.558,4.68,"RC33","Digital Archive","",""
11/02/1995 15:00,0.577,5.05,"RC33","Digital Archive","",""
14/02/1995 17:30,0.556,4.64,"RC33","Digital Archive","",""
19/02/1995 03:30,0.536,4.27,"RC33","Digital Archive","",""
02/03/1995 19:30,0.579,5.09,"RC33","Digital Archive","",""
22/12/1995 06:00,0.524,4.06,"RC33","Digital Archive","",""
08/01/1996 22:30,0.532,4.20,"RC33","Digital Archive","",""
14/01/1996 18:30,0.623,6.00,"RC33","Digital Archive","",""
17/01/1996 02:30,0.520,3.99,"RC33","Digital Archive","",""
05/02/1996 22:00,0.535,4.25,"RC33","Digital Archive","",""
04/11/1996 04:00,0.565,4.81,"RC33","Digital Archive","",""
29/11/1996 11:00,0.546,4.45,"RC33","Digital Archive","",""
28/11/1997 03:30,0.721,8.36,"RC33","Digital Archive","",""
29/11/1997 00:00,0.592,5.35,"RC33","Digital Archive","",""
01/12/1997 08:30,0.536,4.27,"RC33","Digital Archive","",""
05/01/1998 11:00,0.654,6.70,"RC33","Digital Archive","",""
07/01/1998 22:30,0.529,4.14,"RC33","Digital Archive","",""
24/10/1998 10:15,0.645,6.49,"RC33","Digital Archive","",""
24/11/1998 09:30,0.548,4.49,"RC33","Digital Archive","",""
20/12/1998 00:45,0.527,4.11,"RC33","Digital Archive","",""
25/12/1998 18:15,0.566,4.83,"RC33","Digital Archive","",""
26/12/1998 19:00,0.696,7.72,"RC33","Digital Archive","",""
20/01/1999 01:00,0.952,15.06,"RC34","Digital Archive","",""
21/01/1999 03:15,0.541,4.36,"RC33","Digital Archive","",""
19/12/1999 01:00,0.939,14.64,"RC34","Digital Archive","",""
21/12/1999 06:15,0.752,9.19,"RC33","Digital Archive","",""
24/12/1999 02:45,0.745,9.00,"RC33","Digital Archive","",""
24/12/1999 21:15,0.840,11.62,"RC34","Digital Archive","",""
27/12/1999 04:30,0.592,5.35,"RC33","Digital Archive","",""
29/02/2000 10:15,0.529,4.14,"RC33","Digital Archive","",""
13/10/2000 03:30,0.545,4.43,"RC33","Digital Archive","",""
30/10/2000 10:00,0.827,11.25,"RC34","Digital Archive","",""
31/10/2000 20:30,0.561,4.73,"RC33","Digital Archive","",""
05/11/2000 19:00,0.772,9.76,"RC33","Digital Archive","",""
06/11/2000 22:15,0.519,3.97,"RC33","Digital Archive","",""
21/11/2000 17:00,0.529,4.14,"RC33","Digital Archive","",""
07/12/2000 21:30,0.862,12.26,"RC34","Digital Archive","",""
10/12/2000 01:30,0.643,6.45,"RC33","Digital Archive","",""
12/12/2000 21:15,0.644,6.47,"RC33","Digital Archive","",""
14/12/2000 07:15,0.549,4.51,"RC33","Digital Archive","",""
19/12/2000 09:15,0.539,4.32,"RC33","Digital Archive","",""
31/12/2000 21:15,0.931,14.38,"RC34","Digital Archive","",""
23/01/2001 19:30,0.619,5.92,"RC33","Digital Archive","",""
02/04/2001 12:30,0.565,4.81,"RC33","Digital Archive","",""
03/04/2001 20:15,0.592,5.35,"RC33","Digital Archive","",""
05/04/2001 12:15,0.589,5.29,"RC33","Digital Archive","",""
22/04/2001 11:45,0.561,4.73,"RC33","Digital Archive","",""
27/01/2002 09:45,0.675,7.20,"RC33","Digital Archive","",""
04/02/2002 18:00,0.719,8.30,"RC33","Digital Archive","",""
26/02/2002 01:30,0.540,4.34,"RC33","Digital Archive","",""
18/03/2002 10:45,0.520,3.99,"RC33","Digital Archive","",""
24/05/2002 02:45,0.551,4.55,"RC33","Digital Archive","",""
21/11/2002 07:30,0.541,4.36,"RC33","Digital Archive","",""
27/11/2002 15:15,0.554,4.60,"RC33","Digital Archive","",""
21/12/2002 20:00,0.576,5.03,"RC33","Digital Archive","",""
01/01/2003 15:45,0.808,10.72,"RC34","Digital Archive","",""
02/01/2003 18:45,0.640,6.38,"RC33","Digital Archive","",""
04/01/2003 19:15,0.533,4.22,"RC33","Digital Archive","",""
08/01/2004 09:15,0.601,5.53,"RC33","Digital Archive","",""
12/01/2004 07:15,0.526,4.09,"RC33","Digital Archive","",""
06/02/2004 05:30,0.550,4.53,"RC33","Digital Archive","",""
22/01/2005 20:15,0.469,3.16,"RC33","Digital Archive","","AMAX ONLY"
24/10/2005 19:30,0.536,4.27,"RC33","Digital Archive","",""
01/11/2005 23:15,0.550,4.53,"RC33","Digital Archive","",""
06/11/2005 09:00,0.596,5.43,"RC33","Digital Archive","",""
10/10/2006 23:45,0.553,4.56,"RC42","Digital Archive","",""
25/11/2006 02:45,0.570,4.91,"RC43","Digital Archive","",""
09/02/2007 13:00,0.554,4.58,"RC42","Digital Archive","",""
13/02/2007 19:15,0.619,5.92,"RC43","Digital Archive","",""
24/02/2007 04:45,0.546,4.41,"RC42","Digital Archive","",""
06/03/2007 02:30,0.571,4.93,"RC43","Digital Archive","",""
10/03/2008 05:15,0.538,4.25,"RC42","Digital Archive","",""
09/07/2008 18:30,0.660,6.84,"RC43","Digital Archive","",""
10/07/2008 19:00,0.555,4.61,"RC42","Digital Archive","",""
31/07/2008 13:00,0.560,4.71,"RC42","Digital Archive","",""
09/08/2008 18:45,0.537,4.23,"RC42","Digital Archive","",""
12/08/2008 03:45,0.711,8.09,"RC43","Digital Archive","",""
13/08/2008 12:45,0.529,4.08,"RC42","Digital Archive","",""
16/08/2008 18:30,0.542,4.33,"RC42","Digital Archive","",""
18/08/2008 00:45,0.544,4.37,"RC42","Digital Archive","",""
05/09/2008 07:30,0.590,5.31,"RC43","Digital Archive","",""
09/09/2008 06:30,0.549,4.49,"RC42","Digital Archive","",""
29/10/2008 22:00,0.526,4.02,"RC42","Digital Archive","",""
08/11/2008 19:45,0.527,4.03,"RC42","Digital Archive","",""
10/11/2008 11:30,0.534,4.17,"RC42","Digital Archive","",""
04/12/2008 06:15,0.528,4.07,"RC42","Digital Archive","",""
13/12/2008 03:45,0.655,6.73,"RC43","Digital Archive","",""
22/01/2009 03:45,0.649,6.59,"RC43","Digital Archive","",""
22/01/2009 23:45,0.582,5.15,"RC43","Digital Archive","",""
25/01/2009 04:15,0.593,5.37,"RC43","Digital Archive","",""
30/01/2009 05:00,0.563,4.78,"RC42","Digital Archive","",""
09/02/2009 21:45,0.727,8.51,"RC43","Digital Archive","",""
14/11/2009 02:00,0.537,4.24,"RC42","Digital Archive","",""
25/11/2009 02:30,0.541,4.31,"RC42","Digital Archive","",""
28/11/2009 19:15,0.611,5.73,"RC43","Digital Archive","",""
01/12/2009 21:00,0.588,5.27,"RC43","Digital Archive","",""
06/12/2009 05:15,0.546,4.42,"RC42","Digital Archive","",""
16/01/2010 07:00,0.566,4.82,"RC42","Digital Archive","",""
22/01/2010 03:15,0.537,4.24,"RC42","Digital Archive","",""
17/11/2010 07:30,0.554,4.58,"RC42","Digital Archive","",""
13/01/2011 23:45,0.528,4.07,"RC42","Digital Archive","",""
12/12/2011 22:45,0.583,5.17,"RC43","Digital Archive","",""
03/01/2012 12:15,0.578,5.07,"RC43","Digital Archive","",""
05/01/2012 07:45,0.550,4.50,"RC42","Digital Archive","",""
25/04/2012 08:15,0.654,6.70,"RC43","Digital Archive","",""
29/04/2012 13:45,0.568,4.87,"RC43","Digital Archive","",""
07/07/2012 02:15,0.621,5.96,"RC43","Digital Archive","",""
24/09/2012 03:15,0.755,9.28,"RC43","Digital Archive","",""
06/10/2012 01:30,0.554,4.58,"RC42","Digital Archive","",""
21/11/2012 06:45,0.650,6.61,"RC43","Digital Archive","",""
22/11/2012 21:45,0.584,5.19,"RC43","Digital Archive","",""
24/11/2012 21:30,1.066,19.01,"RC45","Digital Archive","",""
25/11/2012 20:15,0.713,8.15,"RC43","Digital Archive","",""
14/12/2012 14:15,0.544,4.37,"RC42","Digital Archive","",""
20/12/2012 07:00,0.878,12.74,"RC44","Digital Archive","",""
22/12/2012 03:45,1.130,21.38,"RC45","Digital Archive","",""
23/12/2012 10:45,0.736,8.76,"RC43","Digital Archive","",""
25/12/2012 11:30,0.621,5.96,"RC43","Digital Archive","",""
31/12/2012 15:00,0.603,5.58,"RC43","Digital Archive","",""
18/01/2013 05:30,0.533,4.16,"RC42","Digital Archive","",""
25/01/2013 21:45,0.650,6.62,"RC43","Digital Archive","",""
27/01/2013 05:00,0.569,4.88,"RC43","Digital Archive","",""
30/01/2013 02:15,0.591,5.33,"RC43","Digital Archive","",""
01/02/2013 07:15,0.541,4.31,"RC42","Digital Archive","",""
21/03/2013 22:45,0.701,7.83,"RC43","Digital Archive","",""
22/03/2013 19:00,0.585,5.20,"RC43","Digital Archive","",""
28/10/2013 00:15,0.560,4.71,"RC42","Digital Archive","",""
03/11/2013 19:45,0.552,4.55,"RC42","Digital Archive","",""
18/12/2013 20:30,0.573,4.96,"RC43","Digital Archive","",""
21/12/2013 05:45,0.523,3.96,"RC42","Digital Archive","",""
24/12/2013 03:45,0.718,8.27,"RC43","Digital Archive","",""
27/12/2013 02:30,0.593,5.37,"RC43","Digital Archive","",""
30/12/2013 09:45,0.571,4.93,"RC43","Digital Archive","",""
01/01/2014 15:15,0.666,6.99,"RC43","Digital Archive","",""
05/01/2014 19:00,0.697,7.73,"RC43","Digital Archive","",""
06/01/2014 22:45,0.594,5.39,"RC43","Digital Archive","",""
12/01/2014 20:00,0.548,4.45,"RC42","Digital Archive","",""
18/01/2014 13:30,0.549,4.47,"RC42","Digital Archive","",""
24/01/2014 09:15,0.560,4.70,"RC42","Digital Archive","",""
26/01/2014 11:45,0.586,5.22,"RC43","Digital Archive","",""
31/01/2014 16:00,0.638,6.34,"RC43","Digital Archive","",""
03/02/2014 23:30,0.615,5.83,"RC43","Digital Archive","",""
08/02/2014 01:15,0.592,5.34,"RC43","Digital Archive","",""
14/02/2014 14:45,0.956,15.21,"RC44","Digital Archive","",""
18/02/2014 07:00,0.532,4.14,"RC42","Digital Archive","",""
02/03/2014 17:15,0.550,4.49,"RC42","Digital Archive","",""
15/01/2015 06:00,0.559,4.69,"RC42","Digital Archive","",""
03/01/2016 14:00,0.737,8.78,"RC43","Digital Archive","",""
07/01/2016 02:00,0.728,8.54,"RC43","Digital Archive","",""
09/01/2016 18:15,0.756,9.30,"RC43","Digital Archive","",""
11/01/2016 02:30,0.656,6.75,"RC43","Digital Archive","",""
18/01/2016 08:30,0.549,4.48,"RC42","Digital Archive","",""
22/01/2016 09:00,0.624,6.02,"RC43","Digital Archive","",""
27/01/2016 05:45,0.572,4.95,"RC43","Digital Archive","",""
06/02/2016 18:15,0.990,16.30,"RC44","Digital Archive","",""
13/02/2016 08:15,0.542,4.34,"RC42","Digital Archive","",""
17/02/2016 14:15,0.555,4.59,"RC42","Digital Archive","",""
28/03/2016 03:15,0.718,8.29,"RC43","Digital Archive","",""
