"NAME:","Wye at Cadora"
"NUMBER:","55001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/11/1936 00:00,4.312,401.13,"1b","CEH MMAX 7-9-72","Monthly Max",""
16/12/1936 00:00,5.862,627.25,"1b","CEH MMAX 7-9-72","Monthly Max",""
08/01/1937 00:00,4.872,478.93,"1b","CEH MMAX 7-9-72","Monthly Max",""
27/02/1937 00:00,4.842,474.64,"1b","CEH MMAX 7-9-72","Monthly Max",""
18/03/1937 00:00,4.852,476.07,"1b","CEH MMAX 7-9-72","Monthly Max",""
21/04/1937 00:00,3.242,265.93,"1b","CEH MMAX 7-9-72","Monthly Max",""
12/05/1937 00:00,1.302,68.98,"1a","CEH MMAX 7-9-72","Monthly Max",""
14/06/1937 00:00,0.992,44.68,"1a","CEH MMAX 7-9-72","Monthly Max",""
24/07/1937 00:00,1.172,58.22,"1a","CEH MMAX 7-9-72","Monthly Max",""
13/08/1937 00:00,0.732,28.01,"1a","CEH MMAX 7-9-72","Monthly Max",""
19/09/1937 00:00,1.342,72.45,"1a","CEH MMAX 7-9-72","Monthly Max",""
31/10/1937 00:00,2.352,168.52,"1b","CEH MMAX 7-9-72","Monthly Max",""
02/11/1937 00:00,1.832,118.85,"1b","CEH MMAX 7-9-72","Monthly Max",""
03/12/1937 00:00,2.852,221.43,"1b","CEH MMAX 7-9-72","Monthly Max",""
16/01/1938 00:00,4.942,488.97,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/02/1938 00:00,3.122,251.95,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/03/1938 00:00,2.692,203.98,"1b","CEH MMAX 7-9-72","Monthly Max",""
04/04/1938 00:00,0.952,41.89,"1a","CEH MMAX 7-9-72","Monthly Max",""
31/05/1938 00:00,1.292,68.12,"1a","CEH MMAX 7-9-72","Monthly Max",""
03/06/1938 00:00,2.522,185.97,"1b","CEH MMAX 7-9-72","Monthly Max",""
11/07/1938 00:00,2.842,220.33,"1b","CEH MMAX 7-9-72","Monthly Max",""
20/08/1938 00:00,1.272,66.42,"1a","CEH MMAX 7-9-72","Monthly Max",""
20/09/1938 00:00,0.762,29.76,"1a","CEH MMAX 7-9-72","Monthly Max",""
10/10/1938 00:00,3.962,354.89,"1b","CEH MMAX 7-9-72","Monthly Max",""
27/11/1938 00:00,4.542,432.52,"1b","CEH MMAX 7-9-72","Monthly Max",""
10/12/1938 00:00,4.572,436.68,"1b","CEH MMAX 7-9-72","Monthly Max",""
16/01/1939 00:00,5.712,603.93,"1b","CEH MMAX 7-9-72","Monthly Max",""
28/02/1939 00:00,3.552,303.18,"1b","CEH MMAX 7-9-72","Monthly Max",""
03/03/1939 00:00,3.962,354.89,"1b","CEH MMAX 7-9-72","Monthly Max",""
05/04/1939 00:00,3.392,283.75,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/05/1939 00:00,1.182,59.02,"1a","CEH MMAX 7-9-72","Monthly Max",""
30/06/1939 00:00,0.802,32.16,"1a","CEH MMAX 7-9-72","Monthly Max",""
31/07/1939 00:00,4.332,403.83,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/09/1939 00:00,0.842,34.64,"1a","CEH MMAX 7-9-72","Monthly Max",""
12/10/1939 00:00,1.062,49.76,"1a","CEH MMAX 7-9-72","Monthly Max",""
28/11/1939 00:00,5.642,593.15,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/12/1939 00:00,4.422,416.04,"1b","CEH MMAX 7-9-72","Monthly Max",""
27/01/1940 00:00,5.182,523.93,"1b","CEH MMAX 7-9-72","Monthly Max",""
08/02/1940 00:00,5.032,501.99,"1b","CEH MMAX 7-9-72","Monthly Max",""
19/03/1940 00:00,3.982,357.48,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/05/1940 00:00,2.632,197.56,"1b","CEH MMAX 7-9-72","Monthly Max",""
02/06/1940 00:00,0.992,44.68,"1a","CEH MMAX 7-9-72","Monthly Max",""
13/07/1940 00:00,1.762,112.62,"1b","CEH MMAX 7-9-72","Monthly Max",""
01/08/1940 00:00,0.632,22.54,"1a","CEH MMAX 7-9-72","Monthly Max",""
18/09/1940 00:00,1.432,80.55,"1a","CEH MMAX 7-9-72","Monthly Max",""
07/10/1940 00:00,2.002,134.45,"1b","CEH MMAX 7-9-72","Monthly Max",""
04/11/1940 00:00,5.532,576.34,"1b","CEH MMAX 7-9-72","Monthly Max",""
15/12/1940 00:00,3.292,271.83,"1b","CEH MMAX 7-9-72","Monthly Max",""
29/01/1941 00:00,3.652,315.54,"1b","CEH MMAX 7-9-72","Monthly Max",""
08/02/1941 00:00,5.312,543.20,"1b","CEH MMAX 7-9-72","Monthly Max",""
02/03/1941 00:00,4.532,431.14,"1b","CEH MMAX 7-9-72","Monthly Max",""
04/04/1941 00:00,2.242,157.54,"1b","CEH MMAX 7-9-72","Monthly Max",""
26/05/1941 00:00,2.782,213.74,"1b","CEH MMAX 7-9-72","Monthly Max",""
10/06/1941 00:00,2.632,197.56,"1b","CEH MMAX 7-9-72","Monthly Max",""
19/07/1941 00:00,1.082,51.25,"1a","CEH MMAX 7-9-72","Monthly Max",""
24/08/1941 00:00,2.512,184.93,"1b","CEH MMAX 7-9-72","Monthly Max",""
02/09/1941 00:00,1.302,68.98,"1a","CEH MMAX 7-9-72","Monthly Max",""
18/10/1941 00:00,3.952,353.60,"1b","CEH MMAX 7-9-72","Monthly Max",""
18/11/1941 00:00,2.922,229.22,"1b","CEH MMAX 7-9-72","Monthly Max",""
