"NAME:","Honddu at Tafolog"
"NUMBER:","55015"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/10/1953 00:00,0.940,10.28,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
09/06/1954 00:00,0.990,11.58,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
12/06/1954 00:00,1.160,16.68,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
01/08/1954 00:00,0.980,11.32,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
23/10/1954 00:00,0.940,10.28,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
22/11/1954 00:00,1.390,25.27,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
24/11/1954 00:00,1.010,12.13,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
25/11/1954 00:00,1.040,12.98,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
27/11/1954 00:00,1.220,18.73,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
12/12/1954 00:00,0.990,11.58,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
09/01/1955 00:00,0.960,10.79,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
02/06/1955 00:00,1.100,14.76,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
07/06/1955 00:00,0.940,10.28,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
09/11/1955 00:00,0.990,11.58,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
14/12/1955 00:00,1.450,27.84,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied. Stage >>> rating upper limit, so flow unreliable",""
01/09/1956 00:00,1.020,12.41,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
27/12/1956 00:00,1.040,12.98,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
25/09/1957 00:00,1.110,15.08,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
09/02/1958 00:00,1.190,17.69,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
11/02/1958 00:00,0.940,10.28,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
02/06/1958 00:00,0.910,9.54,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
23/09/1958 00:00,1.280,20.91,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
03/10/1958 00:00,1.600,34.87,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied. Stage >>> rating upper limit, so flow unreliable",""
18/12/1958 00:00,0.930,10.03,"1a","CEH POTS 28-3-7?","Threshold 0.913 applied",""
