"NAME:","Wye at Gwy flume"
"NUMBER:","55033"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/10/1973 00:00,,7.51,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
22/01/1975 00:00,,7.96,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
12/02/1976 00:00,,8.55,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
30/09/1977 00:00,,5.96,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
01/11/1977 00:00,,7.68,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
03/03/1979 00:00,,7.59,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
04/12/1979 00:00,,9.70,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
06/10/1980 00:00,,10.45,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
18/11/1981 00:00,,7.99,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
31/01/1983 00:00,,9.11,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
08/12/1983 00:00,,7.27,"","CEH AMAX 17/9/86","Annual Maxima from SWA","AMAX ONLY"
11/06/1985 00:00,,6.39,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
09/01/1986 00:00,,9.65,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
29/12/1986 00:00,,9.43,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
25/09/1988 00:00,,10.03,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
17/02/1989 00:00,,6.20,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
22/02/1991 00:00,,10.43,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
22/01/1994 00:00,,9.96,"","CEH AMAX Christmas mid-1990s","Annual Maxima from SWA","AMAX ONLY"
25/01/1994 03:30,,6.10,"","CEH","",""
18/03/1994 16:30,,6.78,"","CEH","",""
25/03/1994 01:30,,7.44,"","CEH","",""
04/04/1994 00:45,,4.81,"","CEH","",""
08/04/1994 14:30,,5.02,"","CEH","",""
21/06/1994 14:30,,4.69,"","CEH","",""
30/10/1994 01:00,,5.54,"","CEH","",""
13/11/1994 16:00,,5.27,"","CEH","",""
14/11/1994 05:30,,4.11,"","CEH","",""
20/11/1994 08:00,,5.90,"","CEH","",""
26/12/1994 16:30,,4.87,"","CEH","",""
27/12/1994 05:15,,9.19,"","CEH","",""
28/12/1994 02:30,,7.06,"","CEH","",""
10/01/1995 20:15,,8.69,"","CEH","",""
27/01/1995 17:00,,10.00,"","CEH","",""
31/01/1995 22:15,,7.14,"","CEH","",""
11/02/1995 17:30,,4.95,"","CEH","",""
