"NAME:","Lwyd at Ponthir"
"NUMBER:","56005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/10/1966 00:00,0.950,24.75,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
19/10/1966 00:00,1.060,30.70,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
30/12/1966 00:00,0.940,24.23,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
22/01/1967 00:00,0.980,26.32,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
20/02/1967 00:00,1.090,32.41,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
27/02/1967 00:00,1.430,54.46,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
01/10/1967 00:00,1.000,27.38,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
14/10/1967 00:00,1.060,30.70,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
16/10/1967 00:00,1.440,55.18,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
22/12/1967 00:00,0.970,25.79,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
13/01/1968 00:00,1.010,27.93,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
16/01/1968 00:00,1.010,27.93,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
23/03/1968 00:00,1.310,46.14,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
02/07/1968 00:00,1.040,29.57,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
10/07/1968 00:00,1.370,50.23,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
28/10/1968 00:00,1.240,41.56,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
21/12/1968 00:00,1.100,32.99,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
15/01/1970 00:00,1.000,27.38,"1c","CEH POTS 13-12-76","Threshold 0.942 applied",""
