"NAME:","Senni at Pont-Hen-Hafod"
"NUMBER:","56007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/03/1968 00:00,,21.64,"","CEH AMAX 13-12-76","","AMAX ONLY"
28/10/1968 00:00,,18.64,"","CEH AMAX 13-12-76","","AMAX ONLY"
22/04/1970 00:00,,20.32,"","CEH AMAX 13-12-76","","AMAX ONLY"
07/01/1971 00:00,,17.66,"","CEH AMAX 13-12-76","","AMAX ONLY"
18/10/1971 00:00,,29.08,"","CEH AMAX 13-12-76","","AMAX ONLY"
05/08/1973 00:00,,24.56,"","CEH AMAX 13-12-76","","AMAX ONLY"
14/02/1974 00:00,,20.20,"","CEH AMAX 13-12-76","","AMAX ONLY"
13/11/1974 00:00,,27.46,"","CEH AMAX 13-12-76","","AMAX ONLY"
01/12/1975 00:00,1.370,26.24,"1c","CEH AMAX 30-4-87","Datum 0.05","AMAX ONLY"
15/03/1977 00:00,1.040,16.63,"1c","CEH AMAX 30-4-87","Datum 0.04","AMAX ONLY"
30/10/1977 00:00,1.490,30.18,"1c","CEH AMAX 30-4-87","Datum 0.03","AMAX ONLY"
01/02/1979 00:00,1.080,17.70,"1c","CEH AMAX 30-4-87","Datum 0.02","AMAX ONLY"
27/12/1979 00:00,2.000,49.50,"1c","CEH AMAX 30-4-87","Datum 0.01m. Peak exceed rating upper limit but within bankful. Peak extrapolated","AMAX ONLY"
21/03/1981 00:00,1.580,33.30,"1c","CEH AMAX 30-4-87","Datum 0.00","AMAX ONLY"
03/01/1982 19:15,0.907,13.30,"1c","Digital Archive","",""
05/01/1982 09:30,0.962,14.64,"1c","Digital Archive","",""
12/02/1982 22:30,1.065,17.29,"1c","Digital Archive","",""
03/03/1982 01:00,1.172,20.25,"1c","Digital Archive","",""
06/03/1982 17:15,1.095,18.10,"1c","Digital Archive","",""
09/03/1982 22:15,0.944,14.19,"1c","Digital Archive","",""
12/03/1982 06:00,0.966,14.74,"1c","Digital Archive","",""
15/03/1982 06:30,1.350,25.60,"1c","Digital Archive","",""
21/09/1982 10:15,0.953,14.41,"1c","Digital Archive","",""
18/10/1982 00:15,0.907,13.30,"1c","Digital Archive","",""
12/11/1982 05:30,1.305,24.20,"1c","Digital Archive","",""
21/11/1982 14:15,1.149,19.60,"1c","Digital Archive","",""
19/12/1982 13:00,1.289,23.71,"1c","Digital Archive","",""
03/01/1983 13:00,1.029,16.34,"1c","Digital Archive","",""
04/01/1983 04:45,1.243,22.32,"1c","Digital Archive","",""
06/01/1983 05:45,0.945,14.22,"1c","Digital Archive","",""
31/01/1983 17:00,0.984,15.19,"1c","Digital Archive","",""
15/10/1983 12:00,1.766,40.14,"1c","Digital Archive","Peak exceed rating upper limit but within bankful. Peak extrapolated",""
24/12/1983 13:00,1.180,20.48,"1c","Digital Archive","",""
02/01/1984 19:00,1.302,24.11,"1c","Digital Archive","",""
13/01/1984 03:00,1.243,22.32,"1c","Digital Archive","",""
16/01/1984 15:00,1.241,22.26,"1c","Digital Archive","",""
22/10/1984 17:30,1.123,18.87,"1c","Digital Archive","",""
