"NAME:","Ebbw at Aberbeeg"
"NUMBER:","56019"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/09/1976 12:00,0.970,41.86,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
15/03/1977 00:00,0.820,28.42,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
30/10/1977 00:00,0.790,26.09,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
01/11/1977 00:00,0.890,34.32,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
31/07/1978 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
24/03/1979 00:00,0.750,23.15,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
07/11/1979 00:00,0.770,24.59,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
09/12/1979 00:00,0.840,30.04,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
27/12/1979 00:00,1.270,78.18,"1b","CEH POTS 1-4-87","Threshold 0.748 applied. Peak exceeds rating upper limit but within bankful",""
23/03/1980 00:00,0.810,27.63,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
10/10/1980 00:00,0.750,23.15,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
16/11/1980 00:00,0.770,24.59,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
21/11/1980 00:00,0.780,25.33,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
14/12/1980 00:00,0.880,33.43,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
09/03/1981 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
10/03/1981 00:00,0.880,33.43,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
21/03/1981 00:00,0.990,43.88,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
19/09/1981 00:00,1.190,67.21,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
30/12/1981 00:00,0.800,26.85,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
03/01/1982 00:00,0.750,23.15,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
12/02/1982 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
09/03/1982 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
11/03/1982 00:00,0.840,30.04,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
14/03/1982 00:00,0.990,43.88,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
12/08/1982 00:00,0.980,42.86,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
24/09/1982 00:00,0.940,38.93,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
26/09/1982 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
16/10/1982 00:00,0.770,24.59,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
07/11/1982 00:00,0.890,34.32,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
11/11/1982 00:00,0.950,39.89,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
21/11/1982 00:00,0.820,28.42,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
09/12/1982 00:00,0.790,26.09,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
19/12/1982 00:00,0.830,29.22,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
03/01/1983 00:00,0.880,33.43,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
31/01/1983 00:00,0.890,34.32,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
24/03/1983 00:00,0.760,23.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
21/08/1983 00:00,0.850,30.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
21/09/1983 00:00,0.880,33.43,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
15/10/1983 00:00,1.320,85.53,"1b","CEH POTS 1-4-87","Threshold 0.748 applied. Peak exceeds rating upper limit but within bankful",""
18/12/1983 00:00,0.920,37.04,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
19/12/1983 12:00,0.830,29.22,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
02/01/1984 21:00,0.842,30.20,"1b","Digital Archive","Threshold 0.748 applied",""
12/01/1984 00:00,0.850,30.87,"1b","CEH POTS 1-4-87","Threshold 0.748 applied",""
13/01/1984 05:00,0.850,30.87,"1b","Digital Archive","Threshold 0.748 applied",""
16/01/1984 13:00,0.906,35.76,"1b","Digital Archive","",""
27/01/1984 03:00,0.723,21.29,"1b","Digital Archive","",""
06/02/1984 21:00,0.879,33.35,"1b","Digital Archive","",""
22/10/1984 15:00,0.882,33.61,"1b","Digital Archive","",""
08/11/1984 15:00,0.730,21.76,"1b","Digital Archive","",""
22/11/1984 15:00,0.820,28.42,"1b","Digital Archive","",""
23/11/1984 19:00,0.970,41.86,"1b","Digital Archive","",""
27/01/1985 21:00,0.754,23.44,"1b","Digital Archive","",""
07/04/1985 19:00,0.782,25.48,"1b","Digital Archive","",""
11/08/1985 11:00,0.935,38.45,"1b","Digital Archive","",""
24/08/1985 00:15,0.839,29.96,"1b","Digital Archive","",""
06/10/1985 16:30,0.897,34.94,"1b","Digital Archive","",""
01/12/1985 16:30,0.731,21.83,"1b","Digital Archive","",""
02/12/1985 21:15,0.753,23.37,"1b","Digital Archive","",""
22/12/1985 00:30,0.953,40.18,"1b","Digital Archive","",""
24/12/1985 01:45,0.755,23.51,"1b","Digital Archive","",""
25/12/1985 22:15,0.966,41.46,"1b","Digital Archive","",""
