"NAME:","Clun at Cross Inn"
"NUMBER:","57803"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/02/1967 00:00,1.710,17.10,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
27/02/1967 00:00,1.780,18.09,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
01/04/1967 00:00,1.360,12.34,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
01/10/1967 00:00,1.580,15.29,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
16/10/1967 00:00,1.790,18.23,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
28/10/1967 00:00,1.440,13.40,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
22/12/1967 00:00,1.790,18.23,"1a","CEH POTS 9-12-76","Threshold 1.217 applied. Peak level appears OK but there is no reliable rating.",""
08/01/1968 00:00,1.550,14.88,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
13/01/1968 00:00,1.500,14.20,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
24/05/1968 00:00,1.510,14.34,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
25/06/1968 00:00,1.300,11.56,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
26/06/1968 00:00,1.380,12.61,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
01/07/1968 00:00,2.130,23.20,"1a","CEH POTS 9-12-76","Threshold 1.217 applied. Peak level appears OK but there is no reliable rating.",""
02/07/1968 00:00,1.990,21.12,"1a","CEH POTS 9-12-76","Threshold 1.217 applied. Peak level appears OK but there is no reliable rating.",""
10/07/1968 00:00,1.960,20.68,"1a","CEH POTS 9-12-76","Threshold 1.217 applied. Peak level appears OK but there is no reliable rating.",""
27/10/1968 00:00,1.440,13.40,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
26/11/1968 00:00,1.490,14.07,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
15/01/1969 00:00,1.300,11.56,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
15/01/1970 00:00,1.620,15.84,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
29/01/1970 00:00,1.360,12.34,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
02/02/1970 00:00,1.700,16.96,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
21/02/1970 00:00,1.570,15.16,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
31/10/1970 00:00,1.250,10.92,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
02/11/1970 00:00,2.010,21.42,"1a","CEH POTS 9-12-76","Threshold 1.217 applied. Peak level appears OK but there is no reliable rating.",""
06/11/1970 00:00,1.490,14.07,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
14/11/1970 00:00,1.310,11.69,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
16/11/1970 00:00,1.250,10.92,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
17/11/1970 00:00,1.460,13.67,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
23/11/1970 00:00,1.420,13.13,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
23/01/1971 00:00,1.270,11.18,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
18/06/1971 00:00,1.320,11.82,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
17/10/1971 00:00,1.250,10.92,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
19/10/1971 00:00,1.310,11.69,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
20/11/1971 00:00,1.720,17.24,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
16/01/1972 00:00,1.390,12.74,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
06/06/1972 00:00,1.260,11.05,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
12/11/1972 00:00,1.660,16.40,"1a","CEH POTS 9-12-76","Threshold 1.217 applied",""
