"NAME:","Bran at Llandovery"
"NUMBER:","60005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/05/1968 00:00,1.680,14.99,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
26/06/1968 00:00,2.180,31.86,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
02/07/1968 00:00,2.100,28.79,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
28/10/1968 00:00,1.680,14.99,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
16/01/1969 00:00,1.620,13.36,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
21/01/1969 00:00,1.650,14.16,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
11/11/1969 00:00,1.820,19.14,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
14/12/1969 00:00,1.630,13.62,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
15/01/1970 00:00,1.770,17.61,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
21/02/1970 00:00,1.670,14.72,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
22/04/1970 00:00,1.820,19.14,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
01/11/1970 00:00,1.800,18.52,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
06/11/1970 00:00,1.670,14.72,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
25/01/1971 00:00,1.640,13.89,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
17/06/1971 00:00,1.820,19.14,"10a","CEH POTS 19-1-77","Threshold 1.394 applied",""
18/10/1971 00:00,2.020,25.85,"10a","CEH POTS 19-1-77","Threshold 1.776 applied",""
12/11/1972 00:00,1.770,17.61,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
01/12/1972 00:00,2.080,28.04,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
04/12/1972 09:00,2.020,25.85,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
04/12/1972 12:00,2.150,30.69,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
05/12/1972 00:00,2.120,29.54,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
11/12/1972 00:00,1.930,22.72,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
12/12/1972 00:00,1.900,21.72,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
12/02/1973 00:00,1.830,19.46,"10a","CEH POTS 19-1-77","Threshold 1.720 applied",""
