"NAME:","Gwaun at Cilrhedyn Bridge"
"NUMBER:","61003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
16/12/1968 00:00,1.150,10.34,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
20/12/1968 09:00,1.370,15.41,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
20/12/1968 12:00,1.380,15.66,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
07/01/1969 00:00,1.080,9.11,"6a","CEH POT 19-1-77","Threshold 1.054 applied",""
20/01/1969 00:00,1.600,21.94,"6b","CEH POT 19-1-77","Threshold 1.054m applied. Flow extrapolated from rating upper limit so peak flow uncertain. However, flood within bankful.",""
17/06/1969 00:00,1.150,10.34,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
13/12/1969 00:00,1.470,18.09,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
23/01/1970 00:00,1.110,9.54,"6a","CEH POT 19-1-77","Threshold 1.054 applied",""
01/02/1970 00:00,1.120,9.73,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
22/04/1970 00:00,1.120,9.73,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
02/11/1970 00:00,1.150,10.34,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
14/11/1970 00:00,1.120,9.73,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
16/11/1970 00:00,1.270,12.96,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
17/11/1970 00:00,1.500,18.94,"6b","CEH POT 19-1-77","Threshold 1.054 applied",""
18/11/1970 00:00,1.600,21.94,"6b","CEH POT 19-1-77","Threshold 1.164 applied",""
18/06/1971 00:00,1.260,12.73,"6b","CEH POT 19-1-77","Threshold 1.164 applied",""
10/08/1971 00:00,1.570,21.01,"6b","CEH POT 19-1-77","Threshold 1.164 applied",""
19/10/1971 00:00,1.200,11.39,"6b","CEH POT 19-1-77","Threshold 1.164 applied",""
20/11/1971 00:00,1.800,28.69,"6b","CEH POT 19-1-77","Threshold 1.107m applied. Flow extrapolated from rating upper limit so peak flow uncertain. However, flood within bankful.",""
29/11/1971 00:00,1.130,9.93,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
15/01/1972 00:00,1.190,11.18,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
18/01/1972 00:00,1.220,11.83,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
15/02/1972 00:00,1.350,14.90,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
07/06/1972 00:00,1.500,18.94,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
05/11/1972 00:00,1.230,12.05,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
12/11/1972 00:00,1.320,14.15,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
11/12/1972 00:00,1.280,13.20,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
05/08/1973 00:00,1.650,23.53,"6b","CEH POT 19-1-77","Threshold 1.107 applied",""
04/01/1974 00:00,1.400,16.18,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
08/01/1974 00:00,1.490,18.65,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
10/01/1974 00:00,1.600,21.94,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
16/01/1974 00:00,1.250,12.50,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
30/01/1974 00:00,1.230,12.05,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
14/02/1974 00:00,1.300,13.67,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
16/02/1974 00:00,1.280,13.20,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
18/10/1974 00:00,1.170,10.75,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
13/11/1974 00:00,1.450,17.53,"6b","CEH POT 12-6-85","Threshold 1.075 applied",""
