"NAME:","Brathay at Jeffy Knotts"
"NUMBER:","73014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/01/1976 23:15,2.612,52.20,"01top4","Digital Archive","",""
10/01/1976 20:15,2.260,34.80,"01top4","Digital Archive","",""
20/01/1976 06:15,2.390,40.70,"01top4","Digital Archive","",""
22/01/1976 17:45,2.359,39.20,"01top4","Digital Archive","",""
03/02/1977 11:15,3.072,80.10,"01top5","Digital Archive","",""
22/04/1977 06:45,2.580,50.40,"01top4","Digital Archive","",""
02/09/1977 01:15,2.385,40.40,"01top4","Digital Archive","",""
04/09/1977 20:45,2.534,47.90,"01top4","Digital Archive","",""
30/09/1977 04:00,2.490,45.60,"01top4","Digital Archive","",""
04/10/1977 02:45,2.616,52.40,"01top4","Digital Archive","",""
24/10/1977 15:45,3.018,76.70,"01top5","Digital Archive","",""
31/10/1977 07:15,3.438,106.00,"01top5","Digital Archive","",""
03/01/1981 02:15,3.037,77.90,"01top5","Digital Archive","",""
14/01/1981 14:45,2.753,60.40,"01top4","Digital Archive","",""
03/02/1981 03:45,2.706,57.60,"01top4","Digital Archive","",""
07/03/1981 12:00,2.395,40.90,"01top4","Digital Archive","",""
10/03/1981 21:00,2.713,58.00,"01top4","Digital Archive","",""
24/03/1981 03:00,2.309,36.90,"81-844","Digital Archive","",""
20/09/1981 03:45,2.684,56.30,"81-844","Digital Archive","",""
24/09/1981 05:00,2.324,37.60,"81-844","Digital Archive","",""
27/09/1981 18:00,2.408,41.50,"81-844","Digital Archive","",""
09/10/1981 06:00,2.708,57.70,"81-844","Digital Archive","",""
02/11/1981 04:15,2.476,44.90,"81-844","Digital Archive","",""
11/11/1981 14:15,2.493,45.80,"81-844","Digital Archive","",""
23/11/1981 16:45,2.252,34.40,"81-844","Digital Archive","",""
27/11/1981 05:30,2.749,60.20,"81-844","Digital Archive","",""
03/01/1982 06:45,3.892,145.00,"81-845","Digital Archive","",""
10/03/1982 02:15,2.922,70.70,"81-845","Digital Archive","",""
12/03/1982 10:30,2.373,39.90,"81-844","Digital Archive","",""
22/08/1982 14:00,2.273,35.30,"81-844","Digital Archive","",""
24/08/1982 22:00,2.256,34.60,"81-844","Digital Archive","",""
02/10/1982 05:00,2.285,35.90,"81-844","Digital Archive","",""
20/10/1982 15:00,2.345,38.60,"81-844","Digital Archive","",""
12/11/1982 09:45,2.468,44.50,"81-844","Digital Archive","",""
16/11/1982 08:00,2.561,49.40,"81-844","Digital Archive","",""
21/11/1982 10:15,2.260,34.80,"81-844","Digital Archive","",""
15/12/1982 19:00,3.359,100.00,"81-845","Digital Archive","",""
19/12/1982 16:45,2.750,60.30,"81-844","Digital Archive","",""
01/01/1983 16:15,2.277,35.50,"81-844","Digital Archive","",""
28/01/1983 21:15,2.942,71.90,"81-845","Digital Archive","",""
03/03/1983 16:15,2.326,37.70,"81-844","Digital Archive","",""
10/10/1983 01:30,2.770,61.50,"81-844","Digital Archive","",""
12/10/1983 14:45,2.734,59.30,"81-844","Digital Archive","",""
16/10/1983 20:30,2.484,45.30,"81-844","Digital Archive","",""
11/01/1984 08:15,2.259,34.70,"81-844","Digital Archive","",""
13/01/1984 08:00,2.264,35.00,"81-844","Digital Archive","",""
06/02/1984 07:30,2.255,34.60,"81-844","Digital Archive","",""
13/06/1984 21:15,2.610,52.10,"81-844","Digital Archive","",""
22/10/1984 09:30,2.340,38.30,"81-844","Digital Archive","",""
03/11/1984 21:45,2.527,47.60,"81-844","Digital Archive","",""
12/11/1984 09:00,2.333,38.00,"84-944","Digital Archive","",""
28/11/1984 01:00,2.498,46.00,"84-944","Digital Archive","",""
23/12/1984 11:15,2.307,36.80,"84-944","Digital Archive","",""
18/07/1985 00:45,2.800,63.40,"84-944","Digital Archive","",""
16/08/1985 01:15,2.717,58.30,"84-944","Digital Archive","",""
24/08/1985 05:15,2.925,70.90,"84-945","Digital Archive","",""
01/09/1985 12:30,2.256,34.60,"84-944","Digital Archive","",""
21/09/1985 19:15,2.349,38.80,"84-944","Digital Archive","",""
01/12/1985 18:30,2.830,65.30,"84-945","Digital Archive","",""
13/12/1985 05:30,2.872,67.70,"84-945","Digital Archive","",""
21/12/1985 03:30,2.715,58.10,"84-944","Digital Archive","",""
10/01/1986 14:15,2.575,50.10,"84-944","Digital Archive","",""
22/01/1986 16:15,2.396,41.00,"84-944","Digital Archive","",""
23/03/1986 01:00,3.061,79.40,"84-945","Digital Archive","",""
07/08/1986 09:30,2.507,46.50,"84-944","Digital Archive","",""
25/10/1986 11:15,2.588,50.80,"84-944","Digital Archive","",""
27/10/1986 16:30,2.670,55.50,"84-944","Digital Archive","",""
30/10/1986 12:00,2.415,41.90,"84-944","Digital Archive","",""
09/11/1986 22:15,2.715,58.10,"84-944","Digital Archive","",""
24/11/1986 22:00,2.742,59.80,"84-944","Digital Archive","",""
03/12/1986 23:00,2.745,59.90,"84-944","Digital Archive","",""
11/12/1986 13:45,2.273,35.30,"84-944","Digital Archive","",""
25/12/1986 08:00,2.463,44.30,"84-944","Digital Archive","",""
30/12/1986 21:30,2.435,42.90,"84-944","Digital Archive","",""
04/01/1987 16:45,2.861,67.10,"84-945","Digital Archive","",""
27/03/1987 08:30,3.304,96.10,"84-945","Digital Archive","",""
06/06/1987 23:30,2.413,41.80,"84-944","Digital Archive","",""
12/09/1987 09:45,2.322,37.50,"84-944","Digital Archive","",""
18/10/1987 20:15,2.773,61.70,"84-944","Digital Archive","",""
19/11/1987 00:15,2.470,44.60,"84-944","Digital Archive","",""
27/12/1987 18:45,2.452,43.70,"84-944","Digital Archive","",""
29/12/1987 07:30,2.754,60.50,"84-944","Digital Archive","",""
02/01/1988 00:30,2.606,51.80,"84-944","Digital Archive","",""
09/01/1988 18:00,2.592,51.10,"84-944","Digital Archive","",""
01/02/1988 21:15,2.510,46.70,"84-944","Digital Archive","",""
13/02/1988 20:30,2.317,37.30,"84-944","Digital Archive","",""
15/03/1988 21:15,2.289,36.00,"84-944","Digital Archive","",""
18/04/1988 23:00,2.275,35.40,"84-944","Digital Archive","",""
29/07/1988 00:00,2.429,42.60,"84-944","Digital Archive","",""
14/08/1988 12:45,2.478,45.00,"84-944","Digital Archive","",""
