"NAME:","Eden at Kemback"
"NUMBER:","14001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/05/1968 00:00,1.660,28.78,"1a","Dundee Univ.","",""
05/05/1968 00:00,2.080,44.45,"1a","Dundee Univ.","",""
09/05/1968 00:00,1.420,21.34,"1a","Dundee Univ.","",""
11/10/1968 00:00,1.320,18.57,"1a","Dundee Univ.","",""
01/11/1968 00:00,1.590,26.50,"1a","Dundee Univ.","",""
12/01/1969 00:00,1.510,24.00,"1a","Dundee Univ.","",""
23/11/1969 00:00,1.690,29.79,"1a","Dundee Univ.","",""
22/12/1969 00:00,1.500,23.70,"1a","Dundee Univ.","",""
18/01/1970 00:00,1.830,34.72,"1a","Dundee Univ.","",""
03/11/1970 00:00,1.480,23.10,"1a","Dundee Univ.","",""
21/11/1970 00:00,1.420,21.34,"1a","Dundee Univ.","",""
23/11/1970 00:00,1.640,28.12,"1a","Dundee Univ.","",""
02/12/1970 00:00,1.540,24.93,"1a","Dundee Univ.","",""
04/02/1972 00:00,1.680,29.45,"1a","Dundee Univ.","",""
17/02/1972 00:00,1.430,21.63,"1a","Dundee Univ.","",""
11/12/1972 06:00,1.120,13.60,"1a","chart","",""
20/01/1973 03:30,1.290,17.78,"1a","chart","",""
19/12/1973 08:00,1.110,13.37,"1a","chart","",""
13/01/1974 19:00,1.050,12.04,"1a","chart","",""
20/01/1974 14:30,0.990,10.78,"1a","chart","",""
11/02/1974 00:00,0.990,10.78,"1a","chart","",""
15/02/1974 09:00,1.100,13.14,"1a","chart","",""
22/11/1974 00:00,1.980,40.42,"1a","Dundee Univ.","",""
25/01/1975 00:00,1.410,21.06,"1a","Dundee Univ.","",""
21/03/1976 00:00,1.870,36.20,"1a","Dundee Univ.","",""
16/10/1976 00:00,1.760,32.21,"1a","Dundee Univ.","",""
21/12/1976 00:00,1.950,39.24,"1a","Dundee Univ.","",""
21/01/1977 00:00,1.920,45.40,"2a","Dundee Univ.","",""
26/01/1977 00:00,1.520,29.66,"2a","Dundee Univ.","",""
03/02/1977 00:00,1.510,29.26,"2a","Dundee Univ.","",""
11/02/1977 00:00,2.540,68.95,"2a","Dundee Univ.","",""
18/02/1977 00:00,1.490,28.46,"2a","Dundee Univ.","",""
22/02/1977 00:00,1.810,41.13,"2a","Dundee Univ.","",""
07/10/1977 00:00,1.730,37.99,"2a","Dundee Univ.","",""
31/10/1977 00:00,1.340,22.37,"2a","Dundee Univ.","",""
10/11/1977 00:00,1.340,22.37,"2a","Dundee Univ.","",""
23/01/1978 00:00,1.340,22.37,"2a","Dundee Univ.","",""
29/01/1978 00:00,1.790,40.34,"2a","Dundee Univ.","",""
04/02/1978 00:00,1.310,21.13,"2a","Dundee Univ.","",""
23/02/1978 00:00,2.250,58.04,"3b","Dundee Univ.","",""
28/04/1978 00:00,1.530,24.62,"3b","Dundee Univ.","",""
15/11/1978 00:00,1.450,22.21,"3b","Dundee Univ.","",""
09/12/1978 00:00,1.500,23.70,"3b","Dundee Univ.","",""
25/12/1978 00:00,1.760,32.21,"3b","Dundee Univ.","",""
28/12/1978 00:00,1.910,37.71,"3b","Dundee Univ.","",""
07/01/1979 00:00,1.500,23.70,"3b","Dundee Univ.","",""
26/03/1979 00:00,1.580,26.18,"3b","Dundee Univ.","",""
11/04/1979 00:00,1.490,23.40,"3b","Dundee Univ.","",""
26/11/1979 00:00,1.570,25.86,"3b","Dundee Univ.","",""
08/12/1979 00:00,1.890,36.95,"3b","Dundee Univ.","",""
27/12/1979 00:00,1.730,31.16,"3b","Dundee Univ.","",""
08/02/1980 00:00,1.970,40.02,"3b","Dundee Univ.","",""
24/03/1980 00:00,1.630,27.79,"3b","Dundee Univ.","",""
27/03/1980 00:00,1.580,26.18,"3b","Dundee Univ.","",""
19/11/1980 00:00,1.330,18.84,"3b","Dundee Univ.","",""
07/03/1981 00:00,1.420,21.34,"3b","Dundee Univ.","",""
10/03/1981 00:00,1.360,19.66,"3b","Dundee Univ.","",""
26/09/1981 00:00,1.690,29.79,"3b","Dundee Univ.","",""
02/10/1981 00:00,1.770,32.56,"3b","Dundee Univ.","",""
31/12/1981 00:00,1.750,31.86,"3b","Dundee Univ.","",""
04/01/1982 00:00,2.310,54.46,"3b","Dundee Univ.","",""
22/01/1982 00:00,1.340,19.11,"3b","Dundee Univ.","",""
14/10/1982 00:00,1.650,28.45,"3b","Dundee Univ.","",""
23/11/1982 00:00,1.760,32.21,"3b","Dundee Univ.","",""
08/12/1982 00:00,1.520,24.31,"3b","Dundee Univ.","",""
20/12/1982 00:00,1.720,30.82,"3b","Dundee Univ.","",""
05/01/1983 00:00,1.630,27.79,"3b","Dundee Univ.","",""
09/01/1983 00:00,1.420,21.34,"3b","Dundee Univ.","",""
15/05/1983 00:00,1.480,23.10,"3b","Dundee Univ.","",""
01/06/1983 00:00,2.058,43.55,"3b","Dundee Univ.","",""
24/12/1983 00:00,1.690,29.79,"3b","Dundee Univ.","",""
12/01/1984 00:00,1.540,24.93,"3b","Dundee Univ.","",""
28/01/1984 00:00,1.720,30.82,"3b","Dundee Univ.","",""
30/01/1984 00:00,1.430,21.63,"3b","Dundee Univ.","",""
