"NAME:","Tay at Ballathie"
"NUMBER:","15006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/10/1952 00:00,3.140,637.34,"1b","CEH POT","",""
07/11/1953 00:00,3.890,878.88,"1b","CEH POT","",""
03/12/1953 00:00,4.050,935.35,"1b","CEH POT","",""
19/01/1954 00:00,3.510,751.73,"1b","CEH POT","",""
23/02/1954 00:00,3.950,899.86,"1b","CEH POT","",""
29/05/1954 00:00,3.110,628.47,"1b","CEH POT","",""
18/10/1954 00:00,4.480,1095.69,"1b","CEH POT","",""
27/10/1954 00:00,3.230,664.31,"1b","CEH POT","",""
29/10/1954 00:00,3.230,664.31,"1b","CEH POT","",""
22/11/1954 00:00,3.730,824.15,"1b","CEH POT","",""
23/11/1954 00:00,3.510,751.73,"1b","CEH POT","",""
25/11/1954 00:00,4.570,1130.83,"1b","CEH POT","",""
27/11/1954 00:00,4.920,1272.69,"1b","CEH POT","",""
30/11/1954 00:00,4.510,1107.34,"1b","CEH POT","",""
02/12/1954 00:00,4.330,1038.34,"1b","CEH POT","",""
04/12/1954 00:00,4.720,1190.62,"1b","CEH POT","",""
16/12/1954 00:00,3.780,841.07,"1b","CEH POT","",""
18/12/1954 00:00,3.660,800.75,"1b","CEH POT","",""
21/12/1954 00:00,3.050,610.93,"1b","CEH POT","",""
26/12/1954 00:00,3.120,631.42,"1b","CEH POT","",""
28/12/1954 00:00,3.140,637.34,"1b","CEH POT","",""
14/12/1955 00:00,4.720,1190.62,"1b","CEH POT","",""
26/12/1955 00:00,3.350,701.12,"1b","CEH POT","",""
28/12/1955 00:00,4.610,1146.63,"1b","CEH POT","",""
01/03/1956 00:00,3.810,851.30,"1b","CEH POT","",""
04/09/1956 00:00,3.160,643.29,"1b","CEH POT","",""
15/12/1956 00:00,4.240,1004.66,"1b","CEH POT","",""
31/12/1956 00:00,3.890,878.88,"1b","CEH POT","",""
04/01/1957 00:00,3.760,834.28,"1b","CEH POT","",""
20/01/1957 00:00,3.070,616.75,"1b","CEH POT","",""
26/01/1957 00:00,3.200,655.26,"1b","CEH POT","",""
28/01/1957 00:00,3.470,738.91,"1b","CEH POT","",""
31/01/1957 00:00,3.650,797.44,"1b","CEH POT","",""
04/02/1957 00:00,4.170,978.84,"1b","CEH POT","",""
08/02/1957 00:00,3.700,814.08,"1b","CEH POT","",""
12/12/1957 00:00,4.100,953.35,"1b","CEH POT","",""
20/12/1957 00:00,4.340,1042.12,"1b","CEH POT","",""
28/01/1958 00:00,3.750,830.90,"1b","CEH POT","",""
19/01/1959 00:00,3.520,754.95,"1b","CEH POT","",""
07/12/1959 00:00,4.540,1119.06,"1b","CEH POT","",""
08/12/1959 00:00,3.640,794.13,"1b","CEH POT","",""
17/12/1959 00:00,3.380,710.48,"1b","CEH POT","",""
01/01/1960 00:00,3.080,619.67,"1b","CEH POT","",""
22/01/1960 00:00,3.680,807.40,"1b","CEH POT","",""
03/02/1960 00:00,4.370,1053.48,"1b","CEH POT","",""
29/02/1960 00:00,3.510,751.73,"1b","CEH POT","",""
05/04/1960 00:00,3.090,622.60,"1b","CEH POT","",""
27/01/1961 00:00,3.830,858.16,"1b","CEH POT","",""
10/02/1961 00:00,3.220,661.28,"1b","CEH POT","",""
14/02/1961 00:00,3.330,694.92,"1b","CEH POT","",""
