"NAME:","Tay at Kenmore"
"NUMBER:","15016"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
16/01/1975 00:00,1.900,196.69,"1a","Dundee Univ.","",""
23/01/1975 00:00,1.450,123.92,"1a","Dundee Univ.","",""
01/02/1975 00:00,1.560,139.76,"1a","Dundee Univ.","",""
26/09/1975 00:00,1.530,135.32,"1a","Dundee Univ.","",""
05/10/1975 00:00,1.430,121.18,"1a","Dundee Univ.","",""
23/01/1976 00:00,1.560,139.76,"1a","Dundee Univ.","",""
29/03/1976 00:00,1.370,113.16,"1a","Dundee Univ.","",""
18/05/1976 00:00,1.330,108.02,"1a","Dundee Univ.","",""
04/03/1977 00:00,1.330,108.02,"1a","Dundee Univ.","",""
12/03/1977 00:00,1.420,119.82,"1a","Dundee Univ.","",""
31/10/1977 00:00,1.460,125.31,"1a","Dundee Univ.","",""
08/11/1977 00:00,1.730,166.67,"1a","Dundee Univ.","",""
02/03/1978 00:00,1.430,121.18,"1a","Dundee Univ.","",""
30/03/1978 00:00,1.420,119.82,"1a","Dundee Univ.","",""
15/11/1978 00:00,1.890,194.84,"1a","Dundee Univ.","",""
23/11/1978 00:00,1.800,178.65,"1a","Dundee Univ.","",""
09/12/1978 00:00,1.460,125.31,"1a","Dundee Univ.","",""
03/03/1979 00:00,2.140,244.64,"1a","Dundee Univ.","",""
05/11/1979 00:00,1.560,139.76,"1a","Dundee Univ.","",""
01/12/1979 00:00,1.500,130.97,"1a","Dundee Univ.","",""
05/01/1980 00:00,1.480,128.12,"1a","Dundee Univ.","DATE UNCERTAIN",""
10/01/1980 00:00,1.440,122.54,"1a","Dundee Univ.","DATE UNCERTAIN",""
18/01/1980 00:00,1.370,113.16,"1a","Dundee Univ.","DATE UNCERTAIN",""
13/09/1980 00:00,1.400,117.13,"1a","Dundee Univ.","",""
07/10/1980 00:00,1.310,105.50,"1a","Dundee Univ.","",""
21/11/1980 00:00,1.560,139.76,"1a","Dundee Univ.","",""
15/12/1980 00:00,1.450,123.92,"1a","Dundee Univ.","",""
24/12/1980 00:00,1.420,119.82,"1a","Dundee Univ.","",""
04/01/1981 00:00,1.660,155.22,"1a","Dundee Univ.","",""
08/02/1981 00:00,1.540,136.79,"1a","Dundee Univ.","",""
08/03/1981 00:00,1.480,128.12,"1a","Dundee Univ.","",""
29/03/1981 00:00,1.360,111.86,"1a","Dundee Univ.","",""
27/09/1981 00:00,1.670,156.82,"1a","Dundee Univ.","",""
03/11/1981 00:00,1.500,130.97,"1a","Dundee Univ.","",""
22/11/1981 00:00,1.570,141.26,"1a","Dundee Univ.","",""
27/11/1981 00:00,1.500,130.97,"1a","Dundee Univ.","",""
22/01/1982 00:00,1.300,104.26,"1a","Dundee Univ.","",""
31/01/1982 00:00,1.340,109.29,"1a","Dundee Univ.","",""
13/02/1982 00:00,1.330,108.02,"1a","Dundee Univ.","",""
04/03/1982 00:00,1.540,136.79,"1a","Dundee Univ.","",""
28/09/1982 00:00,1.570,141.26,"1a","Dundee Univ.","",""
02/10/1982 00:00,1.700,161.70,"1a","Dundee Univ.","",""
20/10/1982 00:00,1.450,123.92,"1a","Dundee Univ.","",""
06/11/1982 00:00,1.300,104.26,"1a","Dundee Univ.","",""
12/11/1982 00:00,1.420,119.82,"1a","Dundee Univ.","",""
22/11/1982 00:00,1.600,145.82,"1a","Dundee Univ.","",""
06/01/1983 00:00,1.925,201.37,"1a","Dundee Univ.","",""
28/01/1983 00:00,1.470,126.71,"1a","Dundee Univ.","",""
18/10/1983 00:00,1.920,200.43,"1a","Dundee Univ.","",""
01/01/1984 00:00,2.010,217.84,"1a","Dundee Univ.","",""
13/01/1984 00:00,1.600,145.82,"1a","Dundee Univ.","",""
28/11/1984 00:00,1.830,183.94,"1a","Dundee Univ.","",""
25/12/1984 00:00,1.310,105.50,"1a","Dundee Univ.","",""
