"NAME:","Earn at Kinkell Bridge"
"NUMBER:","16001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/11/1948 00:00,2.250,171.85,"0b","FSR Vol 4","",""
02/12/1948 00:00,1.980,146.67,"0b","FSR Vol 4","",""
09/12/1948 00:00,2.190,166.18,"0b","FSR Vol 4","",""
11/12/1948 00:00,2.460,192.04,"0b","FSR Vol 4","",""
07/01/1949 00:00,2.010,149.42,"0b","FSR Vol 4","",""
19/01/1949 00:00,2.370,183.32,"0b","FSR Vol 4","",""
22/02/1949 00:00,2.420,188.15,"0b","FSR Vol 4","",""
08/08/1949 00:00,2.590,204.78,"0b","FSR Vol 4","",""
18/10/1949 00:00,2.340,180.44,"0b","FSR Vol 4","",""
04/11/1949 00:00,2.130,160.55,"0b","FSR Vol 4","",""
07/12/1949 00:00,2.160,163.36,"0b","FSR Vol 4","",""
25/12/1949 00:00,3.260,273.23,"0b","FSR Vol 4","",""
16/02/1950 00:00,3.350,282.76,"0b","FSR Vol 4","",""
06/09/1950 00:00,2.620,207.75,"0b","FSR Vol 4","",""
10/09/1950 00:00,1.820,132.19,"0b","FSR Vol 4","",""
17/01/1951 00:00,2.170,164.30,"0b","FSR Vol 4","",""
22/03/1951 00:00,2.130,160.55,"0b","FSR Vol 4","",""
05/11/1951 00:00,2.560,201.83,"0b","FSR Vol 4","",""
15/11/1951 00:00,1.820,132.19,"0b","FSR Vol 4","",""
16/11/1951 00:00,1.840,133.98,"0b","FSR Vol 4","",""
07/12/1951 00:00,1.800,130.40,"0b","FSR Vol 4","",""
19/12/1951 00:00,2.140,161.48,"0b","FSR Vol 4","",""
23/12/1951 00:00,1.870,136.68,"0b","FSR Vol 4","",""
14/01/1952 00:00,2.040,152.19,"0b","FSR Vol 4","",""
07/03/1952 00:00,2.560,201.83,"0b","FSR Vol 4","",""
28/10/1952 00:00,1.730,124.19,"0b","FSR Vol 4","",""
07/11/1953 00:00,2.520,197.90,"0b","FSR Vol 4","",""
12/11/1953 00:00,1.820,132.19,"0b","FSR Vol 4","",""
03/12/1953 00:00,2.340,180.44,"0b","FSR Vol 4","",""
21/02/1954 00:00,1.880,137.58,"0b","FSR Vol 4","",""
23/02/1954 00:00,2.500,195.94,"0b","FSR Vol 4","",""
24/02/1954 00:00,1.760,126.85,"0b","FSR Vol 4","",""
29/03/1954 00:00,1.940,143.02,"0b","FSR Vol 4","",""
05/05/1954 00:00,1.730,124.19,"0b","FSR Vol 4","",""
28/05/1954 00:00,2.060,154.04,"0b","FSR Vol 4","",""
29/10/1954 00:00,1.770,127.73,"0b","FSR Vol 4","",""
25/11/1954 00:00,2.610,206.76,"0b","FSR Vol 4","",""
26/11/1954 00:00,2.560,201.83,"0b","FSR Vol 4","",""
29/11/1954 00:00,2.010,149.42,"0b","FSR Vol 4","",""
02/12/1954 00:00,2.270,173.75,"0b","FSR Vol 4","",""
04/12/1954 00:00,2.220,169.01,"0b","FSR Vol 4","",""
14/12/1954 00:00,2.220,169.01,"0b","FSR Vol 4","",""
16/12/1954 00:00,1.710,122.43,"0b","FSR Vol 4","",""
18/12/1954 00:00,1.730,124.19,"0b","FSR Vol 4","",""
29/01/1955 00:00,1.990,147.59,"0b","FSR Vol 4","",""
14/12/1955 00:00,2.700,215.71,"0b","FSR Vol 4","",""
24/12/1955 00:00,1.790,129.51,"0b","FSR Vol 4","",""
25/12/1955 00:00,1.740,125.08,"0b","FSR Vol 4","",""
28/12/1955 00:00,2.680,213.71,"0b","FSR Vol 4","",""
29/01/1956 00:00,1.820,132.19,"0b","FSR Vol 4","",""
13/08/1956 00:00,2.440,190.09,"0b","FSR Vol 4","",""
28/09/1956 00:00,1.920,141.20,"0b","FSR Vol 4","",""
14/12/1956 00:00,2.450,197.59,"1a","FSR Vol 4","",""
15/12/1956 00:00,2.310,183.00,"1a","FSR Vol 4","",""
31/12/1956 00:00,1.740,126.91,"1a","FSR Vol 4","",""
04/01/1957 00:00,2.460,198.64,"1a","FSR Vol 4","",""
20/01/1957 00:00,2.030,154.75,"1a","FSR Vol 4","",""
23/01/1957 00:00,2.010,152.79,"1a","FSR Vol 4","",""
26/01/1957 00:00,2.100,161.69,"1a","FSR Vol 4","",""
28/01/1957 00:00,1.840,136.34,"1a","FSR Vol 4","",""
31/01/1957 00:00,2.030,154.75,"1a","FSR Vol 4","",""
03/02/1957 00:00,2.010,152.79,"1a","FSR Vol 4","",""
07/02/1957 00:00,2.020,153.77,"1a","FSR Vol 4","",""
08/03/1957 00:00,1.760,128.78,"1a","FSR Vol 4","",""
07/12/1957 00:00,1.790,131.60,"1a","FSR Vol 4","",""
12/12/1957 00:00,2.330,185.06,"1a","FSR Vol 4","",""
20/12/1957 00:00,2.470,199.70,"1a","FSR Vol 4","",""
22/12/1957 00:00,1.890,141.12,"1a","FSR Vol 4","",""
10/01/1958 00:00,1.940,145.95,"1a","FSR Vol 4","",""
28/01/1958 00:00,2.240,175.82,"1a","FSR Vol 4","",""
26/06/1958 00:00,1.820,134.44,"1a","FSR Vol 4","",""
28/07/1958 00:00,2.330,185.06,"1a","FSR Vol 4","",""
15/08/1958 00:00,1.880,140.16,"1a","FSR Vol 4","",""
06/09/1958 00:00,2.330,185.06,"1a","FSR Vol 4","",""
29/09/1958 00:00,1.840,136.34,"1a","FSR Vol 4","",""
04/10/1958 00:00,1.880,140.16,"1a","FSR Vol 4","",""
01/01/1959 00:00,1.920,144.02,"1a","FSR Vol 4","",""
22/11/1959 00:00,1.850,137.29,"1a","FSR Vol 4","",""
13/12/1959 00:00,1.920,144.02,"1a","FSR Vol 4","",""
17/12/1959 00:00,2.060,157.72,"1a","FSR Vol 4","",""
31/12/1959 00:00,1.720,125.04,"1a","FSR Vol 4","",""
