"NAME:","North Esk at Dalmore Weir"
"NUMBER:","19004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/08/1961 00:00,0.610,19.49,"1a","CEH POT","",""
10/12/1961 00:00,0.560,17.19,"1a","CEH POT","",""
11/02/1962 00:00,0.550,16.74,"1a","Dundee Univ.","",""
03/04/1962 00:00,0.380,9.72,"1a","Dundee Univ.","",""
03/08/1962 00:00,0.420,11.26,"1a","Dundee Univ.","",""
11/08/1962 00:00,0.390,10.10,"1a","Dundee Univ.","",""
26/08/1962 00:00,0.390,10.10,"1a","Dundee Univ.","",""
09/09/1962 00:00,0.510,14.98,"1a","Dundee Univ.","",""
11/09/1962 00:00,0.650,21.40,"1a","Dundee Univ.","",""
23/11/1962 00:00,0.490,14.12,"1a","Dundee Univ.","",""
05/03/1963 00:00,0.630,20.44,"1a","Dundee Univ.","",""
17/08/1963 00:00,0.600,19.02,"1a","Dundee Univ.","",""
01/09/1963 00:00,0.520,15.41,"1a","Dundee Univ.","",""
10/11/1963 00:00,0.410,10.87,"1a","Dundee Univ.","",""
12/11/1963 00:00,0.400,10.48,"1a","Dundee Univ.","",""
18/11/1963 00:00,0.550,16.74,"1a","Dundee Univ.","",""
21/11/1963 00:00,0.510,14.98,"1a","Dundee Univ.","",""
23/11/1963 00:00,0.610,19.49,"1a","Dundee Univ.","",""
07/10/1964 00:00,0.560,17.19,"1a","Dundee Univ.","",""
11/10/1964 00:00,0.420,11.26,"1a","Dundee Univ.","",""
07/12/1964 00:00,0.380,9.72,"1a","Dundee Univ.","",""
10/01/1965 00:00,0.510,14.98,"1a","Dundee Univ.","",""
26/03/1965 00:00,0.730,25.38,"1a","Dundee Univ.","",""
29/07/1965 00:00,0.640,20.91,"1a","Dundee Univ.","",""
18/09/1965 00:00,0.530,15.85,"1a","Dundee Univ.","",""
26/09/1965 00:00,0.560,17.19,"1a","Dundee Univ.","",""
31/10/1965 00:00,0.590,18.56,"1a","Dundee Univ.","",""
09/12/1965 00:00,0.500,14.55,"1a","Dundee Univ.","",""
05/02/1966 00:00,0.510,14.98,"1a","Dundee Univ.","",""
16/06/1966 00:00,0.420,11.26,"1a","Dundee Univ.","",""
21/06/1966 00:00,0.510,14.98,"1a","Dundee Univ.","",""
23/06/1966 00:00,0.390,10.10,"1a","Dundee Univ.","",""
04/08/1966 00:00,0.430,11.66,"1a","Dundee Univ.","",""
13/08/1966 00:00,0.920,35.65,"1a","Dundee Univ.","",""
03/10/1966 00:00,0.460,12.87,"1a","Dundee Univ.","",""
19/12/1966 00:00,0.480,13.70,"1a","Dundee Univ.","",""
25/02/1967 00:00,0.450,12.46,"1a","Dundee Univ.","",""
01/03/1967 00:00,0.440,12.06,"1a","Dundee Univ.","",""
15/05/1967 00:00,0.410,10.87,"1a","Dundee Univ.","",""
15/08/1967 00:00,0.420,11.26,"1a","Dundee Univ.","",""
09/10/1967 00:00,0.530,15.85,"1a","Dundee Univ.","",""
01/11/1967 00:00,0.480,13.70,"1a","Dundee Univ.","",""
16/01/1968 00:00,0.420,11.26,"1a","Dundee Univ.","",""
01/04/1968 00:00,0.550,16.74,"1a","Dundee Univ.","",""
03/05/1968 00:00,0.390,10.10,"1a","Dundee Univ.","",""
05/05/1968 00:00,0.640,20.91,"1a","Dundee Univ.","",""
