"NAME:","Almond at Almondell"
"NUMBER:","19005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/02/1962 00:00,2.040,84.30,"3c","CEH POT","",""
10/03/1962 00:00,0.960,14.67,"3c","CEH POT","",""
03/04/1962 00:00,1.510,41.95,"3c","CEH POT","",""
17/05/1962 00:00,0.430,2.10,"3a","CEH POT","",""
21/06/1962 00:00,0.410,1.89,"3a","CEH POT","",""
25/07/1962 00:00,1.020,16.88,"3c","CEH POT","",""
26/08/1962 00:00,1.800,63.05,"3c","CEH POT","",""
09/09/1962 00:00,2.300,111.35,"3c","CEH POT","",""
30/10/1962 00:00,1.150,22.30,"3c","CEH POT","",""
23/11/1962 00:00,1.650,51.53,"3c","CEH POT","",""
08/12/1962 00:00,1.850,67.19,"3c","CEH POT","",""
04/01/1963 00:00,0.670,5.84,"3b","CEH POT","",""
03/02/1963 00:00,0.470,2.53,"3a","CEH POT","",""
05/03/1963 00:00,2.100,90.16,"3c","CEH POT","",""
17/04/1963 00:00,1.110,20.54,"3c","CEH POT","",""
20/05/1963 00:00,1.040,17.66,"3c","CEH POT","",""
27/06/1963 00:00,1.340,31.80,"3c","CEH POT","",""
02/07/1963 00:00,0.880,11.99,"3c","CEH POT","",""
16/08/1963 00:00,1.500,41.31,"3c","CEH POT","",""
01/09/1963 00:00,1.830,65.52,"3c","CEH POT","",""
21/10/1963 00:00,1.510,41.95,"3c","CEH POT","",""
21/11/1963 00:00,1.980,78.66,"3c","CEH POT","",""
30/12/1963 00:00,1.170,23.21,"3c","CEH POT","",""
31/01/1964 00:00,1.280,28.59,"3c","CEH POT","",""
01/02/1964 00:00,1.100,20.11,"3c","CEH POT","",""
24/03/1964 00:00,1.280,28.59,"3c","CEH POT","",""
21/04/1964 00:00,1.450,38.18,"3c","CEH POT","",""
07/05/1964 00:00,1.370,33.47,"3c","CEH POT","",""
09/06/1964 00:00,1.100,20.11,"3c","CEH POT","",""
07/07/1964 00:00,0.320,1.12,"3a","CEH POT","",""
17/08/1964 00:00,0.930,13.63,"3c","CEH POT","",""
15/09/1964 00:00,1.250,27.06,"3c","CEH POT","",""
06/10/1964 00:00,1.520,42.59,"3c","CEH POT","",""
14/11/1964 00:00,1.440,37.57,"3c","CEH POT","",""
07/12/1964 00:00,1.660,52.25,"3c","CEH POT","",""
10/01/1965 00:00,2.060,86.23,"3c","CEH POT","",""
12/02/1965 00:00,1.000,16.12,"3c","CEH POT","",""
26/03/1965 00:00,1.760,59.85,"3c","CEH POT","",""
16/04/1965 00:00,1.300,29.64,"3c","CEH POT","",""
18/05/1965 00:00,0.940,13.97,"3c","CEH POT","",""
16/06/1965 00:00,1.010,16.50,"3c","CEH POT","",""
29/07/1965 00:00,1.850,67.19,"3c","CEH POT","",""
04/08/1965 00:00,1.190,24.14,"3c","CEH POT","",""
26/09/1965 00:00,2.150,95.22,"3c","CEH POT","",""
31/10/1965 00:00,1.940,75.02,"3c","CEH POT","",""
01/11/1965 00:00,1.760,59.85,"3c","CEH POT","",""
09/12/1965 00:00,1.940,75.02,"3c","CEH POT","",""
01/01/1966 00:00,1.270,28.07,"3c","CEH POT","",""
05/02/1966 00:00,1.730,57.51,"3c","CEH POT","",""
27/03/1966 00:00,1.270,28.07,"3c","CEH POT","",""
22/04/1966 00:00,1.460,38.80,"3c","CEH POT","",""
21/05/1966 00:00,0.870,11.67,"3c","CEH POT","",""
30/07/1966 00:00,0.240,0.61,"3a","CEH POT","",""
13/08/1966 00:00,2.240,104.72,"3c","CEH POT","",""
04/09/1966 00:00,1.470,39.41,"3c","CEH POT","",""
05/10/1966 00:00,1.860,68.04,"3c","CEH POT","",""
15/11/1966 00:00,1.440,37.57,"3c","CEH POT","",""
19/12/1966 00:00,1.830,65.52,"3c","CEH POT","",""
18/01/1967 00:00,1.100,20.11,"3c","CEH POT","",""
25/02/1967 00:00,1.420,36.37,"3c","CEH POT","",""
