"NAME:","Water of Leith at Murrayfield"
"NUMBER:","19006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/06/1962 00:00,0.420,0.50,"12a","Chart","",""
25/07/1962 00:00,0.690,3.16,"12a","Chart","",""
26/08/1962 00:00,0.800,4.76,"12a","Chart","",""
11/09/1962 00:00,2.020,38.56,"12a","Chart","",""
30/10/1962 00:00,0.690,3.16,"12a","Chart","",""
23/11/1962 00:00,1.340,16.34,"12a","Chart","",""
08/12/1962 00:00,1.080,10.04,"12a","Chart","",""
05/03/1963 00:00,1.650,25.48,"12a","Dundee Univ.","",""
16/08/1963 00:00,1.580,23.27,"12a","Dundee Univ.","",""
01/09/1963 00:00,2.010,38.18,"12a","Dundee Univ.","",""
10/11/1963 00:00,1.490,20.55,"12a","Dundee Univ.","",""
18/11/1963 00:00,1.510,21.14,"12a","Dundee Univ.","",""
21/11/1963 00:00,1.700,27.11,"12a","Dundee Univ.","",""
23/11/1963 00:00,1.540,22.04,"12a","Dundee Univ.","",""
10/01/1965 00:00,1.470,19.96,"12a","Dundee Univ.","",""
26/03/1965 00:00,1.540,22.04,"12a","Dundee Univ.","",""
29/07/1965 00:00,1.660,25.80,"12a","Dundee Univ.","",""
18/09/1965 00:00,1.280,14.77,"12a","Dundee Univ.","",""
26/09/1965 00:00,1.750,28.79,"12a","Dundee Univ.","",""
01/10/1965 00:00,1.400,17.97,"12a","Dundee Univ.","",""
01/11/1965 00:00,1.490,20.55,"12a","Dundee Univ.","",""
19/11/1965 00:00,1.320,15.81,"12a","Dundee Univ.","",""
09/12/1965 00:00,1.340,16.34,"12a","Dundee Univ.","",""
05/02/1966 00:00,1.280,14.77,"12a","Dundee Univ.","",""
16/06/1966 00:00,1.150,11.61,"12a","Dundee Univ.","",""
21/06/1966 00:00,1.440,19.10,"12a","Dundee Univ.","",""
23/06/1966 00:00,1.530,21.74,"12a","Dundee Univ.","",""
04/08/1966 00:00,1.180,12.31,"12a","Dundee Univ.","",""
13/08/1966 00:00,2.370,52.98,"12a","Dundee Univ.","",""
19/12/1966 00:00,1.280,14.77,"12a","Dundee Univ.","",""
25/02/1967 00:00,1.170,12.07,"12a","Dundee Univ.","",""
01/03/1967 00:00,1.160,11.84,"12a","Dundee Univ.","",""
09/10/1967 00:00,1.170,12.07,"12a","Dundee Univ.","",""
01/11/1967 00:00,1.510,21.14,"12a","Dundee Univ.","",""
22/12/1967 00:00,1.630,24.84,"12a","Dundee Univ.","",""
16/01/1968 00:00,1.150,11.61,"12a","Dundee Univ.","",""
01/04/1968 00:00,1.140,11.38,"12a","Dundee Univ.","",""
05/05/1968 00:00,1.740,28.45,"12a","Dundee Univ.","",""
15/07/1968 00:00,1.320,15.81,"12a","Dundee Univ.","",""
12/09/1968 00:00,1.330,16.07,"12a","Dundee Univ.","",""
31/10/1968 00:00,1.700,27.11,"12a","Dundee Univ.","",""
22/11/1969 00:00,1.950,35.91,"12a","Dundee Univ.","",""
01/12/1970 00:00,1.570,22.96,"12a","Dundee Univ.","",""
03/12/1970 00:00,1.220,13.27,"12a","Dundee Univ.","",""
19/03/1971 00:00,1.320,15.81,"12a","Dundee Univ.","",""
24/03/1971 00:00,1.340,16.34,"12a","Dundee Univ.","",""
06/08/1971 00:00,1.130,11.15,"12a","Dundee Univ.","",""
13/08/1971 00:00,1.170,12.07,"12a","Dundee Univ.","",""
17/02/1972 00:00,1.240,13.76,"12a","Dundee Univ.","",""
07/04/1972 00:00,1.100,10.48,"12a","Dundee Univ.","",""
12/12/1972 00:00,1.400,17.97,"12a","Dundee Univ.","",""
17/03/1974 00:00,1.290,15.03,"12a","Dundee Univ.","",""
11/11/1974 00:00,1.080,10.04,"12a","Dundee Univ.","",""
17/12/1974 00:00,1.370,17.15,"12a","Dundee Univ.","",""
26/12/1974 00:00,1.180,12.31,"12a","Dundee Univ.","",""
22/01/1975 00:00,1.260,14.26,"12a","Dundee Univ.","",""
25/01/1975 00:00,1.460,19.67,"12a","Dundee Univ.","",""
30/01/1975 00:00,1.290,15.03,"12a","Dundee Univ.","",""
18/09/1975 00:00,1.120,10.92,"12a","Dundee Univ.","",""
04/04/1976 00:00,1.180,12.31,"12a","Dundee Univ.","",""
13/10/1976 00:00,1.350,16.61,"12a","Dundee Univ.","",""
15/10/1976 00:00,1.340,16.34,"12a","Dundee Univ.","",""
21/12/1976 00:00,1.100,10.48,"12a","Dundee Univ.","",""
21/01/1977 00:00,1.120,10.92,"12a","Dundee Univ.","",""
26/01/1977 00:00,1.530,21.74,"12a","Dundee Univ.","",""
03/02/1977 00:00,1.180,12.31,"12a","Dundee Univ.","",""
10/02/1977 00:00,1.400,17.97,"12a","Dundee Univ.","",""
11/02/1977 00:00,1.300,15.29,"12a","Dundee Univ.","",""
22/02/1977 00:00,1.160,11.84,"12a","Dundee Univ.","",""
23/02/1977 00:00,1.080,10.04,"12a","Dundee Univ.","",""
13/06/1977 00:00,1.280,14.77,"12a","Dundee Univ.","",""
07/10/1977 00:00,1.220,13.27,"12a","Dundee Univ.","",""
31/10/1977 00:00,1.980,37.04,"12a","Dundee Univ.","",""
10/11/1977 00:00,1.230,13.52,"12a","Dundee Univ.","",""
12/12/1977 00:00,1.150,11.61,"12a","Dundee Univ.","",""
23/02/1978 00:00,1.390,17.70,"12a","Dundee Univ.","",""
13/11/1978 00:00,1.510,21.14,"12a","Dundee Univ.","",""
07/01/1979 00:00,1.230,13.52,"12a","Dundee Univ.","",""
15/01/1979 00:00,1.210,13.03,"12a","Dundee Univ.","",""
25/03/1979 00:00,1.240,13.76,"12a","Dundee Univ.","",""
07/04/1979 00:00,1.120,10.92,"12a","Dundee Univ.","",""
14/10/1979 00:00,1.220,13.27,"12a","Dundee Univ.","",""
17/11/1979 00:00,1.120,10.92,"12a","Dundee Univ.","",""
26/11/1979 00:00,1.210,13.03,"12a","Dundee Univ.","",""
04/12/1979 00:00,1.180,12.31,"12a","Dundee Univ.","",""
08/12/1979 00:00,1.240,13.76,"12a","Dundee Univ.","",""
27/12/1979 00:00,1.130,11.15,"12a","Dundee Univ.","",""
27/03/1980 00:00,1.470,19.96,"12a","Dundee Univ.","",""
20/11/1980 00:00,1.140,11.38,"12a","Dundee Univ.","",""
25/11/1980 00:00,1.910,34.44,"12a","Dundee Univ.","",""
14/12/1980 00:00,1.200,12.79,"12a","Dundee Univ.","",""
02/02/1981 00:00,1.160,11.84,"12a","Dundee Univ.","",""
07/03/1981 00:00,1.210,13.03,"12a","Dundee Univ.","",""
26/09/1981 00:00,1.120,10.92,"12a","Dundee Univ.","",""
01/10/1981 09:00,2.060,40.11,"12a","Dundee Univ.","",""
03/01/1982 00:00,2.050,39.72,"12a","Dundee Univ.","",""
16/01/1982 00:00,1.120,10.92,"12a","Dundee Univ.","",""
12/03/1982 00:00,1.210,13.03,"12a","Dundee Univ.","",""
13/10/1982 00:00,1.260,14.26,"12a","Dundee Univ.","",""
01/11/1982 00:00,1.090,10.26,"12a","Dundee Univ.","",""
19/11/1982 00:00,1.350,16.61,"12a","Dundee Univ.","",""
21/11/1982 00:00,1.110,10.70,"12a","Dundee Univ.","",""
23/11/1982 00:00,1.990,37.42,"12a","Dundee Univ.","",""
19/12/1982 00:00,2.030,38.95,"12a","Dundee Univ.","",""
05/01/1983 00:00,1.280,14.77,"12a","Dundee Univ.","",""
02/05/1983 00:00,1.230,13.52,"12a","Dundee Univ.","",""
28/05/1983 00:00,1.570,22.96,"12a","Dundee Univ.","",""
01/06/1983 00:00,1.500,20.84,"12a","Dundee Univ.","",""
24/12/1983 00:00,1.090,10.26,"12a","Dundee Univ.","",""
31/12/1983 00:00,1.090,10.26,"12a","Dundee Univ.","",""
02/01/1984 00:00,1.130,11.15,"12a","Dundee Univ.","",""
12/01/1984 00:00,2.360,52.54,"12a","Dundee Univ.","",""
04/02/1984 00:00,1.595,23.74,"12a","Dundee Univ.","",""
24/03/1984 00:00,1.074,9.91,"12a","Dundee Univ.","",""
26/03/1984 00:00,1.370,17.15,"12a","Dundee Univ.","",""
30/10/1984 00:00,1.079,10.02,"12a","Dundee Univ.","",""
03/11/1984 00:00,2.503,58.96,"12a","Dundee Univ.","",""
27/11/1984 00:00,1.660,25.80,"12a","Dundee Univ.","",""
31/03/1985 00:00,1.191,12.57,"12a","Dundee Univ.","",""
06/04/1985 00:00,1.437,19.01,"12a","Dundee Univ.","",""
26/07/1985 00:00,1.607,24.11,"12a","Dundee Univ.","",""
