"NAME:","South Esk at Prestonholm"
"NUMBER:","19008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
24/11/1963 00:00,1.580,28.47,"","CEH POT","theoretical rating, flow from CEH POT",""
11/10/1964 00:00,0.910,10.57,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
26/03/1965 00:00,1.520,26.43,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
29/07/1965 00:00,1.480,25.21,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
18/09/1965 00:00,1.550,27.49,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
26/09/1965 00:00,1.660,31.17,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/10/1965 00:00,1.140,15.75,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/11/1965 00:00,1.310,20.23,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
09/12/1965 00:00,1.240,18.33,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
05/02/1966 00:00,0.960,11.60,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
04/08/1966 00:00,1.170,16.67,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
13/08/1966 00:00,2.170,65.05,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
03/10/1966 00:00,0.970,11.86,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/11/1966 00:00,0.890,10.33,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
06/11/1966 00:00,1.100,14.86,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
19/12/1966 00:00,1.230,18.17,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
25/02/1967 00:00,1.260,19.06,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
27/02/1967 00:00,0.880,10.02,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/03/1967 00:00,1.180,16.82,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
14/05/1967 00:00,0.880,10.02,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
16/05/1967 00:00,1.270,19.14,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
28/05/1967 00:00,1.030,13.29,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
02/11/1967 00:00,1.070,14.28,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/04/1968 00:00,1.220,18.01,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
03/05/1968 00:00,0.910,10.64,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
05/05/1968 00:00,1.460,24.74,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
15/07/1968 00:00,1.400,22.92,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
12/09/1968 00:00,0.910,10.70,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
01/11/1968 00:00,1.380,22.30,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
20/12/1968 00:00,0.950,11.54,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
22/01/1969 00:00,0.870,9.83,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
22/11/1969 00:00,1.010,12.69,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
21/02/1970 00:00,0.860,9.54,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
20/08/1970 00:00,1.080,14.31,"","Dundee Univ.","theoretical rating, flow from CEH POT",""
31/10/1970 00:00,1.220,17.80,"3a","Dundee Univ.","",""
19/03/1971 00:00,1.010,12.69,"3a","Dundee Univ.","",""
20/03/1971 00:00,1.140,15.76,"3a","Dundee Univ.","",""
24/03/1971 00:00,1.600,29.00,"3a","Dundee Univ.","",""
16/02/1972 00:00,0.800,8.39,"3a","Chart","","AMAX ONLY"
18/02/1973 00:00,0.370,2.21,"3a","Chart","","AMAX ONLY"
12/01/1974 00:00,0.580,4.77,"3a","Chart","","AMAX ONLY"
17/12/1974 00:00,0.950,11.38,"3a","Dundee Univ.","",""
25/01/1975 00:00,1.220,17.80,"3a","Dundee Univ.","",""
27/01/1975 00:00,1.090,14.55,"3a","Dundee Univ.","",""
30/01/1975 00:00,1.000,12.47,"3a","Dundee Univ.","",""
18/09/1975 00:00,1.080,14.31,"3a","Dundee Univ.","",""
03/04/1976 00:00,0.750,7.49,"3a","Chart","","AMAX ONLY"
15/10/1976 00:00,0.980,12.03,"3a","Dundee Univ.","",""
26/01/1977 00:00,1.200,17.28,"3a","Dundee Univ.","",""
13/06/1977 00:00,1.110,15.03,"3a","Dundee Univ.","",""
28/01/1978 00:00,0.930,10.96,"3a","Chart","","AMAX ONLY"
24/02/1978 00:00,0.810,8.58,"3a","Chart","",""
08/12/1978 00:00,1.160,16.26,"3a","Dundee Univ.","",""
07/01/1979 00:00,1.120,15.27,"3a","Dundee Univ.","",""
15/01/1979 00:00,1.000,12.47,"3a","Dundee Univ.","",""
25/03/1979 00:00,1.260,18.86,"3a","Dundee Univ.","",""
