"NAME:","Tyne at East Linton"
"NUMBER:","20001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/12/1959 00:00,1.410,20.32,"8b","Dundee Univ.","",""
22/01/1960 00:00,1.450,21.73,"8b","Dundee Univ.","",""
31/01/1960 00:00,1.580,26.65,"8b","Dundee Univ.","",""
25/02/1960 00:00,1.490,23.20,"8b","Dundee Univ.","",""
01/11/1960 00:00,1.530,24.70,"8b","Dundee Univ.","",""
25/12/1960 00:00,1.570,26.26,"8b","Dundee Univ.","",""
05/12/1961 00:00,1.410,20.32,"8b","Dundee Univ.","",""
11/12/1961 00:00,1.510,23.94,"8b","Dundee Univ.","",""
05/01/1962 00:00,1.620,28.26,"8b","Dundee Univ.","",""
08/01/1962 00:00,1.670,30.34,"8b","Dundee Univ.","",""
12/09/1962 00:00,1.850,38.40,"8b","Dundee Univ.","",""
17/11/1962 00:00,2.020,46.84,"8b","Dundee Univ.","",""
23/11/1962 00:00,1.520,24.32,"8b","Dundee Univ.","",""
05/03/1963 00:00,2.130,52.73,"8b","Dundee Univ.","",""
07/03/1963 00:00,1.660,29.92,"8b","Dundee Univ.","",""
09/03/1963 00:00,1.470,22.46,"8b","Dundee Univ.","",""
17/08/1963 00:00,2.280,61.31,"8b","Dundee Univ.","",""
01/09/1963 00:00,2.510,75.65,"8b","Dundee Univ.","",""
10/11/1963 00:00,1.540,25.09,"8b","Dundee Univ.","",""
12/11/1963 00:00,1.460,22.10,"8b","Dundee Univ.","",""
18/11/1963 00:00,1.670,30.34,"8b","Dundee Univ.","",""
19/11/1963 00:00,1.570,26.26,"8b","Dundee Univ.","",""
21/11/1963 00:00,1.950,43.27,"8b","Dundee Univ.","",""
23/11/1963 00:00,2.290,61.90,"8b","Dundee Univ.","",""
28/11/1963 00:00,1.610,27.86,"8b","Dundee Univ.","",""
14/03/1964 00:00,2.020,46.84,"8b","Dundee Univ.","",""
11/10/1964 00:00,1.790,35.61,"8b","Dundee Univ.","",""
29/07/1965 00:00,1.940,42.77,"8b","Dundee Univ.","",""
04/09/1965 00:00,1.520,24.32,"8b","Dundee Univ.","",""
18/09/1965 00:00,2.320,63.70,"8b","Dundee Univ.","",""
26/09/1965 00:00,1.460,22.10,"8b","Dundee Univ.","",""
01/10/1965 00:00,1.690,31.19,"8b","Dundee Univ.","",""
19/11/1965 00:00,1.560,25.86,"8b","Dundee Univ.","",""
04/08/1966 00:00,3.040,114.19,"8b","Dundee Univ.","",""
14/08/1966 00:00,2.830,98.01,"8b","Dundee Univ.","",""
03/10/1966 00:00,1.710,32.05,"8b","Dundee Univ.","",""
02/11/1966 00:00,1.600,27.45,"8b","Dundee Univ.","",""
06/11/1966 00:00,2.330,64.30,"8b","Dundee Univ.","",""
19/12/1966 00:00,1.810,36.53,"8b","Dundee Univ.","",""
25/02/1967 00:00,1.490,23.20,"8b","Dundee Univ.","",""
14/05/1967 00:00,1.450,21.73,"8b","Dundee Univ.","",""
16/05/1967 00:00,2.370,66.75,"8b","Dundee Univ.","",""
02/11/1967 00:00,2.190,56.09,"8b","Dundee Univ.","",""
01/04/1968 00:00,1.450,21.73,"8b","Dundee Univ.","",""
19/04/1968 00:00,1.690,31.19,"8b","Dundee Univ.","",""
05/05/1968 00:00,2.200,56.66,"8b","Dundee Univ.","",""
10/05/1968 00:00,1.490,23.20,"8b","Dundee Univ.","",""
16/07/1968 00:00,2.420,69.87,"8b","Dundee Univ.","",""
31/10/1968 00:00,2.110,51.64,"8b","Dundee Univ.","",""
20/12/1968 00:00,1.470,22.46,"8b","Dundee Univ.","",""
20/01/1969 00:00,1.490,23.20,"8b","Dundee Univ.","",""
22/01/1969 00:00,1.630,28.67,"8b","Dundee Univ.","",""
23/02/1969 00:00,1.570,26.26,"8b","Dundee Univ.","",""
22/11/1969 00:00,2.030,47.36,"8b","Dundee Univ.","",""
20/08/1970 00:00,1.750,33.81,"8b","Dundee Univ.","",""
02/12/1970 00:00,1.660,29.92,"8b","Dundee Univ.","",""
19/03/1971 00:00,2.410,69.24,"8b","Dundee Univ.","",""
03/02/1972 00:00,1.620,28.26,"8b","Dundee Univ.","",""
17/02/1972 00:00,1.610,27.86,"8b","Dundee Univ.","",""
23/01/1973 00:00,0.870,5.75,"8b","Chart","","AMAX ONLY"
17/03/1974 00:00,1.192,13.41,"8b","Chart","","AMAX ONLY"
22/11/1974 00:00,1.750,33.81,"8b","Dundee Univ.","",""
25/01/1975 00:00,1.840,37.93,"8b","Dundee Univ.","",""
27/01/1975 00:00,2.000,45.81,"8b","Dundee Univ.","",""
10/05/1975 00:00,1.650,29.50,"8b","Dundee Univ.","",""
12/09/1975 00:00,1.500,23.57,"8b","Dundee Univ.","",""
18/09/1975 00:00,2.300,62.50,"8b","Dundee Univ.","",""
27/09/1975 00:00,1.780,35.16,"8b","Dundee Univ.","",""
02/04/1976 00:00,1.250,15.11,"8b","Chart","","AMAX ONLY"
15/10/1976 00:00,2.340,64.91,"8b","Dundee Univ.","",""
25/10/1976 00:00,1.730,32.92,"8b","Dundee Univ.","",""
14/01/1977 00:00,1.870,39.35,"8b","Dundee Univ.","",""
21/01/1977 00:00,1.560,25.86,"8b","Dundee Univ.","",""
26/01/1977 00:00,2.230,58.38,"8b","Dundee Univ.","",""
11/02/1977 00:00,1.830,37.46,"8b","Dundee Univ.","",""
13/06/1977 00:00,1.780,35.16,"8b","Dundee Univ.","",""
28/01/1978 00:00,1.540,25.09,"8b","Dundee Univ.","",""
23/02/1978 00:00,1.820,36.99,"8b","Dundee Univ.","",""
07/12/1978 00:00,1.950,43.27,"8b","Dundee Univ.","",""
27/12/1978 00:00,2.070,49.48,"8b","Dundee Univ.","",""
07/01/1979 00:00,2.000,45.81,"8b","Dundee Univ.","",""
