"NAME:","Camowen at Camowen Terrace"
"NUMBER:","201005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/01/1973 00:00,1.820,69.04,"1b","Digital Archive","",""
19/02/1973 00:00,1.830,70.15,"1b","Digital Archive","",""
04/11/1973 00:00,1.880,75.79,"1b","Digital Archive","",""
20/12/1973 00:00,2.120,105.22,"1b","Digital Archive","",""
08/01/1974 00:00,1.950,83.98,"1b","Digital Archive","",""
14/02/1974 00:00,2.040,94.99,"1b","Digital Archive","",""
17/02/1974 00:00,1.750,61.49,"1b","Digital Archive","",""
07/09/1974 00:00,1.860,73.52,"1b","Digital Archive","",""
22/01/1975 10:45,1.777,64.36,"1b","Digital Archive","",""
02/01/1976 18:45,1.876,75.34,"1b","Digital Archive","",""
29/01/1976 01:15,1.943,83.15,"1b","Digital Archive","",""
17/10/1976 20:45,1.710,57.33,"1b","Digital Archive","",""
11/02/1977 15:00,1.750,61.49,"1b","Digital Archive","",""
17/02/1977 21:30,1.879,75.68,"1b","Digital Archive","",""
28/01/1978 03:15,2.042,95.24,"1b","Digital Archive","",""
28/09/1978 16:30,1.988,88.56,"1b","Digital Archive","",""
02/12/1978 12:15,2.330,134.02,"1b","Digital Archive","",""
08/12/1978 20:00,1.970,86.38,"1b","Digital Archive","",""
11/12/1978 01:30,1.794,66.20,"1b","Digital Archive","",""
27/12/1978 21:15,1.925,81.02,"1b","Digital Archive","",""
14/01/1979 22:45,1.902,78.37,"1b","Digital Archive","",""
02/09/1979 00:45,1.827,69.77,"1b","Digital Archive","",""
25/10/1979 11:15,1.923,80.84,"1b","Digital Archive","",""
03/11/1979 04:30,1.771,63.69,"1b","Digital Archive","",""
26/11/1979 09:45,2.062,97.72,"1b","Digital Archive","",""
04/02/1980 22:30,1.957,84.82,"1b","Digital Archive","",""
04/09/1980 23:00,1.765,63.08,"1b","Digital Archive","",""
22/10/1980 23:45,1.990,88.81,"1b","Digital Archive","",""
13/01/1981 22:15,1.696,55.90,"1b","Digital Archive","",""
03/02/1981 01:15,1.776,64.25,"1b","Digital Archive","",""
06/03/1981 01:30,1.733,59.71,"1b","Digital Archive","",""
20/12/1981 05:15,1.746,61.07,"1b","Digital Archive","",""
04/01/1982 04:00,1.874,75.11,"1b","Digital Archive","",""
23/11/1982 15:00,1.790,65.76,"1b","Digital Archive","",""
08/12/1982 09:45,1.765,63.08,"1b","Digital Archive","",""
19/12/1982 13:00,1.742,60.65,"1b","Digital Archive","",""
01/02/1983 02:00,1.842,71.49,"1b","Digital Archive","",""
13/01/1984 10:00,1.887,76.60,"1b","Digital Archive","",""
22/01/1984 08:30,1.831,70.26,"1b","Digital Archive","",""
29/01/1984 04:00,1.729,59.29,"1b","Digital Archive","",""
01/02/1984 21:30,1.828,69.93,"1b","Digital Archive","",""
06/02/1984 07:15,1.854,72.84,"1b","Digital Archive","",""
24/03/1984 11:00,1.983,87.96,"1b","Digital Archive","",""
