"NAME:","Roe at Ardnargle"
"NUMBER:","202001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/01/1975 12:30,4.274,103.95,"1b","Digital Archive","",""
02/01/1976 19:15,5.054,134.10,"1b","Digital Archive","",""
15/10/1976 01:15,4.876,126.93,"1b","Digital Archive","",""
21/01/1977 10:45,4.481,111.63,"1b","Digital Archive","",""
18/02/1977 12:15,4.730,121.18,"1b","Digital Archive","",""
28/01/1978 01:15,4.318,105.56,"1b","Digital Archive","",""
15/11/1978 10:00,4.340,106.37,"1b","Digital Archive","",""
02/12/1978 08:45,5.244,141.93,"1b","Digital Archive","",""
08/12/1978 01:30,4.850,125.90,"1b","Digital Archive","",""
11/12/1978 22:00,4.409,108.94,"1b","Digital Archive","",""
27/12/1978 23:15,5.957,172.95,"1b","Digital Archive","Data appears to be satisfactory",""
04/10/1979 13:00,5.558,155.27,"1b","Digital Archive","",""
25/10/1979 10:15,5.213,140.64,"1b","Digital Archive","",""
26/11/1979 08:15,5.221,140.97,"1b","Digital Archive","",""
22/01/1980 18:00,4.367,107.37,"1b","Digital Archive","",""
05/09/1980 03:15,4.448,110.39,"1b","Digital Archive","",""
23/10/1980 00:30,5.806,166.16,"1b","Digital Archive","",""
14/12/1980 13:30,4.596,116.00,"1b","Digital Archive","",""
24/12/1980 11:00,4.351,106.78,"1b","Digital Archive","",""
13/01/1981 21:30,4.852,125.98,"1b","Digital Archive","",""
03/02/1981 00:30,5.249,142.13,"1b","Digital Archive","",""
14/05/1981 08:00,5.330,145.53,"1b","Digital Archive","",""
22/07/1981 05:45,4.607,116.43,"1b","Digital Archive","",""
05/09/1981 05:00,4.843,125.63,"1b","Digital Archive","",""
15/09/1981 00:00,5.542,154.58,"1b","Digital Archive","",""
27/09/1981 07:15,5.352,146.46,"1b","Digital Archive","",""
04/10/1981 03:15,6.158,182.16,"1b","Digital Archive","",""
04/01/1982 01:15,5.340,145.95,"1b","Digital Archive","",""
12/03/1982 07:00,4.214,101.76,"1b","Digital Archive","",""
04/10/1982 04:15,4.390,108.23,"2b","Digital Archive","",""
19/12/1982 11:15,5.222,141.01,"2b","Digital Archive","",""
03/01/1983 03:15,4.284,104.32,"2b","Digital Archive","",""
