"NAME:","Main at Dromona"
"NUMBER:","203011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/08/1970 00:00,2.015,64.02,"3a","Vax","",""
25/10/1970 00:00,1.405,31.03,"3a","Vax","",""
31/10/1970 00:00,1.315,26.93,"3a","Vax","",""
28/11/1970 00:00,1.335,27.82,"3a","Vax","",""
25/04/1971 00:00,1.855,54.53,"3a","Vax","",""
14/08/1971 00:00,1.385,30.10,"3a","Vax","",""
05/11/1971 00:00,1.495,35.33,"3a","Vax","",""
21/11/1971 00:00,1.825,52.82,"3a","Vax","",""
10/01/1972 00:00,1.425,31.96,"3a","Vax","",""
19/01/1972 00:00,1.405,31.03,"3a","Vax","",""
03/02/1972 00:00,1.435,32.44,"3a","Vax","",""
01/04/1972 00:00,1.565,38.82,"3a","Vax","",""
08/04/1972 00:00,1.345,28.27,"3a","Vax","",""
09/05/1972 00:00,1.415,31.49,"3a","Vax","",""
11/05/1972 00:00,1.425,31.96,"3a","Vax","",""
27/06/1972 00:00,1.360,28.95,"3a","Vax","",""
23/07/1972 00:00,1.415,31.49,"3a","Vax","",""
08/08/1972 00:00,1.825,52.82,"3a","Vax","",""
13/11/1972 00:00,1.830,53.10,"3a","Vax","",""
11/12/1972 00:00,1.355,28.72,"3a","Vax","",""
20/01/1973 00:00,1.685,45.08,"3a","Vax","",""
20/02/1973 00:00,1.505,35.82,"3a","Vax","",""
29/11/1973 00:00,1.495,35.33,"3a","Vax","",""
07/12/1973 00:00,1.350,28.50,"3a","Vax","",""
20/12/1973 00:00,1.695,45.62,"3a","Vax","",""
08/01/1974 00:00,1.499,35.53,"3a","Vax","",""
10/01/1974 00:00,1.385,30.10,"3a","Vax","",""
07/09/1974 00:00,1.385,30.10,"3a","Vax","",""
17/09/1974 00:00,1.365,29.18,"3a","Vax","",""
25/11/1974 00:00,1.435,32.44,"3a","Vax","",""
30/12/1974 00:00,1.340,28.05,"3a","Vax","",""
25/01/1975 00:00,1.675,44.55,"3a","Vax","",""
03/01/1976 00:00,1.495,35.33,"3a","Vax","",""
12/01/1976 00:00,1.315,26.93,"3a","Vax","",""
15/10/1976 00:00,1.765,49.45,"3a","Vax","",""
23/10/1976 00:00,1.795,51.12,"3a","Vax","",""
28/01/1978 00:00,1.495,35.33,"3a","Vax","",""
02/02/1978 00:00,1.405,31.03,"3a","Vax","",""
30/09/1978 00:00,1.750,48.62,"3a","Vax","",""
12/12/1978 00:00,1.520,36.56,"3a","Vax","",""
28/12/1978 00:00,1.920,58.32,"3a","Vax","",""
15/01/1979 00:00,1.430,32.20,"3a","Vax","",""
06/08/1979 00:00,1.415,31.49,"3a","Vax","",""
04/10/1979 00:00,1.450,33.15,"3a","Vax","",""
15/11/1979 00:00,1.530,37.06,"3a","Vax","",""
26/11/1979 00:00,1.600,40.61,"3a","Vax","",""
27/12/1979 00:00,1.410,31.26,"3a","Vax","",""
