"NAME:","Claudy at Glenone Bridge"
"NUMBER:","203019"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
24/04/1971 00:00,1.900,36.48,"1b","Vax","",""
05/11/1971 00:00,1.730,28.43,"1b","Vax","",""
21/11/1971 00:00,2.120,47.70,"1b","Vax","No digital record available",""
01/04/1972 00:00,1.740,28.89,"1b","Vax","",""
09/08/1972 00:00,1.800,31.67,"1b","Vax","",""
20/01/1973 00:00,2.280,56.38,"1b","Vax","No digital record available",""
19/02/1973 00:00,1.710,27.52,"1b","Vax","",""
05/11/1973 00:00,1.780,30.74,"1b","Vax","",""
29/11/1973 00:00,1.850,34.05,"1b","Vax","",""
20/12/1973 00:00,1.920,37.46,"1b","Vax","",""
08/01/1974 00:00,1.700,27.07,"1b","Vax","",""
10/01/1974 00:00,1.750,29.35,"1b","Vax","",""
12/01/1974 00:00,1.830,33.10,"1b","Vax","",""
15/02/1974 00:00,1.890,35.99,"1b","Vax","",""
25/11/1974 00:00,1.770,30.27,"1b","Vax","",""
28/11/1974 00:00,1.730,28.43,"1b","Vax","",""
24/01/1975 00:00,1.825,32.86,"1b","Vax","",""
30/01/1975 00:00,1.710,27.52,"1b","Vax","",""
03/01/1976 00:00,1.910,36.97,"1b","Vax","",""
15/10/1976 00:00,1.880,35.50,"1b","Digital Archive","",""
23/10/1976 00:00,1.870,35.02,"1b","Digital Archive","",""
17/12/1976 00:00,1.720,27.97,"1b","Digital Archive","",""
20/12/1976 00:00,1.750,29.35,"1b","Digital Archive","",""
23/12/1976 00:00,1.720,27.97,"1b","Digital Archive","",""
04/01/1977 00:00,1.840,33.57,"1b","Digital Archive","",""
20/01/1977 00:00,1.860,34.53,"1b","Digital Archive","",""
21/01/1977 00:00,1.850,34.05,"1b","Digital Archive","",""
26/01/1977 00:00,1.840,33.57,"1b","Digital Archive","",""
10/02/1977 00:00,1.840,33.57,"1b","Digital Archive","",""
18/02/1977 00:00,1.900,36.48,"1b","Digital Archive","",""
15/11/1977 00:00,1.760,29.81,"1b","Digital Archive","",""
24/11/1977 00:00,1.700,27.07,"1b","Digital Archive","",""
27/12/1977 00:00,1.710,27.52,"1b","Digital Archive","",""
19/01/1978 00:00,1.725,28.20,"1b","Digital Archive","",""
20/01/1978 00:00,1.810,32.15,"1b","Digital Archive","",""
28/01/1978 00:00,1.940,38.45,"1b","Digital Archive","",""
02/02/1978 00:00,1.720,27.97,"1b","Digital Archive","",""
04/02/1978 00:00,1.840,33.57,"1b","Digital Archive","",""
23/02/1978 00:00,1.750,29.35,"1b","Digital Archive","",""
15/03/1978 00:00,1.725,28.20,"1b","Digital Archive","",""
15/11/1978 00:00,1.700,27.07,"1b","Digital Archive","",""
02/12/1978 00:00,1.960,39.45,"1b","Digital Archive","",""
08/12/1978 00:00,1.830,33.10,"1b","Digital Archive","",""
12/12/1978 00:00,1.810,32.15,"1b","Digital Archive","",""
27/12/1978 00:00,1.800,31.67,"1b","Digital Archive","",""
01/01/1979 00:00,1.850,34.05,"1b","Digital Archive","",""
15/01/1979 00:00,1.850,34.05,"1b","Digital Archive","",""
04/10/1979 00:00,1.700,27.07,"1b","Digital Archive","",""
25/10/1979 00:00,1.750,29.35,"1b","Digital Archive","",""
25/11/1979 00:00,1.700,27.07,"1b","Digital Archive","",""
23/10/1980 00:00,2.340,59.73,"1b","Digital Archive","Data appears to be satisfactory",""
23/10/1980 11:30,2.345,60.02,"1b","Digital Archive","","AMAX ONLY"
18/01/1981 00:00,1.805,31.91,"1b","Digital Archive","",""
27/09/1981 00:00,1.760,29.81,"1b","Digital Archive","",""
03/10/1981 00:00,1.980,40.46,"1b","Digital Archive","",""
