"NAME:","Blackwater at Derrymeen Bridge"
"NUMBER:","203022"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/10/1979 00:00,3.490,27.68,"2b","vax","",""
25/10/1979 00:00,3.560,28.74,"2b","Vax","",""
03/11/1979 00:00,3.420,26.63,"2b","Vax","",""
26/11/1979 00:00,3.860,33.42,"2b","Vax","",""
11/12/1979 00:00,3.400,26.33,"2b","Vax","",""
27/12/1979 00:00,3.520,28.13,"2b","Vax","",""
05/02/1980 00:00,3.700,30.90,"2b","Vax","",""
07/10/1980 00:00,3.340,25.44,"2b","Vax","",""
23/10/1980 00:00,3.840,33.10,"2b","Vax","",""
14/12/1980 00:00,3.620,29.66,"2b","Vax","",""
20/12/1980 00:00,3.460,27.23,"2b","Vax","",""
24/12/1980 00:00,3.300,24.86,"2b","Vax","",""
03/02/1981 00:00,3.560,28.74,"2b","Vax","",""
06/03/1981 00:00,3.425,26.70,"2b","Vax","",""
19/03/1981 00:00,3.580,29.05,"2b","Vax","",""
25/03/1981 00:00,3.350,25.59,"2b","Vax","",""
23/09/1981 00:00,3.480,27.53,"2b","Vax","",""
03/10/1981 00:00,3.420,26.63,"2b","Vax","",""
27/12/1981 00:00,3.745,31.60,"2b","Vax","",""
04/01/1982 00:00,3.770,31.99,"2b","Vax","",""
25/02/1982 00:00,3.410,26.48,"2b","Vax","",""
10/03/1982 00:00,3.400,26.33,"2b","Vax","",""
12/03/1982 00:00,3.625,29.74,"2b","Vax","",""
10/11/1982 00:00,3.640,29.97,"2b","Vax","",""
23/11/1982 00:00,3.760,31.84,"2b","Vax","",""
08/12/1982 00:00,3.680,30.59,"2b","Vax","",""
20/12/1982 00:00,3.655,30.20,"2b","Vax","",""
04/02/1983 00:00,3.430,26.78,"2b","Vax","",""
09/12/1983 00:00,3.695,30.82,"2b","Vax","",""
24/12/1983 00:00,3.640,29.97,"2b","Vax","",""
05/01/1984 00:00,3.300,24.86,"2b","Vax","",""
13/01/1984 00:00,3.780,32.15,"2b","Vax","",""
17/01/1984 00:00,3.720,31.21,"2b","Vax","",""
22/01/1984 00:00,3.660,30.28,"2b","Vax","",""
29/01/1984 00:00,3.590,29.20,"2b","Vax","",""
01/02/1984 00:00,3.435,26.85,"2b","Vax","",""
06/02/1984 00:00,3.720,31.21,"2b","Vax","",""
24/03/1984 00:00,3.690,30.74,"2b","Vax","",""
25/10/1984 00:00,3.610,29.51,"2b","Vax","",""
09/11/1984 00:00,3.470,27.38,"2b","Vax","",""
05/12/1984 00:00,3.420,26.63,"2b","Vax","",""
15/12/1984 00:00,3.610,29.51,"2b","Vax","",""
28/01/1985 00:00,3.775,32.07,"2b","Vax","",""
26/07/1985 00:00,3.660,30.28,"2b","Vax","",""
15/08/1985 00:00,3.760,31.84,"2b","Vax","",""
21/09/1985 00:00,3.815,32.71,"2b","Vax","",""
06/10/1985 00:00,3.455,27.15,"2b","Vax","",""
08/11/1985 00:00,3.320,25.15,"2b","Vax","",""
01/12/1985 00:00,3.330,25.30,"2b","Vax","",""
21/12/1985 00:00,3.760,31.84,"2b","Vax","",""
19/01/1986 00:00,3.525,28.21,"2b","Vax","",""
23/03/1986 00:00,3.460,27.23,"2b","Vax","",""
16/04/1986 00:00,3.775,32.07,"2b","Vax","",""
06/08/1986 00:00,3.925,34.46,"2b","Vax","",""
