"NAME:","Cusher at Gamble's Bridge"
"NUMBER:","203024"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/01/1973 00:15,2.620,32.94,"1b","Digital Archive","",""
20/12/1973 00:30,2.921,42.09,"1b","Digital Archive","",""
08/01/1974 17:00,2.702,35.36,"1b","Digital Archive","",""
30/01/1974 07:00,3.062,46.61,"1b","Digital Archive","",""
15/10/1976 02:15,2.715,35.74,"1b","Digital Archive","",""
17/10/1976 21:15,2.612,32.73,"1b","Digital Archive","",""
23/10/1976 16:30,2.692,35.08,"1b","Digital Archive","",""
17/12/1976 09:00,2.558,31.16,"1b","Digital Archive","",""
21/01/1977 12:30,2.687,34.92,"1b","Digital Archive","",""
11/02/1977 15:00,2.770,37.41,"1b","Digital Archive","",""
02/12/1978 10:15,2.922,42.12,"1b","Digital Archive","",""
08/12/1978 18:15,3.113,48.27,"1b","Digital Archive","",""
28/12/1978 00:45,3.178,50.43,"1b","Digital Archive","",""
04/10/1979 14:45,2.823,39.03,"1b","Digital Archive","",""
25/10/1979 10:30,2.814,38.76,"1b","Digital Archive","",""
14/11/1979 05:45,2.966,43.51,"1b","Digital Archive","",""
21/01/1980 12:15,2.951,43.03,"1b","Digital Archive","",""
04/02/1980 22:15,2.915,41.90,"1b","Digital Archive","",""
23/10/1980 00:15,3.421,58.75,"1b","Digital Archive","",""
20/11/1980 19:15,2.993,44.37,"1b","Digital Archive","",""
19/03/1981 18:30,2.921,42.08,"1b","Digital Archive","",""
16/05/1981 13:00,2.625,32.27,"1b","Digital Archive","",""
02/06/1981 16:30,2.711,35.08,"1b","Digital Archive","",""
09/06/1981 06:00,3.414,58.51,"1b","Digital Archive","",""
03/10/1981 05:45,3.628,66.16,"1b","Digital Archive","",""
23/11/1981 17:15,3.293,54.32,"1b","Digital Archive","",""
27/12/1981 10:15,2.564,30.34,"1b","Digital Archive","",""
04/01/1982 01:30,2.810,38.42,"1b","Digital Archive","",""
16/01/1982 09:15,2.748,36.31,"1b","Digital Archive","",""
10/03/1982 00:00,2.711,35.08,"1b","Digital Archive","",""
12/03/1982 08:45,2.896,41.30,"1b","Digital Archive","",""
08/11/1982 20:45,3.112,48.24,"1b","Digital Archive","",""
23/11/1982 15:45,2.592,31.22,"1b","Digital Archive","",""
20/12/1982 18:00,2.933,42.46,"1b","Digital Archive","",""
31/01/1983 22:30,2.701,34.75,"1b","Digital Archive","",""
09/11/1984 01:45,2.732,35.78,"1b","Digital Archive","",""
28/01/1985 07:45,2.719,35.34,"1b","Digital Archive","",""
26/07/1985 20:45,3.647,66.85,"1b","Digital Archive","",""
14/08/1985 15:30,2.848,39.73,"1b","Digital Archive","",""
19/09/1985 05:45,3.050,46.21,"1b","Digital Archive","",""
06/10/1985 12:00,2.656,33.27,"1b","Digital Archive","",""
19/01/1986 10:15,2.963,43.41,"1b","Digital Archive","",""
16/04/1986 01:45,2.789,37.70,"1b","Digital Archive","",""
16/11/1986 09:45,2.808,38.35,"1b","Digital Archive","",""
11/12/1986 07:00,3.159,49.80,"1b","Digital Archive","",""
15/12/1986 10:15,3.064,46.67,"1b","Digital Archive","",""
07/03/1987 20:45,2.687,34.29,"1b","Digital Archive","",""
10/04/1987 19:30,2.670,33.73,"1b","Digital Archive","",""
21/10/1987 20:45,3.820,73.27,"1b","Digital Archive","",""
15/11/1987 07:45,2.628,32.37,"1b","Digital Archive","",""
12/01/1988 22:15,2.817,38.66,"1b","Digital Archive","",""
19/01/1988 07:00,3.424,58.86,"1b","Digital Archive","",""
24/01/1988 06:45,2.797,37.98,"1b","Digital Archive","",""
01/02/1988 03:00,2.769,37.02,"1b","Digital Archive","",""
03/02/1988 23:45,2.693,34.48,"1b","Digital Archive","",""
