"NAME:","Bush at Seneirl Bridge"
"NUMBER:","204001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/11/1972 00:00,2.881,40.46,"1a","Vax","",""
11/12/1972 00:00,2.901,41.07,"1a","Vax","",""
20/01/1973 00:00,3.371,56.36,"1a","Vax","",""
20/02/1973 00:00,2.811,38.34,"1a","Vax","",""
05/11/1973 00:00,3.111,47.70,"1a","Vax","",""
29/11/1973 00:00,3.190,50.28,"1a","Vax","",""
07/12/1973 00:00,3.040,45.42,"1a","Vax","",""
20/12/1973 00:00,3.391,57.04,"1a","Vax","",""
07/01/1974 00:00,2.971,43.24,"1a","Vax","",""
08/01/1974 00:00,2.911,41.38,"1a","Vax","",""
10/01/1974 00:00,3.101,47.37,"1a","Vax","",""
12/01/1974 00:00,3.061,46.09,"1a","Vax","",""
25/11/1974 00:00,3.311,54.32,"1a","Vax","",""
11/12/1974 00:00,3.021,44.82,"1a","Vax","",""
22/01/1975 00:00,2.841,39.24,"1a","Vax","",""
25/01/1975 00:00,3.090,47.02,"1a","Vax","",""
02/01/1976 00:00,2.830,38.91,"1a","Vax","",""
01/06/1976 00:00,3.130,48.31,"1a","Vax","",""
15/10/1976 00:00,3.510,61.19,"1a","Vax","",""
23/10/1976 00:00,3.261,52.63,"1a","Vax","",""
21/01/1977 00:00,2.960,42.90,"1a","Vax","",""
26/01/1977 00:00,3.500,60.84,"1a","Vax","",""
18/02/1977 00:00,3.141,48.67,"1a","Vax","",""
28/01/1978 00:00,3.320,54.62,"1a","Vax","",""
28/09/1978 00:00,3.180,49.95,"1a","Vax","",""
02/12/1978 00:00,2.900,41.04,"1a","Vax","",""
09/12/1978 00:00,2.971,43.24,"1a","Vax","",""
12/12/1978 00:00,2.930,41.97,"1a","Vax","",""
28/12/1978 00:00,3.540,62.25,"1a","Vax","",""
06/08/1979 00:00,3.080,46.70,"1a","Vax","",""
04/10/1979 00:00,3.230,51.60,"1a","Vax","",""
03/11/1979 00:00,2.891,40.77,"1a","Vax","",""
11/11/1979 00:00,3.281,53.30,"1a","Vax","",""
15/11/1979 00:00,3.070,46.38,"1a","Vax","",""
26/11/1979 00:00,3.334,55.10,"1a","Vax","",""
27/12/1979 00:00,3.106,47.53,"1a","Vax","",""
22/01/1980 00:00,3.130,48.31,"1a","Vax","",""
23/10/1980 00:00,4.220,87.90,"1a","Vax","Data appears to be satisfactory",""
14/12/1980 00:00,3.000,44.15,"1a","Vax","",""
24/12/1980 00:00,2.890,40.73,"1a","Vax","",""
