"NAME:","Enler at Comber"
"NUMBER:","205020"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/12/1983 00:00,1.030,11.99,"2b","Digital Archive","",""
16/01/1984 23:15,1.436,23.36,"2b","Digital Archive","",""
22/01/1984 06:30,1.081,13.22,"2b","Digital Archive","",""
21/02/1984 15:45,1.115,14.08,"2b","Digital Archive","",""
24/03/1984 04:30,1.084,13.30,"2b","Digital Archive","",""
28/01/1985 06:45,1.102,13.75,"2b","Digital Archive","",""
07/09/1985 23:45,1.170,15.52,"2b","Digital Archive","",""
19/09/1985 07:15,1.233,17.24,"2b","Digital Archive","",""
21/09/1985 07:15,1.231,17.18,"2b","Digital Archive","",""
16/04/1986 03:00,1.154,15.09,"2b","Digital Archive","",""
26/08/1986 14:00,1.539,26.78,"2b","Digital Archive","",""
21/10/1987 12:15,1.048,12.42,"2b","Digital Archive","",""
22/10/1987 02:30,1.258,17.95,"2b","Digital Archive","",""
19/01/1988 04:30,1.163,15.33,"2b","Digital Archive","",""
24/01/1988 05:45,1.104,13.80,"2b","Digital Archive","",""
31/01/1988 23:45,1.008,11.47,"2b","Digital Archive","",""
03/02/1988 20:30,1.093,13.52,"2b","Digital Archive","",""
06/09/1988 15:30,1.052,12.51,"2b","Digital Archive","",""
26/10/1988 02:30,1.229,17.13,"2b","Digital Archive","",""
30/11/1988 11:45,1.047,12.39,"2b","Digital Archive","",""
02/04/1989 14:15,1.018,11.70,"2b","Digital Archive","",""
16/12/1989 13:30,1.055,12.59,"2b","Digital Archive","",""
25/01/1990 10:00,1.009,11.49,"2b","Digital Archive","",""
06/02/1990 14:30,1.038,12.18,"2b","Digital Archive","",""
23/11/1990 22:30,1.132,14.52,"2b","Digital Archive","",""
12/04/1991 16:45,1.012,11.56,"2b","Digital Archive","",""
18/11/1991 18:00,1.041,12.25,"2b","Digital Archive","",""
21/12/1991 12:45,1.090,13.45,"2b","Digital Archive","",""
05/04/1993 04:15,1.051,12.49,"2b","Digital Archive","",""
15/05/1993 02:00,1.007,11.45,"2b","Digital Archive","",""
08/12/1993 11:15,1.077,13.13,"2b","Digital Archive","",""
03/01/1994 17:00,1.335,20.21,"2b","Digital Archive","",""
09/01/1994 21:30,1.024,11.84,"2b","Digital Archive","",""
25/02/1994 23:45,1.102,13.75,"2b","Digital Archive","",""
27/02/1994 09:30,1.200,16.33,"2b","Digital Archive","",""
22/10/1994 20:00,1.092,13.50,"2b","Digital Archive","",""
03/11/1994 23:45,1.014,11.61,"2b","Digital Archive","",""
13/11/1994 06:45,1.028,11.94,"2b","Digital Archive","",""
21/01/1995 16:15,1.213,16.68,"2b","Digital Archive","",""
04/01/1996 14:45,1.151,15.01,"2b","Digital Archive","",""
13/01/1996 02:45,1.067,12.88,"2b","Digital Archive","",""
09/02/1996 09:15,1.038,12.18,"2b","Digital Archive","",""
03/12/1996 18:15,1.120,14.21,"2b","Digital Archive","",""
04/05/1997 23:30,1.076,13.10,"2b","Digital Archive","",""
24/11/1997 01:00,1.016,11.66,"2b","Digital Archive","",""
04/01/1998 16:30,1.107,13.88,"2b","Digital Archive","",""
24/10/1998 12:00,1.122,14.26,"2b","Digital Archive","",""
02/11/1998 13:15,1.161,15.28,"2b","Digital Archive","",""
29/12/1998 21:00,1.058,12.66,"2b","Digital Archive","",""
24/01/1999 21:00,1.034,12.08,"2b","Digital Archive","",""
20/04/1999 16:00,1.029,11.97,"2b","Digital Archive","",""
19/09/1999 17:00,1.021,11.78,"2b","Digital Archive","",""
20/09/1999 12:15,1.101,13.73,"2b","Digital Archive","",""
03/12/1999 05:30,1.015,11.63,"2b","Digital Archive","",""
24/12/1999 22:00,1.252,17.78,"2b","Digital Archive","",""
29/09/2000 12:45,1.443,23.58,"2b","Digital Archive","",""
09/10/2000 19:00,1.263,18.09,"2b","Digital Archive","",""
07/11/2000 13:00,1.379,21.55,"2b","Digital Archive","",""
01/12/2000 15:00,1.282,18.64,"2b","Digital Archive","",""
04/12/2000 11:00,1.240,17.44,"2b","Digital Archive","",""
08/12/2000 12:00,1.735,33.88,"2b","Digital Archive","",""
20/12/2000 12:15,1.048,12.42,"2b","Digital Archive","",""
31/12/2000 16:45,1.121,14.23,"2b","Digital Archive","",""
06/02/2001 05:30,1.090,13.45,"2b","Digital Archive","",""
11/03/2001 17:45,1.125,14.34,"2b","Digital Archive","",""
27/03/2001 19:45,1.004,11.38,"2b","Digital Archive","",""
06/04/2001 17:45,1.102,13.75,"2b","Digital Archive","",""
05/12/2001 10:30,1.125,14.34,"2b","Digital Archive","",""
21/10/2002 05:45,1.257,17.92,"2b","Digital Archive","",""
21/10/2002 20:45,1.152,15.04,"2b","Digital Archive","",""
27/10/2002 01:45,1.185,15.92,"2b","Digital Archive","",""
14/11/2002 16:30,1.172,15.57,"2b","Digital Archive","",""
