"NAME:","Tweed at Peebles"
"NUMBER:","21003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/11/1939 00:00,2.360,160.10,"","FSR VOL 4","",""
14/11/1939 00:00,1.890,112.88,"","FSR VOL 4","",""
30/11/1939 00:00,1.980,121.38,"","FSR VOL 4","",""
17/09/1940 00:00,1.900,113.81,"","FSR VOL 4","",""
01/08/1948 00:00,3.810,347.24,"","FSR VOL 4","",""
02/08/1948 00:00,2.590,185.70,"","FSR VOL 4","",""
12/12/1948 00:00,2.130,136.12,"","FSR VOL 4","",""
07/01/1949 00:00,4.320,426.97,"","FSR VOL 4","",""
22/02/1949 00:00,2.040,127.19,"","FSR VOL 4","",""
25/12/1949 00:00,2.770,206.84,"","FSR VOL 4","",""
29/12/1949 00:00,3.070,244.19,"","FSR VOL 4","",""
06/01/1950 00:00,2.060,129.15,"","FSR VOL 4","",""
15/02/1950 00:00,2.540,180.00,"","FSR VOL 4","",""
19/03/1950 00:00,2.770,206.84,"","FSR VOL 4","",""
06/09/1950 00:00,2.170,140.18,"","FSR VOL 4","",""
11/09/1950 00:00,1.900,113.81,"","FSR VOL 4","",""
17/09/1950 00:00,2.110,134.12,"","FSR VOL 4","",""
25/09/1950 00:00,2.760,205.64,"","FSR VOL 4","",""
10/12/1950 00:00,2.040,127.19,"","FSR VOL 4","",""
17/01/1951 00:00,3.070,244.19,"","FSR VOL 4","",""
22/03/1951 00:00,1.980,121.38,"","FSR VOL 4","",""
02/05/1951 00:00,1.960,119.47,"","FSR VOL 4","",""
05/11/1951 00:00,2.900,222.71,"","FSR VOL 4","",""
27/12/1951 00:00,2.130,136.12,"","FSR VOL 4","",""
29/10/1952 00:00,1.710,96.66,"","FSR VOL 4","",""
12/11/1953 00:00,2.050,128.17,"","FSR VOL 4","",""
15/11/1953 00:00,2.020,125.24,"","FSR VOL 4","",""
03/12/1953 00:00,3.130,251.97,"","FSR VOL 4","",""
19/01/1954 00:00,2.240,147.39,"","FSR VOL 4","",""
20/01/1954 00:00,1.870,111.02,"","FSR VOL 4","",""
06/03/1954 00:00,2.380,162.26,"","FSR VOL 4","",""
07/03/1954 00:00,2.010,124.27,"","FSR VOL 4","",""
06/05/1954 00:00,1.880,111.95,"","FSR VOL 4","",""
09/09/1954 00:00,1.930,116.62,"","FSR VOL 4","",""
15/10/1954 00:00,2.310,154.75,"","FSR VOL 4","",""
17/10/1954 00:00,2.310,154.75,"","FSR VOL 4","",""
18/10/1954 00:00,2.810,211.67,"","FSR VOL 4","",""
29/10/1954 00:00,3.730,335.37,"","FSR VOL 4","",""
23/11/1954 00:00,2.100,133.12,"","FSR VOL 4","",""
27/11/1954 00:00,2.310,154.75,"","FSR VOL 4","",""
30/11/1954 00:00,2.360,160.10,"","FSR VOL 4","",""
02/12/1954 00:00,2.480,173.26,"","FSR VOL 4","",""
14/12/1954 00:00,2.350,159.02,"","FSR VOL 4","",""
10/01/1955 00:00,1.990,122.34,"","FSR VOL 4","",""
01/03/1956 00:00,1.940,117.57,"","FSR VOL 4","",""
28/08/1956 00:00,2.920,225.19,"","FSR VOL 4","",""
14/12/1956 00:00,2.400,164.44,"","FSR VOL 4","",""
22/01/1957 00:00,2.060,129.15,"","FSR VOL 4","",""
07/02/1957 00:00,1.980,121.38,"","FSR VOL 4","",""
26/10/1957 00:00,1.910,114.74,"","FSR VOL 4","",""
07/12/1957 00:00,1.940,117.57,"","FSR VOL 4","",""
20/12/1957 00:00,1.960,119.47,"","FSR VOL 4","",""
08/01/1958 00:00,2.130,136.12,"","FSR VOL 4","",""
11/02/1958 00:00,2.000,123.30,"","FSR VOL 4","",""
28/07/1958 00:00,2.230,146.35,"","FSR VOL 4","",""
30/07/1958 00:00,2.180,141.20,"","FSR VOL 4","",""
19/12/1958 00:00,2.090,132.12,"","FSR VOL 4","",""
12/05/1959 00:00,1.860,110.10,"","FSR VOL 4","",""
22/01/1960 08:45,1.991,123.05,"QHigh19592","Digital Archive","",""
03/02/1960 19:45,2.108,134.69,"QHigh19592","Digital Archive","",""
01/12/1960 11:30,2.596,187.07,"QHigh19592","Digital Archive","",""
26/12/1960 08:45,2.131,137.04,"QHigh19592","Digital Archive","",""
09/08/1961 02:15,2.063,130.20,"QHigh19592","Digital Archive","",""
24/10/1961 17:15,1.994,123.37,"QHigh19592","Digital Archive","",""
