"NAME:","Ettrick Water at Lindean"
"NUMBER:","21007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/10/1961 00:00,1.550,100.11,"52a","FSR VOL 4","",""
26/10/1961 00:00,1.630,112.48,"52a","FSR VOL 4","",""
08/01/1962 00:00,1.700,123.87,"52a","Dundee Univ.","",""
15/01/1962 00:00,2.660,333.69,"52a","Dundee Univ.","",""
11/02/1962 00:00,1.590,106.21,"52a","Dundee Univ.","",""
03/08/1962 00:00,1.580,104.67,"52a","Dundee Univ.","",""
11/08/1962 00:00,1.550,100.11,"52a","Dundee Univ.","",""
26/08/1962 00:00,1.640,114.07,"52a","Dundee Univ.","",""
09/09/1962 00:00,1.850,150.09,"52a","Dundee Univ.","",""
11/09/1962 00:00,1.980,174.80,"52a","Dundee Univ.","",""
30/09/1962 00:00,1.630,112.48,"52a","Dundee Univ.","",""
08/12/1962 00:00,1.670,118.93,"52a","Dundee Univ.","",""
05/03/1963 00:00,2.320,248.04,"52a","Dundee Univ.","",""
14/03/1963 00:00,1.950,168.93,"52a","Dundee Univ.","",""
16/08/1963 00:00,1.600,107.76,"52a","Dundee Univ.","",""
01/09/1963 00:00,1.640,114.07,"52a","Dundee Univ.","",""
10/11/1963 00:00,1.630,112.48,"52a","Dundee Univ.","",""
12/11/1963 00:00,1.590,106.21,"52a","Dundee Univ.","",""
18/11/1963 00:00,2.200,220.77,"52a","Dundee Univ.","",""
24/11/1963 00:00,1.970,172.83,"52a","Dundee Univ.","",""
07/10/1964 00:00,2.020,182.77,"52a","Dundee Univ.","",""
08/12/1964 00:00,1.940,167.00,"52a","Dundee Univ.","",""
10/01/1965 00:00,2.240,229.69,"52a","Dundee Univ.","",""
13/01/1965 00:00,1.600,107.76,"52a","Dundee Univ.","",""
27/03/1965 00:00,1.670,118.93,"52a","Dundee Univ.","",""
29/07/1965 00:00,1.610,109.32,"52a","Dundee Univ.","",""
25/09/1965 00:00,1.670,118.93,"52a","Dundee Univ.","",""
09/12/1965 00:00,1.700,123.87,"52a","Dundee Univ.","",""
25/02/1966 00:00,2.130,205.57,"52a","Dundee Univ.","",""
13/08/1966 00:00,2.120,203.45,"52a","Dundee Univ.","",""
04/09/1966 00:00,1.850,150.09,"52a","Dundee Univ.","",""
27/02/1967 00:00,2.350,255.10,"52a","Dundee Univ.","",""
05/09/1967 00:00,1.660,117.30,"52a","Dundee Univ.","",""
01/10/1967 00:00,1.720,127.23,"52a","Dundee Univ.","",""
09/10/1967 00:00,2.200,220.77,"52a","Dundee Univ.","",""
14/10/1967 00:00,1.570,103.14,"52a","Dundee Univ.","",""
16/10/1967 00:00,1.650,115.68,"52a","Dundee Univ.","",""
05/03/1968 00:00,1.550,100.11,"52a","Dundee Univ.","",""
12/09/1968 00:00,1.640,114.07,"52a","Dundee Univ.","",""
27/09/1968 00:00,1.720,127.23,"52a","Dundee Univ.","",""
31/10/1968 00:00,1.750,132.34,"52a","Dundee Univ.","",""
20/12/1968 00:00,2.110,201.33,"52a","Dundee Univ.","",""
02/11/1969 00:00,1.510,94.19,"52a","Dundee Univ.","",""
21/11/1969 00:00,1.540,98.62,"52a","Dundee Univ.","",""
22/11/1969 00:00,1.900,159.38,"52a","Dundee Univ.","",""
21/12/1969 00:00,1.620,110.89,"52a","Dundee Univ.","",""
18/01/1970 00:00,1.590,106.21,"52a","Dundee Univ.","",""
01/02/1970 00:00,1.590,106.21,"52a","Dundee Univ.","",""
21/02/1970 00:00,1.600,107.76,"52a","Dundee Univ.","",""
28/10/1970 00:00,2.000,178.76,"52a","Dundee Univ.","",""
30/10/1970 00:00,1.820,144.65,"52a","Dundee Univ.","",""
18/11/1970 00:00,1.860,151.93,"52a","Dundee Univ.","",""
29/11/1970 00:00,2.080,195.05,"52a","Dundee Univ.","",""
04/12/1970 00:00,2.180,216.37,"52a","Dundee Univ.","",""
08/12/1970 00:00,1.750,132.34,"52a","Dundee Univ.","",""
10/01/1971 00:00,2.840,384.02,"52a","Dundee Univ.","",""
22/01/1971 00:00,2.000,178.76,"52a","Dundee Univ.","",""
24/01/1971 00:00,2.050,188.86,"52a","Dundee Univ.","",""
29/01/1971 00:00,1.520,95.66,"52a","Dundee Univ.","",""
14/02/1971 00:00,1.520,95.66,"52a","Dundee Univ.","",""
25/07/1971 00:00,1.770,135.81,"52a","Dundee Univ.","",""
23/01/1972 00:00,1.450,85.64,"52a","FEH","",""
13/12/1972 00:00,1.520,95.66,"52a","Dundee Univ.","",""
05/01/1974 00:00,1.540,98.62,"52a","Dundee Univ.","",""
10/01/1974 00:00,1.520,95.66,"52a","Dundee Univ.","",""
12/01/1974 00:00,1.620,110.89,"52a","Dundee Univ.","",""
30/01/1974 00:00,2.480,286.80,"52a","Dundee Univ.","",""
10/11/1974 00:00,1.780,137.55,"52a","Dundee Univ.","",""
21/12/1974 00:00,1.750,132.34,"52a","Dundee Univ.","",""
14/01/1975 00:00,2.120,203.45,"52a","Dundee Univ.","",""
19/01/1975 00:00,1.820,144.65,"52a","Dundee Univ.","",""
22/01/1975 00:00,1.850,150.09,"52a","Dundee Univ.","",""
25/01/1975 00:00,1.830,146.46,"52a","Dundee Univ.","",""
31/01/1975 00:00,1.740,130.63,"52a","Dundee Univ.","",""
22/09/1975 00:00,1.640,114.07,"52a","Dundee Univ.","",""
02/01/1976 00:00,1.820,144.65,"52a","Dundee Univ.","",""
03/02/1977 00:00,2.290,241.08,"52a","Dundee Univ.","",""
07/10/1977 00:00,1.750,132.34,"52a","Dundee Univ.","",""
31/10/1977 00:00,3.080,456.47,"52a","Dundee Univ.","",""
23/12/1977 00:00,2.050,188.86,"52a","Dundee Univ.","",""
24/02/1978 00:00,1.760,134.07,"52a","Dundee Univ.","",""
15/11/1978 00:00,2.700,344.57,"52a","Dundee Univ.","",""
27/12/1978 00:00,1.550,100.11,"52a","Dundee Univ.","",""
07/01/1979 00:00,1.640,114.07,"52a","Dundee Univ.","",""
27/02/1979 00:00,1.560,101.62,"52a","Dundee Univ.","",""
03/03/1979 00:00,1.650,115.68,"52a","Dundee Univ.","",""
08/03/1979 00:00,1.690,122.21,"52a","Dundee Univ.","",""
25/03/1979 00:00,1.690,122.21,"52a","Dundee Univ.","",""
13/10/1979 00:00,1.890,157.50,"52a","Dundee Univ.","",""
26/11/1979 00:00,2.250,231.94,"52a","Dundee Univ.","",""
02/12/1979 00:00,1.540,98.62,"52a","Dundee Univ.","",""
04/12/1979 00:00,1.730,128.92,"52a","Dundee Univ.","",""
07/12/1979 00:00,1.690,122.21,"52a","Dundee Univ.","",""
27/12/1979 00:00,1.990,176.77,"52a","Dundee Univ.","",""
27/03/1980 00:00,1.510,94.19,"52a","Dundee Univ.","",""
14/08/1980 00:00,1.690,122.21,"52a","Dundee Univ.","",""
07/10/1980 00:00,1.820,144.65,"52a","Dundee Univ.","",""
20/11/1980 00:00,1.810,142.86,"52a","Dundee Univ.","",""
14/12/1980 00:00,1.570,103.14,"52a","Dundee Univ.","",""
24/12/1980 00:00,1.640,114.07,"52a","Dundee Univ.","",""
07/03/1981 00:00,1.890,157.50,"52a","Dundee Univ.","",""
25/03/1981 00:00,1.700,123.87,"52a","Dundee Univ.","",""
20/09/1981 00:00,1.660,117.30,"52a","Dundee Univ.","",""
23/09/1981 00:00,1.750,132.34,"52a","Dundee Univ.","",""
26/09/1981 00:00,2.050,188.86,"52a","Dundee Univ.","",""
01/10/1981 09:00,2.430,274.40,"52a","Dundee Univ.","",""
09/10/1981 00:00,1.700,123.87,"52a","Dundee Univ.","",""
23/11/1981 00:00,1.900,159.38,"52a","Dundee Univ.","",""
03/01/1982 00:00,2.750,358.42,"52a","Dundee Univ.","",""
21/01/1982 00:00,1.660,117.30,"52a","Dundee Univ.","",""
09/02/1982 00:00,1.650,115.68,"52a","Dundee Univ.","",""
12/02/1982 00:00,1.890,157.50,"52a","Dundee Univ.","",""
09/03/1982 00:00,1.740,130.63,"52a","Dundee Univ.","",""
04/05/1982 00:00,2.130,205.57,"52a","Dundee Univ.","",""
27/06/1982 00:00,2.000,178.76,"52a","Dundee Univ.","",""
01/10/1982 00:00,1.640,114.07,"52a","Dundee Univ.","",""
19/11/1982 00:00,1.700,123.87,"52a","Dundee Univ.","",""
20/11/1982 00:00,1.690,122.21,"52a","Dundee Univ.","",""
21/11/1982 00:00,1.720,127.23,"52a","Dundee Univ.","",""
23/11/1982 00:00,2.030,184.79,"52a","Dundee Univ.","",""
19/12/1982 00:00,2.600,317.67,"52a","Dundee Univ.","",""
02/01/1983 00:00,1.710,125.55,"52a","Dundee Univ.","",""
05/01/1983 00:00,1.890,157.50,"52a","Dundee Univ.","",""
16/10/1983 00:00,1.650,115.68,"52a","Dundee Univ.","",""
24/12/1983 00:00,1.530,97.13,"52a","Dundee Univ.","",""
13/01/1984 00:00,2.260,234.21,"52a","Dundee Univ.","",""
04/02/1984 00:00,2.030,184.79,"52a","Dundee Univ.","",""
03/11/1984 00:00,1.630,112.48,"52a","Dundee Univ.","",""
08/11/1984 00:00,1.550,100.11,"52a","Dundee Univ.","",""
09/11/1984 00:00,1.720,127.23,"52a","Dundee Univ.","",""
27/11/1984 00:00,2.200,220.77,"52a","Dundee Univ.","",""
26/07/1985 00:00,1.920,163.17,"52a","Dundee Univ.","",""
14/08/1985 00:00,2.030,184.79,"52a","Dundee Univ.","",""
