"NAME:","Manor Water at Cademuir"
"NUMBER:","21019"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/09/1968 00:00,1.060,23.03,"12b","CEH POT","",""
31/10/1968 00:00,0.760,12.95,"12b","CEH POT","",""
20/12/1968 00:00,0.780,13.54,"12b","CEH POT","",""
22/12/1968 00:00,0.910,17.68,"12b","CEH POT","",""
22/11/1969 00:00,1.140,26.13,"12b","CEH POT","",""
13/12/1969 00:00,0.860,16.03,"12b","CEH POT","",""
18/01/1970 00:00,0.850,15.71,"12b","CEH POT","",""
01/02/1970 00:00,0.930,18.35,"12b","CEH POT","",""
21/02/1970 00:00,0.820,14.76,"12b","CEH POT","",""
09/09/1970 00:00,0.940,18.70,"12b","CEH POT","",""
29/10/1970 00:00,0.720,11.80,"12b","CEH POT","",""
31/10/1970 00:00,0.900,17.34,"12b","CEH POT","",""
23/11/1970 00:00,0.780,13.54,"12b","CEH POT","",""
23/04/1971 00:00,0.840,15.39,"12b","CEH POT","",""
11/01/1972 00:00,0.740,12.37,"12b","CEH POT","",""
12/01/1972 00:00,0.840,15.39,"12b","CEH POT","",""
23/01/1972 00:00,0.920,18.01,"12b","CEH POT","",""
11/12/1972 00:00,1.170,27.34,"12b","CEH POT","",""
05/01/1974 00:00,0.780,13.54,"12b","CEH POT","",""
10/01/1974 00:00,0.720,11.80,"12b","CEH POT","",""
11/01/1974 00:00,1.090,24.17,"12b","CEH POT","",""
29/01/1974 00:00,1.140,26.13,"12b","CEH POT","",""
10/11/1974 02:00,0.965,19.57,"12b","Chart","",""
14/11/1974 14:00,0.850,15.71,"12b","Chart","",""
22/12/1974 06:30,0.840,15.39,"12b","Chart","",""
26/12/1974 10:00,0.830,15.08,"12b","Chart","",""
27/12/1974 06:00,0.715,11.66,"12b","Chart","",""
14/01/1975 12:00,1.140,26.13,"12b","Chart","",""
15/01/1975 16:00,1.050,22.65,"12b","Chart","",""
22/01/1975 13:00,0.930,18.35,"12b","Chart","",""
25/01/1975 12:00,1.000,20.81,"12b","Chart","",""
30/01/1975 08:30,0.810,14.45,"12b","Chart","",""
31/01/1975 12:00,0.730,12.08,"12b","Chart","",""
26/09/1976 10:00,0.700,11.24,"12b","Chart","","AMAX ONLY"
15/10/1976 21:30,0.750,12.66,"12b","Chart","",""
03/02/1977 07:00,0.780,13.54,"12b","Chart","",""
07/10/1977 21:30,0.750,12.66,"12b","Chart","",""
31/10/1977 09:00,1.470,40.69,"12b","Chart","",""
24/02/1978 17:00,0.880,16.68,"12b","Chart","",""
15/11/1978 14:00,1.170,27.34,"12b","Chart","",""
03/03/1979 10:00,0.800,14.15,"12b","Chart","",""
09/03/1979 02:00,0.740,12.37,"12b","Chart","",""
11/04/1979 13:30,0.735,12.22,"12b","Chart","",""
13/04/1979 04:30,0.785,13.69,"12b","Chart","",""
14/10/1979 04:30,0.830,15.08,"12b","Chart","",""
25/11/1979 16:30,0.700,11.24,"12b","Chart","",""
26/11/1979 10:00,1.065,23.22,"12b","Chart","",""
27/12/1979 09:00,0.830,15.08,"12b","Chart","",""
29/12/1979 15:30,0.715,11.66,"12b","Chart","",""
20/11/1980 17:30,0.780,13.54,"12b","Chart","",""
24/12/1980 10:00,0.795,14.00,"12b","Chart","",""
07/03/1981 00:00,1.320,33.73,"12b","Chart","clock stopped, level estimated",""
26/09/1981 22:30,1.030,21.91,"12b","Chart","clock stopped, PTR: 1.013m",""
23/11/1981 11:00,0.920,18.01,"12b","Chart","",""
04/01/1982 00:00,1.230,29.83,"12b","Chart","chart ran out",""
21/01/1982 23:59,0.680,10.69,"12b","Chart","",""
18/10/1982 05:00,0.940,18.70,"12b","Chart","",""
21/11/1982 12:00,0.935,18.53,"12b","Chart","",""
23/11/1982 18:00,0.830,15.08,"12b","Chart","",""
19/12/1982 11:30,1.180,27.75,"12b","Chart","",""
15/10/1983 13:00,0.860,16.03,"12b","Chart","",""
12/01/1984 07:00,1.120,25.34,"12b","Chart","",""
04/02/1984 20:00,1.080,23.79,"12b","Chart","",""
03/11/1984 16:00,0.990,20.45,"12b","Chart","",""
09/11/1984 00:00,0.970,19.74,"12b","Chart","",""
27/11/1984 19:00,1.010,21.18,"12b","Chart","",""
14/08/1985 19:00,1.120,25.34,"12b","Chart","",""
21/09/1985 22:00,1.080,23.79,"12b","Chart","",""
21/12/1985 13:00,1.250,30.68,"12b","Chart","",""
20/01/1986 19:30,0.575,8.02,"12b","Digital Archive","",""
05/03/1986 03:15,0.878,16.61,"12b","Digital Archive","",""
22/03/1986 21:45,0.662,10.21,"12b","Digital Archive","",""
15/08/1986 11:00,0.615,9.00,"12b","Digital Archive","",""
09/11/1986 18:45,0.761,12.98,"12b","Digital Archive","",""
14/11/1986 20:30,0.576,8.05,"12b","Digital Archive","",""
