"NAME:","Jed Water at Jedburgh"
"NUMBER:","21024"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/01/1972 00:00,1.670,28.17,"39b","Dundee Univ.","",""
17/01/1972 00:00,1.580,24.92,"39b","Dundee Univ.","",""
03/02/1972 00:00,1.480,21.53,"39b","Dundee Univ.","",""
16/02/1972 00:00,1.670,28.17,"39b","Dundee Univ.","",""
12/05/1972 00:00,1.570,24.57,"39b","Dundee Univ.","",""
19/11/1972 00:00,1.440,20.24,"39b","Dundee Univ.","",""
11/12/1972 00:00,2.270,54.79,"39b","Dundee Univ.","",""
23/01/1973 00:00,1.410,19.30,"39b","Dundee Univ.","",""
04/05/1973 00:00,1.790,32.81,"39b","Dundee Univ.","",""
10/01/1974 00:00,2.010,42.21,"39b","Dundee Univ.","",""
29/01/1974 00:00,1.940,39.10,"39b","Dundee Univ.","",""
11/02/1974 00:00,1.670,28.17,"39b","Dundee Univ.","",""
20/03/1974 00:00,1.570,24.57,"39b","Dundee Univ.","",""
22/10/1974 00:00,1.870,36.10,"39b","Dundee Univ.","",""
10/11/1974 00:00,2.380,60.59,"39b","Dundee Univ.","",""
22/11/1974 00:00,2.020,42.66,"39b","Dundee Univ.","",""
21/12/1974 00:00,2.720,80.30,"39b","Dundee Univ.","",""
13/01/1975 00:00,1.530,23.19,"39b","Dundee Univ.","",""
25/01/1975 00:00,2.200,51.25,"39b","Dundee Univ.","",""
14/05/1975 00:00,1.550,23.88,"39b","Dundee Univ.","",""
30/08/1975 00:00,2.380,60.59,"39b","Dundee Univ.","",""
27/09/1975 00:00,1.800,33.22,"39b","Dundee Univ.","",""
23/02/1976 00:00,1.880,36.52,"39b","Dundee Univ.","",""
15/10/1976 00:00,2.390,61.13,"39b","Dundee Univ.","",""
04/01/1977 00:00,1.560,24.22,"39b","Dundee Univ.","",""
25/01/1977 00:00,1.950,39.53,"39b","Dundee Univ.","",""
02/02/1977 00:00,1.640,27.07,"39b","Dundee Univ.","",""
26/08/1977 00:00,1.440,20.24,"39b","Dundee Univ.","",""
31/10/1977 00:00,1.890,36.94,"39b","Dundee Univ.","",""
11/11/1977 00:00,1.620,26.34,"39b","Dundee Univ.","",""
23/12/1977 00:00,1.630,26.70,"39b","Dundee Univ.","",""
29/01/1978 00:00,2.150,48.79,"39b","Dundee Univ.","",""
23/02/1978 00:00,2.020,42.66,"39b","Dundee Univ.","",""
19/03/1978 00:00,1.450,20.56,"39b","Dundee Univ.","",""
15/11/1978 00:00,2.090,45.91,"39b","Dundee Univ.","",""
07/12/1978 00:00,2.200,51.25,"39b","Dundee Univ.","",""
07/01/1979 00:00,1.670,28.17,"39b","Dundee Univ.","",""
27/02/1979 00:00,1.730,30.45,"39b","Dundee Univ.","",""
08/03/1979 00:00,1.850,35.26,"39b","Dundee Univ.","",""
25/03/1979 00:00,2.640,75.42,"39b","Dundee Univ.","",""
13/10/1979 00:00,1.700,29.30,"39b","Dundee Univ.","",""
15/11/1979 00:00,1.790,32.81,"39b","Dundee Univ.","",""
26/11/1979 00:00,2.220,52.25,"39b","Dundee Univ.","",""
04/12/1979 00:00,1.920,38.23,"39b","Dundee Univ.","",""
27/12/1979 00:00,2.680,77.84,"39b","Dundee Univ.","",""
18/03/1980 00:00,1.440,20.24,"39b","Dundee Univ.","",""
27/03/1980 00:00,1.600,25.62,"39b","Dundee Univ.","",""
11/06/1980 00:00,1.600,25.62,"39b","Dundee Univ.","",""
24/10/1980 00:00,1.860,35.68,"39b","Dundee Univ.","",""
17/11/1980 00:00,1.460,20.88,"39b","Dundee Univ.","",""
20/11/1980 00:00,1.820,34.03,"39b","Dundee Univ.","",""
14/12/1980 00:00,1.830,34.44,"39b","Dundee Univ.","",""
02/02/1981 00:00,1.430,19.92,"39b","Dundee Univ.","",""
02/03/1981 00:00,2.000,41.76,"39b","Dundee Univ.","",""
25/03/1981 00:00,1.630,26.70,"39b","Dundee Univ.","",""
11/06/1981 00:00,1.650,27.43,"39b","Dundee Univ.","",""
21/07/1981 00:00,2.110,46.86,"39b","Dundee Univ.","",""
26/09/1981 00:00,1.720,30.06,"39b","Dundee Univ.","",""
01/10/1981 09:00,2.520,68.38,"39b","Dundee Univ.","",""
09/10/1981 00:00,1.960,39.97,"39b","Dundee Univ.","",""
23/10/1981 00:00,2.460,64.98,"39b","Dundee Univ.","",""
23/11/1981 00:00,2.700,79.06,"39b","Dundee Univ.","",""
03/01/1982 00:00,3.000,98.54,"39b","Dundee Univ.","",""
21/01/1982 00:00,1.420,19.61,"39b","Dundee Univ.","",""
02/03/1982 00:00,1.820,34.03,"39b","Dundee Univ.","",""
12/03/1982 00:00,1.690,28.92,"39b","Dundee Univ.","",""
21/11/1982 00:00,1.750,31.23,"39b","Dundee Univ.","",""
22/11/1982 00:00,1.820,34.03,"39b","Dundee Univ.","",""
23/11/1982 00:00,2.040,43.58,"39b","Dundee Univ.","",""
08/12/1982 00:00,1.940,39.10,"39b","Dundee Univ.","",""
19/12/1982 00:00,2.650,76.02,"39b","Dundee Univ.","",""
02/01/1983 00:00,1.800,33.22,"39b","Dundee Univ.","",""
05/01/1983 00:00,1.620,26.34,"39b","Dundee Univ.","",""
08/01/1983 00:00,1.510,22.52,"39b","Dundee Univ.","",""
11/01/1983 00:00,1.460,20.88,"39b","Dundee Univ.","",""
03/03/1983 00:00,1.540,23.53,"39b","Dundee Univ.","",""
21/03/1983 00:00,1.480,21.53,"39b","Dundee Univ.","",""
21/04/1983 00:00,1.430,19.92,"39b","Dundee Univ.","",""
28/04/1983 00:00,1.560,24.22,"39b","Dundee Univ.","",""
27/05/1983 00:00,1.830,34.44,"39b","Dundee Univ.","",""
01/06/1983 00:00,1.560,24.22,"39b","Dundee Univ.","",""
17/07/1983 00:00,2.020,42.66,"39b","Dundee Univ.","",""
15/10/1983 00:00,1.820,34.03,"39b","Dundee Univ.","",""
