"NAME:","Ale Water at Ancrum"
"NUMBER:","21025"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/01/1974 00:00,1.480,23.32,"39a","Dundee Univ.","",""
30/01/1974 00:00,1.420,21.38,"39a","Dundee Univ.","",""
10/11/1974 00:00,1.390,20.45,"39a","Dundee Univ.","",""
22/11/1974 00:00,1.380,20.14,"39a","Dundee Univ.","",""
22/12/1974 00:00,1.480,23.32,"39a","Dundee Univ.","",""
14/01/1975 00:00,1.720,31.84,"39a","Dundee Univ.","",""
25/01/1975 00:00,1.810,35.36,"39a","Dundee Univ.","",""
31/01/1975 00:00,1.430,21.70,"39a","Dundee Univ.","",""
14/05/1975 00:00,1.540,25.33,"39a","Dundee Univ.","",""
27/09/1975 00:00,1.410,21.07,"39a","Dundee Univ.","",""
02/01/1976 00:00,1.380,20.14,"39a","Dundee Univ.","",""
15/10/1976 00:00,1.490,23.65,"39a","Dundee Univ.","",""
04/01/1977 00:00,1.420,21.38,"39a","Dundee Univ.","",""
25/01/1977 00:00,1.460,22.66,"39a","Dundee Univ.","",""
03/02/1977 00:00,1.670,29.96,"39a","Dundee Univ.","",""
10/02/1977 00:00,1.420,21.38,"39a","Dundee Univ.","",""
07/10/1977 00:00,1.340,18.93,"39a","Dundee Univ.","",""
31/10/1977 00:00,2.500,67.99,"39a","Dundee Univ.","",""
05/11/1977 00:00,1.330,18.63,"39a","Dundee Univ.","",""
23/12/1977 00:00,1.620,28.14,"39a","Dundee Univ.","",""
29/01/1978 00:00,1.310,18.04,"39a","Dundee Univ.","",""
24/02/1978 00:00,1.510,24.31,"39a","Dundee Univ.","",""
15/11/1978 00:00,1.900,39.05,"39a","Dundee Univ.","",""
08/12/1978 00:00,1.450,22.34,"39a","Dundee Univ.","",""
07/01/1979 00:00,1.630,28.50,"39a","Dundee Univ.","",""
16/01/1979 00:00,1.360,19.53,"39a","Dundee Univ.","",""
25/03/1979 00:00,1.880,38.21,"39a","Dundee Univ.","",""
10/04/1979 00:00,1.390,20.45,"39a","Dundee Univ.","",""
14/10/1979 00:00,1.680,30.33,"39a","Dundee Univ.","",""
26/11/1979 00:00,1.710,31.46,"39a","Dundee Univ.","",""
04/12/1979 00:00,1.550,25.67,"39a","Dundee Univ.","",""
07/12/1979 00:00,1.700,31.08,"39a","Dundee Univ.","",""
27/12/1979 00:00,1.740,32.61,"39a","Dundee Univ.","",""
09/02/1980 00:00,1.310,18.04,"39a","Dundee Univ.","",""
27/03/1980 00:00,1.610,27.78,"39a","Dundee Univ.","",""
07/10/1980 00:00,1.410,21.07,"39a","Dundee Univ.","",""
20/11/1980 00:00,1.450,22.34,"39a","Dundee Univ.","",""
25/11/1980 00:00,1.540,25.33,"39a","Dundee Univ.","",""
14/12/1980 00:00,1.340,18.93,"39a","Dundee Univ.","",""
02/03/1981 00:00,1.560,26.02,"39a","Dundee Univ.","",""
07/03/1981 00:00,1.440,22.02,"39a","Dundee Univ.","",""
25/03/1981 00:00,1.470,22.99,"39a","Dundee Univ.","",""
11/06/1981 00:00,1.330,18.63,"39a","Dundee Univ.","",""
22/07/1981 00:00,1.450,22.34,"39a","Dundee Univ.","",""
26/09/1981 00:00,1.380,20.14,"39a","Dundee Univ.","",""
02/10/1981 00:00,2.260,55.51,"39a","Dundee Univ.","",""
08/10/1981 00:00,1.670,29.96,"39a","Dundee Univ.","",""
23/11/1981 00:00,1.660,29.59,"39a","Dundee Univ.","",""
04/01/1982 00:00,2.720,80.47,"39a","Dundee Univ.","",""
18/01/1982 00:00,1.350,19.23,"39a","Dundee Univ.","",""
09/02/1982 00:00,1.470,22.99,"39a","Dundee Univ.","",""
12/02/1982 00:00,1.380,20.14,"39a","Dundee Univ.","",""
09/03/1982 00:00,1.420,21.38,"39a","Dundee Univ.","",""
21/11/1982 00:00,1.380,20.14,"39a","Dundee Univ.","",""
23/11/1982 00:00,1.830,36.16,"39a","Dundee Univ.","",""
08/12/1982 00:00,1.540,25.33,"39a","Dundee Univ.","",""
19/12/1982 00:00,2.060,46.03,"39a","Dundee Univ.","",""
06/01/1983 00:00,1.790,34.56,"39a","Dundee Univ.","",""
28/04/1983 00:00,1.450,22.34,"39a","Dundee Univ.","",""
24/12/1983 00:00,1.480,23.32,"39a","Dundee Univ.","",""
02/01/1984 00:00,1.355,19.38,"39a","Dundee Univ.","",""
13/01/1984 00:00,1.860,37.38,"39a","Dundee Univ.","",""
04/02/1984 00:00,1.645,29.04,"39a","Dundee Univ.","",""
04/11/1984 00:00,1.870,37.80,"39a","Dundee Univ.","",""
10/11/1984 00:00,1.490,23.65,"39a","Dundee Univ.","",""
27/11/1984 00:00,1.830,36.16,"39a","Dundee Univ.","",""
30/01/1985 00:00,1.595,27.25,"39a","Dundee Univ.","",""
30/03/1985 00:00,1.635,28.68,"39a","Dundee Univ.","",""
01/04/1985 00:00,1.435,21.86,"39a","Dundee Univ.","",""
26/07/1985 00:00,1.910,39.47,"39a","Dundee Univ.","",""
11/08/1985 00:00,1.350,19.23,"39a","Dundee Univ.","",""
14/08/1985 00:00,1.595,27.25,"39a","Dundee Univ.","",""
18/09/1985 00:00,1.305,17.90,"39a","Dundee Univ.","",""
21/09/1985 00:00,2.270,56.01,"39a","Dundee Univ.","",""
02/12/1985 00:00,1.620,28.14,"39a","Dundee Univ.","",""
21/12/1985 00:00,2.195,52.34,"39a","Dundee Univ.","",""
10/01/1986 14:00,1.580,26.72,"39a","Digital Archive","",""
21/01/1986 00:30,1.238,16.00,"39a","Digital Archive","",""
22/01/1986 16:00,1.228,15.73,"39a","Digital Archive","",""
05/03/1986 09:00,1.745,32.80,"39a","Digital Archive","",""
16/04/1986 02:30,1.557,25.92,"39a","Digital Archive","",""
07/05/1986 12:45,1.407,20.97,"39a","Digital Archive","",""
26/08/1986 13:30,1.628,28.43,"39a","Digital Archive","",""
10/11/1986 08:45,1.469,22.96,"39a","Digital Archive","",""
25/11/1986 17:45,1.516,24.52,"39a","Digital Archive","",""
05/12/1986 12:45,1.694,30.86,"39a","Digital Archive","",""
09/12/1986 04:00,1.732,32.30,"39a","Digital Archive","",""
30/12/1986 18:45,1.599,27.39,"39a","Digital Archive","",""
04/01/1987 16:45,1.369,19.80,"39a","Digital Archive","",""
21/01/1987 18:15,1.327,18.54,"39a","Digital Archive","",""
27/03/1987 16:30,1.683,30.44,"39a","Digital Archive","",""
11/04/1987 13:00,1.344,19.05,"39a","Digital Archive","",""
17/08/1987 12:30,1.520,24.65,"39a","Digital Archive","",""
18/10/1987 22:00,1.821,35.80,"39a","Digital Archive","",""
21/10/1987 13:00,1.505,24.15,"39a","Digital Archive","",""
