"NAME:","Megget Water at Henderland"
"NUMBER:","21030"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/11/1969 00:00,1.300,22.62,"12a","Dundee Univ.","",""
22/11/1969 00:00,1.430,31.06,"12a","Dundee Univ.","",""
14/12/1969 00:00,1.540,39.51,"12a","Dundee Univ.","",""
22/12/1969 00:00,1.410,29.65,"12a","Dundee Univ.","",""
18/01/1970 00:00,1.530,38.69,"12a","Dundee Univ.","",""
02/02/1970 00:00,1.950,82.76,"12a","Dundee Univ.","",""
21/02/1970 00:00,1.470,33.99,"12a","Dundee Univ.","",""
24/07/1970 00:00,1.370,26.96,"12a","Dundee Univ.","",""
16/08/1970 00:00,1.540,39.51,"12a","Dundee Univ.","",""
10/09/1970 00:00,1.660,50.19,"12a","Dundee Univ.","",""
01/11/1970 00:00,1.350,25.67,"12a","Dundee Univ.","",""
23/11/1970 00:00,1.490,35.52,"12a","Dundee Univ.","",""
12/02/1971 00:00,1.440,31.78,"12a","Dundee Univ.","",""
24/04/1971 00:00,1.410,29.65,"12a","Dundee Univ.","",""
25/07/1971 00:00,1.300,22.62,"12a","Dundee Univ.","",""
05/11/1971 00:00,1.520,37.88,"12a","Dundee Univ.","",""
19/12/1971 00:00,1.350,25.67,"12a","Dundee Univ.","",""
12/01/1972 00:00,1.360,26.31,"12a","Dundee Univ.","",""
23/01/1972 00:00,1.550,40.34,"12a","Dundee Univ.","",""
26/05/1972 00:00,1.560,41.19,"12a","Dundee Univ.","",""
09/11/1972 00:00,1.370,26.96,"12a","Dundee Univ.","",""
29/11/1972 00:00,1.380,27.62,"12a","Dundee Univ.","",""
11/12/1972 00:00,2.100,103.64,"12a","Dundee Univ.","",""
10/04/1973 00:00,1.280,21.46,"12a","Dundee Univ.","",""
05/01/1974 00:00,1.450,32.50,"12a","Dundee Univ.","",""
10/01/1974 00:00,1.510,37.08,"12a","Dundee Univ.","",""
12/01/1974 00:00,1.600,44.66,"12a","Dundee Univ.","",""
27/01/1974 00:00,1.350,25.67,"12a","Dundee Univ.","",""
30/01/1974 00:00,1.970,85.38,"12a","Dundee Univ.","",""
17/03/1974 00:00,1.300,22.62,"12a","Dundee Univ.","",""
10/11/1974 00:00,1.750,59.25,"12a","Dundee Univ.","",""
14/11/1974 00:00,1.480,34.75,"12a","Dundee Univ.","",""
22/12/1974 00:00,1.630,47.38,"12a","Dundee Univ.","",""
25/12/1974 00:00,1.380,27.62,"12a","Dundee Univ.","",""
10/01/1975 00:00,1.430,31.06,"12a","Dundee Univ.","",""
13/01/1975 00:00,1.660,50.19,"12a","Dundee Univ.","",""
16/01/1975 00:00,1.800,64.68,"12a","Dundee Univ.","",""
19/01/1975 00:00,1.990,88.05,"12a","Dundee Univ.","",""
22/01/1975 00:00,1.690,53.11,"12a","Dundee Univ.","",""
25/01/1975 00:00,1.600,44.66,"12a","Dundee Univ.","",""
30/01/1975 00:00,1.490,35.52,"12a","Dundee Univ.","",""
12/09/1975 00:00,1.370,26.96,"12a","Dundee Univ.","",""
24/09/1975 00:00,1.630,47.38,"12a","Dundee Univ.","",""
02/01/1976 00:00,1.660,50.19,"12a","Dundee Univ.","",""
25/09/1976 00:00,1.440,31.78,"12a","Dundee Univ.","",""
27/11/1976 00:00,1.660,50.19,"12a","Dundee Univ.","",""
02/02/1977 00:00,1.910,77.67,"12a","Dundee Univ.","",""
30/10/1977 00:00,2.190,117.56,"12a","Dundee Univ.","",""
06/11/1977 00:00,1.410,29.65,"12a","Dundee Univ.","",""
22/12/1977 00:00,1.700,54.11,"12a","Dundee Univ.","",""
24/02/1978 00:00,1.540,39.51,"12a","Dundee Univ.","",""
28/09/1978 00:00,1.290,22.04,"12a","Dundee Univ.","",""
09/10/1978 00:00,1.320,23.81,"12a","Dundee Univ.","",""
15/11/1978 00:00,1.980,86.71,"12a","Dundee Univ.","",""
02/03/1979 00:00,1.350,25.67,"12a","Dundee Univ.","",""
08/03/1979 00:00,1.470,33.99,"12a","Dundee Univ.","",""
12/04/1979 00:00,1.330,24.42,"12a","Dundee Univ.","",""
13/10/1979 00:00,1.550,40.34,"12a","Dundee Univ.","",""
25/11/1979 00:00,1.610,45.55,"12a","Dundee Univ.","",""
02/12/1979 00:00,1.320,23.81,"12a","Dundee Univ.","",""
04/12/1979 00:00,1.370,26.96,"12a","Dundee Univ.","",""
07/12/1979 00:00,1.360,26.31,"12a","Dundee Univ.","",""
26/12/1979 00:00,1.420,30.35,"12a","Dundee Univ.","",""
14/08/1980 00:00,1.530,38.69,"12a","Dundee Univ.","",""
06/10/1980 00:00,1.690,53.11,"12a","Dundee Univ.","",""
16/11/1980 00:00,1.330,24.42,"12a","Dundee Univ.","",""
20/11/1980 00:00,1.650,49.24,"12a","Dundee Univ.","",""
14/12/1980 00:00,1.360,26.31,"12a","Dundee Univ.","",""
23/12/1980 00:00,1.330,24.42,"12a","Dundee Univ.","",""
07/03/1981 00:00,1.710,55.11,"12a","Dundee Univ.","",""
24/03/1981 00:00,1.540,39.51,"12a","Dundee Univ.","",""
19/09/1981 00:00,1.600,44.66,"12a","Dundee Univ.","",""
23/09/1981 00:00,1.540,39.51,"12a","Dundee Univ.","",""
26/09/1981 00:00,1.650,49.24,"12a","Dundee Univ.","",""
01/10/1981 00:00,1.500,36.30,"12a","Dundee Univ.","",""
08/10/1981 00:00,1.320,23.81,"12a","Dundee Univ.","",""
19/11/1981 00:00,1.330,24.42,"12a","Dundee Univ.","",""
23/11/1981 00:00,1.630,47.38,"12a","Dundee Univ.","",""
31/12/1981 00:00,1.480,34.75,"12a","Dundee Univ.","",""
