"NAME:","Usway Burn at Shillmoor"
"NUMBER:","22003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/08/1966 00:00,1.242,7.89,"1d","Spreadsheet","Taken from northumbria high flows study",""
27/10/1966 00:00,1.033,22.05,"1d","mfiche","Taken from northumbria high flows study",""
06/11/1966 00:00,0.701,8.24,"1c","mfiche","Taken from northumbria high flows study",""
19/12/1966 00:00,0.899,15.10,"1d","mfiche","Taken from northumbria high flows study",""
29/12/1966 00:00,0.704,8.50,"1c","mfiche","Taken from northumbria high flows study",""
27/02/1967 00:00,0.914,8.63,"1d","mfiche","Taken from northumbria high flows study",""
17/07/1967 00:00,1.097,11.97,"1d","mfiche","Taken from northumbria high flows study",""
14/08/1967 00:00,0.838,7.12,"1c","mfiche","Taken from northumbria high flows study",""
01/10/1967 00:00,0.823,7.08,"1c","mfiche","Taken from northumbria high flows study",""
16/10/1967 00:00,1.152,12.97,"1d","mfiche","Taken from northumbria high flows study",""
17/10/1967 04:30,1.151,28.37,"1d","Digital Archive","Taken from northumbria high flows study",""
02/11/1968 02:00,1.264,36.72,"1d","Digital Archive","Peak examined by eye and appears reasonable.",""
05/11/1968 11:00,1.343,42.95,"1d","Digital Archive","Peak examined by eye and appears reasonable.",""
22/12/1969 02:00,0.699,7.55,"1c","Digital Archive","",""
19/01/1970 00:00,0.673,7.01,"1c","Spreadsheet","Taken from northumbria high flows study",""
21/01/1970 00:00,0.903,12.70,"1d","Spreadsheet","Taken from northumbria high flows study",""
01/02/1970 00:00,0.866,11.43,"1c","Spreadsheet","Taken from northumbria high flows study",""
21/02/1970 00:00,0.824,10.40,"1c","Spreadsheet","Taken from northumbria high flows study",""
16/03/1970 00:00,0.761,8.91,"1c","Spreadsheet","Taken from northumbria high flows study",""
15/04/1970 00:00,0.872,11.59,"1c","Spreadsheet","Taken from northumbria high flows study",""
10/08/1970 00:00,1.022,19.71,"1d","Spreadsheet","Taken from northumbria high flows study",""
31/10/1970 00:00,0.824,10.40,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1971 00:00,0.964,16.17,"1d","Spreadsheet","Taken from northumbria high flows study",""
28/01/1971 00:00,0.701,7.58,"1c","Spreadsheet","Taken from northumbria high flows study",""
18/02/1971 00:00,0.830,10.54,"1c","Spreadsheet","Taken from northumbria high flows study",""
23/04/1971 00:00,0.839,10.76,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/11/1971 00:00,0.851,11.06,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/02/1972 00:00,0.863,11.36,"1c","Spreadsheet","Taken from northumbria high flows study",""
16/02/1972 00:00,0.857,11.21,"1c","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 00:00,0.764,8.98,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/05/1972 00:00,0.704,7.65,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/02/1974 06:15,0.782,9.39,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 13:15,0.865,11.41,"1c","Spreadsheet","Taken from northumbria high flows study",""
30/01/1975 10:45,0.820,10.30,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/05/1975 11:15,0.756,8.80,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/09/1975 16:45,0.827,10.47,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/03/1976 19:00,0.743,8.51,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/04/1976 14:00,1.005,18.66,"1d","Spreadsheet","Taken from northumbria high flows study",""
09/09/1976 19:00,0.872,11.59,"1c","Spreadsheet","Taken from northumbria high flows study",""
11/09/1976 21:00,1.064,22.42,"1d","Spreadsheet","Taken from northumbria high flows study",""
