"NAME:","Blyth at Hartford Bridge"
"NUMBER:","22006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/12/1960 00:00,0.701,24.65,"3b","mfiche","Taken from northumbria high flows study",""
03/01/1961 00:00,0.914,39.77,"3b","mfiche","Taken from northumbria high flows study",""
06/01/1961 00:00,0.704,24.85,"3b","mfiche","Taken from northumbria high flows study",""
19/01/1961 00:00,0.625,20.04,"3b","mfiche","Taken from northumbria high flows study",""
05/05/1961 00:00,0.701,24.65,"3b","mfiche","Taken from northumbria high flows study",""
11/12/1961 00:00,0.875,36.72,"3b","mfiche","Taken from northumbria high flows study",""
05/01/1962 00:00,0.808,31.81,"3b","mfiche","Taken from northumbria high flows study",""
12/09/1962 00:00,0.701,24.65,"3b","mfiche","Taken from northumbria high flows study",""
24/11/1962 00:00,0.643,21.11,"3b","mfiche","Taken from northumbria high flows study",""
05/01/1963 00:00,0.625,20.04,"3b","mfiche","Taken from northumbria high flows study",""
07/03/1963 20:00,1.675,118.79,"3c","Digital Archive","Peak examined by eye appears reasonable.",""
13/03/1963 00:00,0.823,32.90,"3b","mfiche","Taken from northumbria high flows study",""
10/08/1963 00:00,,21.69,"3a","spreadsheet","",""
07/11/1963 00:00,,71.25,"3a","spreadsheet","",""
10/11/1963 00:00,,57.14,"3a","spreadsheet","",""
18/11/1963 00:00,,29.30,"3a","spreadsheet","",""
21/11/1963 00:00,0.827,33.19,"3b","Spreadsheet","Taken from northumbria high flows study",""
23/12/1963 00:00,1.160,61.01,"3b","Spreadsheet","Taken from northumbria high flows study",""
14/03/1964 00:00,,55.75,"3a","spreadsheet","",""
23/03/1965 00:00,,36.60,"3a","spreadsheet","",""
18/05/1965 00:00,,27.05,"3a","spreadsheet","",""
04/09/1965 00:00,,20.61,"3a","spreadsheet","",""
07/09/1965 00:00,,25.27,"3a","spreadsheet","",""
18/09/1965 00:00,,29.09,"3a","spreadsheet","",""
28/09/1965 00:00,,33.81,"3a","spreadsheet","",""
01/10/1965 09:00,,65.50,"3a","spreadsheet","",""
20/11/1965 01:00,1.432,89.17,"3b","Digital Archive","Peak examined by eye appears reasonable.",""
23/11/1965 00:00,0.900,38.64,"3b","Spreadsheet","Taken from northumbria high flows study",""
03/12/1965 00:00,0.800,31.27,"3b","FSR","",""
08/02/1966 00:00,0.920,40.21,"3b","FSR","",""
01/03/1966 00:00,0.280,4.40,"3a","FSR","",""
10/04/1966 10:30,1.340,79.12,"3b","Digital Archive","",""
12/05/1966 00:00,0.460,11.55,"3b","FSR","",""
23/06/1966 00:00,0.460,11.55,"3b","FSR","",""
14/07/1966 00:00,0.120,0.36,"3a","FSR","",""
13/08/1966 00:00,0.960,43.41,"3b","FSR","",""
12/09/1966 00:00,0.310,5.68,"3b","FSR","",""
04/10/1966 00:00,0.700,24.59,"3b","FSR","",""
30/11/1966 00:00,0.420,9.80,"3b","FSR","",""
12/12/1966 00:00,0.910,39.43,"3b","FSR","",""
23/01/1967 00:00,0.530,14.90,"3b","FSR","",""
22/02/1967 00:00,0.850,34.87,"3b","FSR","",""
09/03/1967 00:00,0.300,4.85,"3a","FSR","",""
08/04/1967 00:00,0.200,1.63,"3a","FSR","",""
15/05/1967 00:00,0.400,8.98,"3b","FSR","",""
01/06/1967 00:00,0.170,1.01,"3a","FSR","",""
14/07/1967 00:00,0.260,3.54,"3a","FSR","",""
18/08/1967 00:00,0.500,13.42,"3b","FSR","",""
23/09/1967 00:00,0.190,1.40,"3a","FSR","",""
17/10/1967 00:00,1.110,56.38,"3b","FSR","",""
03/11/1967 00:00,1.270,71.84,"3b","FSR","",""
12/12/1967 00:00,0.390,8.58,"3b","FSR","",""
16/01/1968 00:00,0.640,20.92,"3b","FSR","",""
06/02/1968 00:00,0.650,21.52,"3b","FSR","",""
23/03/1968 00:00,0.600,18.63,"3b","FSR","",""
13/08/1968 00:00,1.093,54.86,"3b","Spreadsheet","Taken from northumbria high flows study",""
31/10/1968 00:00,1.134,57.62,"4d","Spreadsheet","Taken from northumbria high flows study",""
03/11/1968 00:00,0.892,30.97,"4c","Spreadsheet","Taken from northumbria high flows study",""
18/12/1968 00:00,1.354,80.03,"4d","Spreadsheet","Taken from northumbria high flows study",""
01/01/1969 00:00,0.879,29.67,"4c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1969 00:00,0.918,33.69,"4c","Spreadsheet","Taken from northumbria high flows study",""
12/01/1969 00:00,0.984,41.31,"4c","Spreadsheet","Taken from northumbria high flows study",""
20/01/1969 00:00,1.011,44.70,"4c","Spreadsheet","Taken from northumbria high flows study",""
23/02/1969 00:00,0.854,27.20,"4c","Spreadsheet","Taken from northumbria high flows study",""
15/03/1969 00:00,0.879,29.67,"4c","Spreadsheet","Taken from northumbria high flows study",""
03/05/1969 00:00,0.892,30.97,"4c","Spreadsheet","Taken from northumbria high flows study",""
06/05/1969 00:00,0.957,38.12,"4c","Spreadsheet","Taken from northumbria high flows study",""
03/06/1969 00:00,0.816,23.80,"4c","Spreadsheet","Taken from northumbria high flows study",""
15/11/1969 00:00,0.919,33.82,"4c","Spreadsheet","Taken from northumbria high flows study",""
22/11/1969 00:00,0.894,31.17,"4c","Spreadsheet","Taken from northumbria high flows study",""
27/11/1969 00:00,0.862,27.96,"4c","Spreadsheet","Taken from northumbria high flows study",""
21/12/1969 00:00,0.878,29.54,"4c","Spreadsheet","Taken from northumbria high flows study",""
11/01/1970 00:00,0.794,22.01,"4c","Spreadsheet","Taken from northumbria high flows study",""
16/01/1970 00:00,0.890,30.76,"4c","FSR","",""
18/01/1970 00:00,0.858,27.58,"4c","Spreadsheet","Taken from northumbria high flows study",""
19/02/1970 00:00,0.964,38.92,"4c","Spreadsheet","Taken from northumbria high flows study",""
21/02/1970 00:00,0.834,25.39,"4c","Spreadsheet","Taken from northumbria high flows study",""
22/02/1970 00:00,0.770,20.09,"4c","FSR","Taken from northumbria high flows study",""
25/03/1970 00:00,1.077,52.40,"4d","Spreadsheet","Taken from northumbria high flows study",""
16/10/1970 00:00,0.981,40.94,"4c","Spreadsheet","Taken from northumbria high flows study",""
28/01/1971 00:00,0.854,27.20,"4c","Spreadsheet","Taken from northumbria high flows study",""
29/01/1971 00:00,0.790,21.67,"4c","FSR","Taken from northumbria high flows study",""
17/03/1971 00:00,1.020,45.93,"4c","FSR","Non-independent peak removed Taken from northumbria high flows study",""
18/03/1971 00:00,1.188,62.85,"4d","Spreadsheet","Non-independent peak removed Taken from northumbria high flows study",""
19/03/1971 00:00,0.920,33.91,"4c","FSR","Taken from northumbria high flows study",""
20/03/1971 00:00,1.047,49.54,"4c","Spreadsheet","Taken from northumbria high flows study",""
24/04/1971 00:00,0.973,39.96,"4c","Spreadsheet","Taken from northumbria high flows study",""
14/08/1971 00:00,1.051,50.09,"4d","Spreadsheet","Taken from northumbria high flows study",""
26/01/1972 04:15,1.072,51.95,"4d","Spreadsheet","Taken from northumbria high flows study",""
02/02/1972 00:00,0.840,25.95,"4c","FSR","Taken from northumbria high flows study",""
03/02/1972 03:45,1.153,59.43,"4d","Spreadsheet","Taken from northumbria high flows study",""
16/02/1972 00:00,0.760,19.34,"4c","FSR","",""
17/02/1972 18:30,0.802,22.65,"4c","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 07:15,1.218,65.83,"4d","Spreadsheet","Taken from northumbria high flows study",""
27/05/1973 00:00,0.680,13.94,"4c","FSR","",""
10/12/1973 00:00,0.570,8.58,"4b","FSR","",""
22/11/1974 22:00,0.955,37.82,"4c","Spreadsheet","Taken from northumbria high flows study",""
29/12/1974 00:00,0.850,26.87,"4c","FSR","",""
14/05/1975 14:30,0.938,35.94,"4c","Spreadsheet","Taken from northumbria high flows study",""
30/09/1976 08:45,0.934,35.49,"4c","Spreadsheet","Taken from northumbria high flows study",""
02/10/1976 18:15,1.081,52.74,"4d","Spreadsheet","Taken from northumbria high flows study",""
