"NAME:","Coquet at Rothbury"
"NUMBER:","22009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
04/05/1973 00:00,1.456,45.39,"4c","Spreadsheet","Taken from northumbria high flows study",""
20/12/1973 00:00,1.490,47.89,"4c","Spreadsheet","Taken from northumbria high flows study",""
11/01/1974 00:00,1.470,46.41,"4c","Spreadsheet","Taken from northumbria high flows study",""
15/02/1974 00:00,1.489,47.82,"4c","Spreadsheet","Taken from northumbria high flows study",""
20/03/1974 00:00,1.466,46.12,"4c","Spreadsheet","Taken from northumbria high flows study",""
22/11/1974 00:00,2.163,110.66,"4c","Spreadsheet","Taken from northumbria high flows study",""
25/11/1974 00:00,1.509,49.32,"4c","Spreadsheet","Taken from northumbria high flows study",""
29/12/1974 00:00,1.459,45.61,"4c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 00:00,1.929,86.00,"4c","Spreadsheet","Taken from northumbria high flows study",""
27/01/1975 00:00,1.777,71.60,"4c","Spreadsheet","Taken from northumbria high flows study",""
31/01/1975 00:00,1.729,67.31,"4c","Spreadsheet","Taken from northumbria high flows study",""
02/01/1976 00:00,1.578,54.67,"4c","Spreadsheet","Taken from northumbria high flows study",""
23/02/1976 00:00,1.445,44.59,"4c","Spreadsheet","Taken from northumbria high flows study",""
21/03/1976 00:00,1.463,45.90,"4c","Spreadsheet","Taken from northumbria high flows study",""
25/03/1976 00:00,1.487,47.67,"4c","Spreadsheet","Taken from northumbria high flows study",""
14/04/1976 00:00,1.463,45.90,"4c","Spreadsheet","Taken from northumbria high flows study",""
11/09/1976 00:00,1.571,54.12,"4c","Spreadsheet","Taken from northumbria high flows study",""
26/09/1976 00:00,1.707,65.39,"4c","Spreadsheet","Taken from northumbria high flows study",""
02/10/1976 00:00,1.731,67.49,"4c","Spreadsheet","Taken from northumbria high flows study",""
15/10/1976 00:00,1.985,91.63,"4c","Spreadsheet","Taken from northumbria high flows study",""
20/10/1976 00:00,1.579,54.75,"4c","Spreadsheet","Taken from northumbria high flows study",""
21/12/1976 00:00,1.447,44.74,"4c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1977 00:00,2.132,107.22,"4c","Spreadsheet","Taken from northumbria high flows study",""
03/02/1977 00:00,1.531,51.00,"4c","Spreadsheet","Taken from northumbria high flows study",""
10/02/1977 00:00,1.942,87.30,"4c","Spreadsheet","Taken from northumbria high flows study",""
29/01/1978 00:00,1.983,91.43,"4c","Spreadsheet","Taken from northumbria high flows study",""
24/02/1978 22:00,2.200,114.84,"4c","Digital Archive","Taken from northumbria high flows study",""
25/12/1978 04:00,2.349,132.39,"4c","Digital Archive","",""
27/02/1979 22:00,2.390,137.44,"4c","Digital Archive","",""
03/03/1979 09:00,2.230,118.27,"4c","Digital Archive","",""
28/03/1979 08:00,2.470,147.54,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
13/10/1979 00:00,1.613,57.49,"4c","Spreadsheet","Taken from northumbria high flows study",""
15/11/1979 00:00,1.657,61.13,"4c","Spreadsheet","Taken from northumbria high flows study",""
26/11/1979 00:00,1.567,53.80,"4c","Spreadsheet","Taken from northumbria high flows study",""
04/12/1979 00:00,1.548,52.31,"4c","Spreadsheet","Taken from northumbria high flows study",""
27/12/1979 00:00,1.739,68.20,"4c","Spreadsheet","Taken from northumbria high flows study",""
09/02/1980 00:00,1.979,91.02,"4c","Spreadsheet","Taken from northumbria high flows study",""
18/03/1980 00:00,1.867,79.97,"4c","Spreadsheet","Taken from northumbria high flows study",""
27/03/1980 00:00,1.874,80.64,"4c","Spreadsheet","Taken from northumbria high flows study",""
14/12/1980 00:00,1.763,70.34,"4c","Spreadsheet","Taken from northumbria high flows study",""
02/03/1981 13:00,2.759,186.91,"4c","Digital Archive","",""
04/01/1982 06:30,3.079,235.72,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
22/01/1982 09:15,1.715,66.09,"4c","Digital Archive","",""
06/10/1982 15:45,1.536,51.38,"4c","Digital Archive","",""
24/11/1982 02:45,1.534,51.23,"4c","Digital Archive","Non-independent peak removed B",""
08/12/1982 18:45,1.427,43.30,"4c","Digital Archive","",""
19/12/1982 19:15,1.598,56.27,"4c","Digital Archive","",""
23/04/1983 07:30,1.802,73.88,"4c","Digital Archive","",""
02/05/1983 20:00,1.620,58.06,"4c","Digital Archive","",""
06/05/1983 14:00,1.483,47.37,"4c","Digital Archive","",""
28/05/1983 09:00,1.690,63.93,"4c","Digital Archive","",""
11/09/1983 12:30,1.692,64.10,"4c","Digital Archive","",""
24/12/1983 19:00,2.006,93.79,"4c","Digital Archive","",""
03/01/1984 01:45,1.348,37.87,"4c","Digital Archive","",""
13/01/1984 12:15,1.478,47.00,"4c","Digital Archive","",""
05/02/1984 01:45,2.648,171.26,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
26/03/1984 11:15,2.069,100.40,"4c","Digital Archive","",""
03/11/1984 20:00,2.632,169.05,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
19/11/1984 05:15,1.486,47.59,"4c","Digital Archive","",""
31/01/1985 09:00,1.924,85.51,"4c","Digital Archive","Non-independent peak removed",""
30/03/1985 23:15,1.601,56.52,"4c","Digital Archive","",""
27/07/1985 14:00,1.381,40.10,"4c","Digital Archive","",""
15/08/1985 00:00,1.629,58.80,"4c","Digital Archive","",""
28/08/1985 07:45,1.406,41.83,"4c","Digital Archive","",""
21/09/1985 14:15,1.378,39.89,"4c","Digital Archive","",""
09/11/1985 10:15,1.411,42.18,"4c","Digital Archive","",""
01/12/1985 12:30,1.457,45.46,"4c","Digital Archive","",""
21/12/1985 18:00,1.807,74.34,"4c","Digital Archive","",""
10/01/1986 15:45,1.552,52.62,"4c","Digital Archive","",""
05/03/1986 07:00,2.358,133.49,"4c","Digital Archive","",""
16/04/1986 02:00,2.249,120.48,"4c","Digital Archive","",""
20/04/1986 17:15,1.514,49.70,"4c","Digital Archive","",""
07/05/1986 13:30,1.531,51.00,"4c","Digital Archive","",""
26/08/1986 17:30,2.769,188.35,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
03/09/1986 08:30,1.559,53.17,"4c","Digital Archive","",""
09/12/1986 05:15,1.376,39.75,"4c","Digital Archive","",""
13/12/1986 10:15,1.730,67.40,"4c","Digital Archive","",""
30/12/1986 19:15,1.817,75.27,"4c","Digital Archive","",""
02/01/1987 13:45,1.445,44.59,"4c","Digital Archive","",""
04/01/1987 20:00,1.804,74.06,"4c","Digital Archive","",""
21/01/1987 21:45,1.644,60.04,"4c","Digital Archive","",""
10/02/1987 07:30,1.460,45.68,"4c","Digital Archive","",""
02/03/1987 11:15,1.613,57.49,"4c","Digital Archive","",""
28/03/1987 14:15,1.715,66.09,"4c","Digital Archive","",""
05/04/1987 19:45,1.514,49.70,"4c","Digital Archive","",""
08/04/1987 18:30,1.432,43.66,"4c","Digital Archive","",""
11/04/1987 13:30,1.886,81.80,"4c","Digital Archive","",""
17/08/1987 15:00,1.745,68.73,"4c","Digital Archive","",""
26/08/1987 21:00,2.038,97.12,"4c","Digital Archive","",""
16/10/1987 14:30,1.644,60.04,"4c","Digital Archive","",""
19/10/1987 02:00,2.153,109.55,"4c","Digital Archive","",""
21/10/1987 14:15,2.153,109.55,"4c","Digital Archive","",""
24/11/1987 18:30,1.786,72.42,"4c","Digital Archive","",""
27/12/1987 21:30,2.089,102.54,"4c","Digital Archive","",""
06/01/1988 22:00,2.417,140.81,"4c","Digital Archive","",""
02/02/1988 00:45,1.342,37.47,"4c","Digital Archive","",""
10/02/1988 00:45,1.414,42.39,"4c","Digital Archive","",""
16/03/1988 10:45,1.348,37.87,"4c","Digital Archive","",""
22/07/1988 12:00,1.404,41.69,"4c","Digital Archive","",""
29/07/1988 06:00,1.842,77.60,"4c","Digital Archive","",""
19/10/1988 14:15,1.746,68.82,"4c","Digital Archive","Non-independent peak removed A",""
26/10/1988 08:45,1.615,57.65,"4c","Digital Archive","",""
30/11/1988 11:15,1.944,87.49,"4c","Digital Archive","",""
04/12/1988 10:45,1.514,49.70,"4c","Digital Archive","",""
25/02/1989 07:30,1.524,50.46,"4c","Digital Archive","",""
04/02/1990 23:15,1.937,86.80,"4c","Digital Archive","",""
17/02/1990 21:30,1.641,59.79,"4c","Digital Archive","",""
20/02/1990 12:15,1.626,58.55,"4c","Digital Archive","Non-independent peak removed B",""
26/02/1990 10:45,1.511,49.47,"4c","Digital Archive","",""
07/10/1990 02:45,1.424,43.09,"4c","Digital Archive","",""
12/12/1990 04:00,1.350,38.00,"4c","Digital Archive","",""
28/12/1990 21:30,1.539,51.61,"4c","Digital Archive","",""
02/01/1991 03:30,2.329,129.97,"4c","Digital Archive","",""
06/01/1991 03:45,1.570,54.04,"4c","Digital Archive","",""
23/02/1991 14:15,2.315,128.28,"4c","Digital Archive","Non-independent peak removed B",""
05/03/1991 05:00,1.949,87.99,"4c","Digital Archive","",""
21/03/1991 09:00,1.486,47.59,"4c","Digital Archive","",""
04/11/1991 19:45,1.386,40.44,"4c","Digital Archive","",""
19/11/1991 04:15,1.751,69.26,"4c","Digital Archive","",""
23/12/1991 16:00,2.055,98.91,"4c","Digital Archive","Non-independent peak removed B",""
01/04/1992 13:45,3.260,265.74,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
05/04/1992 22:15,1.358,38.54,"4c","Digital Archive","",""
02/11/1992 13:00,1.486,47.59,"4c","Digital Archive","",""
01/12/1992 20:00,1.657,61.13,"4c","Digital Archive","",""
18/12/1992 17:45,1.751,69.26,"4c","Digital Archive","",""
13/01/1993 17:30,1.422,42.95,"4c","Digital Archive","",""
15/01/1993 15:30,2.282,124.35,"4c","Digital Archive","",""
24/01/1993 02:00,1.725,66.96,"4c","Digital Archive","",""
10/04/1993 04:00,1.919,85.02,"4c","Digital Archive","",""
14/05/1993 21:00,1.842,77.60,"4c","Digital Archive","",""
15/09/1993 07:30,1.457,45.46,"4c","Digital Archive","",""
07/10/1993 19:15,2.354,133.00,"4c","Digital Archive","",""
09/10/1993 18:45,1.746,68.82,"4c","Digital Archive","",""
09/12/1993 02:30,1.565,53.64,"4c","Digital Archive","",""
13/12/1993 12:15,2.098,103.51,"4c","Digital Archive","",""
18/12/1993 22:15,1.891,82.28,"4c","Digital Archive","",""
06/01/1994 02:30,1.363,38.87,"4c","Digital Archive","",""
10/01/1994 08:45,1.707,65.39,"4c","Digital Archive","",""
13/01/1994 04:15,1.480,47.15,"4c","Digital Archive","",""
27/02/1994 22:45,1.720,66.53,"4c","Digital Archive","",""
03/03/1994 13:30,1.429,43.45,"4c","Digital Archive","",""
15/11/1994 03:45,1.531,51.00,"4c","Digital Archive","",""
08/12/1994 14:45,1.623,58.31,"4c","Digital Archive","",""
31/01/1995 18:15,2.078,101.36,"4c","Digital Archive","",""
22/02/1995 18:30,1.853,78.64,"4c","Digital Archive","",""
08/09/1995 21:15,1.547,52.23,"4c","Digital Archive","",""
16/11/1995 05:15,1.919,85.02,"4c","Digital Archive","",""
22/12/1995 18:30,1.414,42.39,"4c","Digital Archive","",""
12/02/1996 19:00,1.843,77.70,"4c","Digital Archive","",""
16/02/1996 14:45,1.593,55.87,"4c","Digital Archive","",""
01/05/1996 16:00,2.411,140.06,"4c","Digital Archive","",""
12/11/1996 03:00,1.508,49.24,"4c","Digital Archive","",""
26/11/1996 02:00,1.340,37.34,"4c","Digital Archive","",""
19/12/1996 12:45,1.394,40.99,"4c","Digital Archive","",""
18/02/1997 03:45,1.766,70.61,"4c","Digital Archive","",""
20/02/1997 01:00,2.065,99.97,"4c","Digital Archive","Non-independent peak removed A",""
29/06/1997 01:00,1.822,75.73,"4c","Digital Archive","",""
01/07/1997 12:00,1.876,80.84,"4c","Digital Archive","",""
11/12/1997 14:45,1.539,51.61,"4c","Digital Archive","",""
19/12/1997 04:00,1.603,56.68,"4c","Digital Archive","Non-independent peak removed A",""
09/01/1998 10:00,1.394,40.99,"4c","Digital Archive","",""
14/01/1998 01:45,1.399,41.34,"4c","Digital Archive","",""
23/01/1998 07:00,1.605,56.84,"4c","Digital Archive","",""
03/04/1998 12:15,2.509,152.59,"4c","Digital Archive","Peak examined by eye and appears reasonable.",""
