"NAME:","North Tyne at Reaverhill"
"NUMBER:","23003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/10/1959 00:00,3.139,282.13,"4a","mfiche","Taken from northumbria high flows study",""
22/01/1960 00:00,3.475,343.67,"4a","mfiche","Taken from northumbria high flows study",""
31/01/1960 00:00,3.292,309.38,"4a","mfiche","Taken from northumbria high flows study",""
28/02/1960 00:00,3.444,337.83,"4a","mfiche","Taken from northumbria high flows study",""
02/11/1960 00:00,3.261,303.83,"4a","mfiche","Taken from northumbria high flows study",""
25/12/1960 00:00,4.548,579.24,"4a","mfiche","Taken from northumbria high flows study",""
11/12/1961 00:00,3.161,285.87,"4a","mfiche","Taken from northumbria high flows study",""
15/01/1962 00:00,3.200,292.89,"4a","mfiche","Taken from northumbria high flows study",""
11/02/1962 00:00,4.054,463.56,"4a","mfiche","Taken from northumbria high flows study",""
02/04/1962 00:00,4.054,463.56,"4a","mfiche","Taken from northumbria high flows study",""
11/08/1962 00:00,3.475,343.67,"4a","mfiche","Taken from northumbria high flows study",""
26/08/1962 00:00,4.389,540.76,"4a","mfiche","Taken from northumbria high flows study",""
11/09/1962 00:00,4.755,631.46,"4a","mfiche","Taken from northumbria high flows study",""
23/11/1962 00:00,3.719,392.06,"4a","mfiche","Taken from northumbria high flows study",""
06/03/1963 00:00,3.776,404.00,"4a","mfiche","Taken from northumbria high flows study",""
26/09/1963 00:00,3.103,275.77,"4a","mfiche","Taken from northumbria high flows study",""
10/11/1963 00:00,3.383,326.31,"4a","mfiche","Taken from northumbria high flows study",""
12/11/1963 00:00,3.170,287.48,"4a","mfiche","Taken from northumbria high flows study",""
18/11/1963 00:00,3.947,440.19,"4a","mfiche","Taken from northumbria high flows study",""
21/11/1963 00:00,3.840,417.39,"4a","mfiche","Taken from northumbria high flows study",""
23/11/1963 00:00,4.252,508.49,"4a","mfiche","Taken from northumbria high flows study",""
30/12/1963 00:00,3.292,309.38,"4a","mfiche","Taken from northumbria high flows study",""
06/10/1964 00:00,3.530,354.29,"4a","mfiche","Taken from northumbria high flows study",""
08/12/1964 00:00,4.932,677.70,"4a","mfiche","Taken from northumbria high flows study",""
29/12/1964 00:00,3.597,367.48,"4a","mfiche","Taken from northumbria high flows study",""
10/01/1965 00:00,4.282,515.57,"4a","Spreadsheet","Taken from northumbria high flows study",""
13/01/1965 00:00,3.487,346.01,"4a","mfiche","Taken from northumbria high flows study",""
26/03/1965 00:00,3.408,330.90,"4a","mfiche","Taken from northumbria high flows study",""
29/07/1965 00:00,4.383,539.31,"4a","mfiche","Taken from northumbria high flows study",""
04/08/1965 00:00,3.688,385.84,"4a","mfiche","Taken from northumbria high flows study",""
25/09/1965 00:00,3.566,361.46,"4a","mfiche","Taken from northumbria high flows study",""
31/10/1965 00:00,3.688,385.84,"4a","mfiche","Taken from northumbria high flows study",""
09/11/1965 00:00,3.847,418.87,"4a","Spreadsheet","Taken from northumbria high flows study",""
19/11/1965 00:00,4.252,508.49,"4a","mfiche","Taken from northumbria high flows study",""
23/11/1965 00:00,3.231,298.34,"4a","mfiche","Taken from northumbria high flows study",""
