"NAME:","South Tyne at Haydon Bridge"
"NUMBER:","23004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/10/1959 00:00,2.768,369.61,"2c","mfiche","Taken from northumbria high flows study",""
25/08/1960 00:00,1.798,173.89,"2c","mfiche","Taken from northumbria high flows study",""
02/11/1960 00:00,2.408,289.74,"2c","mfiche","Taken from northumbria high flows study",""
25/12/1960 00:00,3.018,429.95,"2c","mfiche","Taken from northumbria high flows study",""
30/03/1961 00:00,2.743,363.93,"2c","mfiche","Taken from northumbria high flows study",""
17/10/1961 00:00,2.557,321.89,"2c","mfiche","Taken from northumbria high flows study",""
11/12/1961 00:00,2.591,329.31,"2c","mfiche","Taken from northumbria high flows study",""
05/01/1962 00:00,2.313,270.14,"2c","mfiche","Taken from northumbria high flows study xxx",""
11/01/1962 00:00,2.493,307.93,"2c","mfiche","Taken from northumbria high flows study",""
15/01/1962 00:00,2.987,422.38,"2c","mfiche","Taken from northumbria high flows study",""
12/02/1962 00:00,2.835,385.41,"2c","mfiche","Taken from northumbria high flows study",""
02/04/1962 00:00,2.923,406.68,"2c","mfiche","Taken from northumbria high flows study",""
26/08/1962 00:00,2.691,352.00,"2c","mfiche","Taken from northumbria high flows study",""
11/09/1962 00:00,3.322,508.76,"2c","mfiche","Taken from northumbria high flows study",""
29/09/1962 00:00,2.347,277.03,"2c","mfiche","Taken from northumbria high flows study",""
06/03/1963 00:00,2.798,376.76,"2c","mfiche","Taken from northumbria high flows study xxx",""
26/09/1963 00:00,2.652,342.98,"2c","mfiche","Taken from northumbria high flows study",""
03/10/1963 00:00,2.377,283.35,"2c","mfiche","Taken from northumbria high flows study",""
12/11/1963 00:00,3.225,482.92,"2c","mfiche","Taken from northumbria high flows study",""
18/11/1963 00:00,2.929,408.16,"2c","mfiche","Taken from northumbria high flows study",""
21/11/1963 00:00,3.600,585.35,"2c","mfiche","Taken from northumbria high flows study",""
21/11/1963 17:00,3.599,585.16,"2c","Digital Archive","Taken from northumbria high flows study",""
23/11/1963 00:00,2.408,289.74,"2c","mfiche","Taken from northumbria high flows study",""
30/12/1963 00:00,2.850,389.05,"2c","mfiche","Taken from northumbria high flows study",""
07/10/1964 00:00,2.469,302.69,"2c","mfiche","Taken from northumbria high flows study",""
08/12/1964 00:00,3.231,484.52,"2c","mfiche","Taken from northumbria high flows study",""
12/12/1964 00:00,3.109,452.99,"2c","mfiche","Taken from northumbria high flows study",""
26/03/1965 00:00,2.957,414.87,"2c","mfiche","Taken from northumbria high flows study",""
25/09/1965 00:00,3.261,492.54,"2c","mfiche","Taken from northumbria high flows study",""
06/12/1965 10:30,1.074,70.59,"2c","Digital Archive","","AMAX ONLY"
09/12/1965 00:00,3.328,510.39,"2c","mfiche","Taken from northumbria high flows study",""
17/12/1965 00:00,2.749,365.35,"2c","mfiche","Taken from northumbria high flows study",""
13/08/1966 00:00,3.468,548.49,"2c","mfiche","Taken from northumbria high flows study",""
14/08/1966 04:45,1.123,76.32,"2c","Digital Archive","Taken from northumbria high flows study","AMAX ONLY"
04/09/1966 00:00,2.886,397.82,"2c","mfiche","Taken from northumbria high flows study",""
12/09/1966 00:00,2.591,329.31,"2c","mfiche","Taken from northumbria high flows study",""
03/10/1966 00:00,2.652,342.98,"2c","mfiche","Taken from northumbria high flows study",""
15/11/1966 00:00,2.557,321.89,"2c","mfiche","Taken from northumbria high flows study",""
17/12/1966 00:00,2.865,392.69,"2c","mfiche","Taken from northumbria high flows study",""
19/12/1966 00:00,2.957,414.87,"2c","mfiche","Taken from northumbria high flows study",""
27/02/1967 00:00,2.743,363.93,"2c","mfiche","Taken from northumbria high flows study",""
18/08/1967 00:00,2.926,407.42,"2c","mfiche","Taken from northumbria high flows study",""
18/08/1967 19:00,0.958,57.82,"2b","Digital Archive","Taken from northumbria high flows study","AMAX ONLY"
